"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"region";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues"
0;"Mitrella";"kentii";0;0;"Griffith";"389";"";389;"";"<NA>";NA;NA;NA;"nan";"01/01/1987 - 31/12/1987";1;1;1987;"not found";"<NA>";0;"Birma and Malay Penins.";0;NA;NA;"0";"0";"P01984765";"P01984765";"Griffith";"Griffith";"<NA>";"<NA>";"";0;"Griffith";"van Setten, A.K.";"not found";"Mitrella kentii";"ACCEPTED";"Mitrella kentii";"(Blume) Miq.";"https://ipni.org/n/73971-1";NA
0;"Mitrella";"kentii";0;0;"Blume";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Kessler, P";"06/09/1985 - 06/09/1985";6;9;1985;"not found";"Indonésie";0;"Java";0;NA;NA;"0";"0";"P01984742";"P01984742";"Blume";"Blume, Carl(Karl) Ludwig von";"Indonesia";"0";"";0;"Blume";"Kessler, P.";"not found";"Mitrella kentii";"ACCEPTED";"Mitrella kentii";"(Blume) Miq.";"https://ipni.org/n/73971-1";NA
0;"Mitrella";"kentii";0;0;"Korthals";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"Indonésie";0;"Sumatra.";0;NA;NA;"0";"0";"P01984741";"P01984741";"Korthals";"Korthals, Pieter Willem";"Indonesia, Malaysia, Suriname, Venezuela";"http://en.wikipedia.org/wiki/Pieter_Willem_Korthals";"";0;"Korthals";"<NA>";"not found";"Mitrella kentii";"ACCEPTED";"Mitrella kentii";"(Blume) Miq.";"https://ipni.org/n/73971-1";NA
0;"Mitrephora";"heyneana";0;0;"Thwaites";"1033";"";1033;"";"01/01/1854 - 31/12/1854";1;1;1854;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P00732416";"P00732416";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"Kessler, P.";"LKA";"Mitrephora heyneana";"ACCEPTED";"Mitrephora heyneana";"(Hook.f. & Thomson) Thwaites";"https://ipni.org/n/74005-1";NA
0;"Mitrephora";"humilis";0;0;"Blume";"";"<NA>";NA;"<NA>";"01/01/1834 - 31/12/1834";1;1;1834;"Kessler, P";"05/09/1985 - 05/09/1985";5;9;1985;"not found";"Indonésie";0;"Java";0;NA;NA;"0";"0";"P00732423";"P00732423";"Blume";"Blume, Carl(Karl) Ludwig von";"Indonesia";"0";"";0;"Blume";"Kessler, P.";"not found";"Mitrephora humilis";"SYNONYM";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74006-1";NA
0;"Mitrephora";"humilis";0;0;"Blume";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Kessler, P";"06/02/1985 - 06/02/1985";6;2;1985;"not found";"Indonésie";0;"Java";0;NA;NA;"0";"0";"P00732424";"P00732424";"Blume";"Blume, Carl(Karl) Ludwig von";"Indonesia";"0";"";0;"Blume";"Kessler, P.";"not found";"Mitrephora humilis";"SYNONYM";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74006-1";NA
0;"Mitrephora";"humilis";0;0;"Korthals";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"<NA>";0;"Bornéo";0;NA;NA;"0";"0";"P01967854";"P01967854";"Korthals";"Korthals, Pieter Willem";"Indonesia, Malaysia, Suriname, Venezuela";"http://en.wikipedia.org/wiki/Pieter_Willem_Korthals";"";0;"Korthals";"<NA>";"not found";"Mitrephora humilis";"SYNONYM";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74006-1";NA
0;"Mitrephora";"korthalsiana";0;0;"Beccari, O";"400";"";400;"";"<NA>";NA;NA;NA;"Kessler, P";"01/05/2004 - 31/05/2004";1;5;2004;"not found";"<NA>";0;"Bornéo";0;NA;NA;"0";"0";"P01967861";"P01967861";"Beccari";"Beccari, Odoardo";"Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand";"http://en.wikipedia.org/wiki/Odoardo_Beccari";"";0;"Beccari, O.";"Kessler, P.";"not found";"Mitrephora korthalsiana";"ACCEPTED";"Mitrephora korthalsiana";"Miq.";"https://ipni.org/n/74009-1";NA
0;"Mitrephora";"korthalsiana";0;0;"Korthals";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"not found";"<NA>";0;"Bornéo";0;NA;NA;"0";"0";"P00411123";"P00411123";"Korthals";"Korthals, Pieter Willem";"Indonesia, Malaysia, Suriname, Venezuela";"http://en.wikipedia.org/wiki/Pieter_Willem_Korthals";"";0;"Korthals";"Kessler, P.";"not found";"Mitrephora korthalsiana";"ACCEPTED";"Mitrephora korthalsiana";"Miq.";"https://ipni.org/n/74009-1";NA
0;"Mitrephora";"obtusa";0;0;"Cuming";"1135";"";1135;"";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"<NA>";0;"<NA>";0;NA;NA;"0";"0";"P01967911";"P01967911";"Cuming";"Cuming, Hugh";"Bolivia, Chile, Colombia, Ecuador, India, Jamaica, Malaysia, Panama, Peru, Philippines, Sri Lanka";"0";"";0;"Cuming";"<NA>";"not found";"Mitrephora obtusa";"ACCEPTED";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74025-1";NA
0;"Mitrephora";"obtusa";0;0;"Teijsmann";"57";"";57;"";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"Indonésie";0;"Java";0;NA;NA;"0";"0";"P01967904";"P01967904";"Teijsmann";"Teijsmann, Johannes Elias";"Indonesia, Malaysia, Papua New Guinea";"0";"";0;"Teijsmann";"<NA>";"not found";"Mitrephora obtusa";"ACCEPTED";"Mitrephora obtusa";"(Blume) Hook.f. & Thomson";"https://ipni.org/n/74025-1";NA
