scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;huh_name;geo_col;wiki_url
Meiogyne virgata (Blume) Miq.;Meiogyne;virgata;(Blume) Miq.;0;Ramos, M;Ramos, M BS 1640 , Ramos, M BS 1640 ;Ramos;1640;;0;1.0;4.0;1914.0;Heusden, ECH van, Heusden, ECH van;;;;;PH;Philippines;0;Samar.;0;125.0;11.833333;<NA>, <NA>;Botany, Botany;L1765898, L0192271;L.1765898, L  0192271;Ramos;;;;PHL;ACCEPTED;Meiogyne virgata;https://ipni.org/n/73818-1;Ramos, Maximo;Malaysia, Philippines;0
Pseuduvaria unguiculata (Elmer) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;unguiculata;(Elmer) Y.C.F.Su & R.M.K.Saunders;0;Ramos, M;Ramos, M BS 1661 ;Ramos;1661;;0;1.0;4.0;1914.0;Su, YCF;;;;;PH;Philippines;0;Philippines, Samar;0;125.0;11.833333;;Botany;L1764716;L.1764716;Ramos;0.0;Ramos M;Su YCF;PHL;ACCEPTED;Pseuduvaria unguiculata;https://ipni.org/n/20002933-1;Ramos, Maximo;Malaysia, Philippines;0
Cyathocalyx apoensis (Elmer) J.Sinclair;Drepananthus;apoensis;Elmer;0;Ramos, M;Ramos, M BS 1662 ;Ramos;1662;;0;1.0;4.0;1914.0;Wang, R;2001-08-01T00:00:00;1.0;8.0;2001.0;PH;Philippines;0;Samar.;0;125.0;11.833333;;Botany;L1753747;L.1753747;Ramos;0.0;Ramos M;Wang R;PHL;ACCEPTED;Drepananthus apoensis;https://ipni.org/n/72831-1;Ramos, Maximo;Malaysia, Philippines;0
Orophea glabra Merr.;Orophea;glabra;Merr.;0;Ramos, M;Ramos, M BS 1672 , Ramos, M BS 1672 ;Ramos;1672;;0;1.0;4.0;1914.0;Kessler, PJA, Kessler, PJA;1985-02-01T00:00:00;1.0;2.0;1985.0;PH;Philippines;0;Samar;0;125.0;11.833333;<NA>, <NA>;Botany, Botany;L1766763, L1766762;L.1766763, L.1766762;Ramos;;;;PHL;ACCEPTED;Orophea glabra;https://ipni.org/n/74228-1;Ramos, Maximo;Malaysia, Philippines;0
Mitrephora reflexa Merr.;Mitrephora;reflexa;Merr.;0;Ramos, M;Ramos, M BS 1674 ;Ramos;1674;;0;1.0;4.0;1914.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Samar.;0;125.0;11.833333;;Botany;L1762153;L.1762153;Ramos;0.0;Ramos M;Weerasooriya AD;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;Ramos, Maximo;Malaysia, Philippines;0
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Ramos, M;Ramos, M BS 1675 ;Ramos;1675;;0;1.0;4.0;1914.0;Kessler, PJA;1988-04-01T00:00:00;1.0;4.0;1988.0;PH;Philippines;0;Samar.;0;125.0;11.833333;;Botany;L1756254;L.1756254;Ramos;0.0;Ramos M;Kessler PJA;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;Ramos, Maximo;Malaysia, Philippines;0
Annona muricata L.;Annona;muricata;L.;0;Ramos, M;Ramos, M BS 1811 ;Ramos;1811;;0;1.0;11.0;1914.0;;;;;;PH;Philippines;0;Province of Batangas, Luzon.;0;121.083333;13.916667;;Botany;L1755331;L.1755331;Ramos;0.0;Ramos M;;PHL;ACCEPTED;Annona muricata;https://ipni.org/n/14308-2;Ramos, Maximo;Malaysia, Philippines;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Ramos, M;Ramos, M BS 1873 ;Ramos;1873;;0;1.0;8.0;1914.0;Benthem, FDJ van;;;;;PH;Philippines;0;Anaxagorea Luzonensis, Province of Batangas, Luzon;0;121.083333;13.916667;;Botany;L1744528;L.1744528;Ramos;0.0;Ramos M;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;Ramos, Maximo;Malaysia, Philippines;0
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Ramos, M;19442;;19442;;0;;1.0;1913.0;Saunders, RMK ;;;;;PH;Philippines;0;Mt. Pular. Prov. Tayabas. Luzon;0;120.883592;16.583572;VT;;UVMVT124551;UVMVT124551;Ramos;0.0;Ramos, M.;R.M.K. Saunders;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Ramos, Maximo;Malaysia, Philippines;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Ramos, M;Ramos, M BS 22339 ;Ramos;22339;;0;1.0;7.0;1914.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Province of Batangas, Luzon.;0;121.083333;13.916667;;Botany;L1757267;L.1757267;Ramos;0.0;Ramos M;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Ramos, Maximo;Malaysia, Philippines;0
