scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy;globalID;childDataID;accSpeciesID;colNum_fullprefix;status;accepted_name;ipni_no
0;Polyalthia;suberosa;0;0;Cumming;1051;;1051;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01983820;P01983820;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Mitrephora;lanotan;0;0;Cumming;1079;;1079;;<NA>;;;;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01967849;P01967849;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;suaveolens;0;0;Cumming;1099;;1099;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029168;P02029168;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;glabra;0;0;Cumming;1277;;1277;;<NA>;;;;Leonardia, A.;01/07/1999 - 31/07/1999;1;7;1999;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01987490;P01987490;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;cordata;0;0;Cumming;1291;;1291;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260056;P00260056;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Annona;squamosa;0;0;Cumming;1358;;1358;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01984591;P01984591;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;grandiflora;0;0;Cumming;1380;;1380;;<NA>;;;;Attanayake, A.M.A.S.;04/08/2009 - 04/08/2009;4;8;2009;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00248474;P00248474;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;cumingiana;0;0;Cumming;1412;;1412;;<NA>;;;;Kessler, P.;10/01/1986 - 10/01/1986;10;1;1986;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00389911;P00389911;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;sp.;0;0;Cumming;1424;;1424;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01964273;P01964273;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;hamatus;0;0;Cumming;1495;;1495;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029214;P02029214;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Fissistigma;latifolium;0;0;Cumming;1548;;1548;;<NA>;;;;Hou, X.L.;30/03/2011 - 30/03/2011;30;3;2011;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00751034;P00751034;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;rufa;0;0;Cumming;1589;;1589;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00248475;P00248475;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;sp.;0;0;Cumming;1590;;1590;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille.;0;120.981;14.5907;0;0;P01983393;P01983393;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Goniothalamus;giganteus;0;0;Cumming;1684;;1684;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01988155;P01988155;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;cumingiana;0;0;Cumming;1714;;1714;;<NA>;;;;Kessler, P.;10/01/1986 - 10/01/1986;10;1;1986;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01987506;P01987506;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Meiogyne;sp.;0;0;Cumming;1738;;1738;;<NA>;;;;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02007498;P02007498;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Goniothalamus;philippinensis;0;0;Cumming;1746;;1746;;<NA>;;;;Rainer, H.;21/12/2007 - 21/12/2007;21;12;2007;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00601046;P00601046;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Goniothalamus;sp.;0;0;Cumming;1792;;1792;;<NA>;;;;Kessler, P.;26/10/1989 - 26/10/1989;26;10;1989;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P02034806;P02034806;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;cordata;0;0;Cumming;1807;;1807;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00260057;P00260057;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Xylopia;sp.;0;0;Cumming;1823;;1823;;<NA>;;;;Kessler;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01987376;P01987376;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;suaveolens;0;0;Cumming;2309;;2309;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029171;P02029171;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Fissistigma;manubriatum;0;0;Cumming;2339;;2339;;<NA>;;;;Hou, X.L.;30/03/2011 - 30/03/2011;30;3;2011;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00751038;P00751038;Cumming;National Capital Region (NCR);Cumming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
