"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"global_id";"childData_id";"accSpecies_id";"colnum_fullprefix";"status";"accepted_name";"ipni_no";".val";".equ";".zer";".cap";".cen";".con";".gbf";".inst";".summary"
"Meiogyne cylindrocarpa (Burck) Heusden";"Meiogyne";"cylindrocarpa";0;0;"Achmad";"Achmad  1801 ";"Achmad";1801;"";0;16;4;1920;"Heusden, ECH van";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Archipel. Ind. Eil Simaloer bij Sumatra. Landschap Tapah.";0;96.08;2.58;"<NA>";"Botany";"L1757087";"L.1757087";"Achmad";0;"Achmad";"Heusden ECH van";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  22 , Achmad  22 ";"Achmad";22;"";0;10;10;1917;"Wang, R, Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Simaloer bij Sumatra";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1754034, L1754035";"L.1754034, L.1754035";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  230 , Achmad  230 , Achmad  230 ";"Achmad";230;"";0;9;2;1918;"Wang, R, Wang, R, Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Simaloer bij Sumatra";0;96.08;2.58;"<NA>, <NA>, <NA>";"Botany, Botany, Botany";"L1754036, L1754038, L1754037";"L.1754036, L.1754038, L.1754037";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cananga odorata (Lam.) Hook.f. & Thomson";"Cananga";"odorata";0;0;"Achmad";"Achmad  27 ";"Achmad";27;"";0;13;10;1917;"Smith, JJ";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Archipel. Ind. Eil: Simaloer bij Sumatra.";0;96.08;2.58;"<NA>";"Botany";"L1753337";"L.1753337";"Achmad";0;"Achmad";"Smith JJ";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Pseuduvaria reticulata (Blume) Miq.";"Pseuduvaria";"reticulata";0;0;"Achmad";"Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 ";"Achmad";275;"";0;1;1;1918;"Su, YCF, Su, YCF, Su, YCF, Su, YCF";"2001-12-01T00:00:00";1;12;2001;"ID";"Indonesia";0;"Indonesia, Sumatra, eiland Simaloer";0;96.08;2.58;"<NA>, <NA>, <NA>, <NA>";"Botany, Botany, Botany, Botany";"L1764288, L1764232, L1764229, L1764231";"L.1764288, L.1764232, L.1764229, L.1764231";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Maasia glauca (Hassk.) Mols, Kessler & Rogstad";"Maasia";"glauca";0;0;"Achmad";"Achmad bb 34340 ";"Achmad";34340;"";0;4;10;1950;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"S.E. Borneo; subdistr. Balikpapan; Sungei Wain.";0;116.811111;-1.205555;"<NA>";"Botany";"L1761285";"L.1761285";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE
"Polyalthia lateriflora (Blume) Kurz";"Polyalthia";"lateriflora";0;0;"Achmad";"Achmad bb 34374 ";"Achmad";34374;"";0;11;10;1950;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"S.E. Borneo; subdistr. Balikpapan Sungei Wain.";0;116.811111;-1.205555;"<NA>";"Botany";"L1766924";"L.1766924";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  347 , Achmad  347 ";"Achmad";347;"";0;4;4;1918;"Wang, R, Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Sumaloer bij Sumatra";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1754052, L1754051";"L.1754052, L.1754051";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cananga odorata (Lam.) Hook.f. & Thomson";"Cananga";"odorata";0;0;"Achmad";"Achmad  376 ";"Achmad";376;"";0;17;4;1918;"Smith, JJ";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil: Simaloer bij Sumatra";0;96.08;2.58;"<NA>";"Botany";"L1753307";"L.1753307";"Achmad";0;"Achmad";"Smith JJ";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  433 , Achmad  433 ";"Achmad";433;"";0;7;5;1918;"Wang, R, Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Sumaloer bij Sumatra";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1754047, L1754046";"L.1754047, L.1754046";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
