scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det;country_iso3;status;accepted_name;ipni_no
0;Artabotrys;suaveolens;(Blume) Blume;0;Cumming;1099;;1099;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029168;P02029168;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Artabotrys suaveolens;https://ipni.org/n/72472-1
0;Orophea;glabra;Merr.;0;Cumming;1277;;1277;;<NA>;;;;Leonardia, A;01/07/1999 - 31/07/1999;1;7;1999;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01987490;P01987490;Cumming;National Capital Region (NCR);0;Cumming;Leonardia, A.;;;PHL;ACCEPTED;Orophea glabra;https://ipni.org/n/74228-1
0;Uvaria;cordata;(Blume) Blume;0;Cumming;1291;;1291;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260056;P00260056;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Uvaria littoralis;https://ipni.org/n/75628-1
0;Annona;squamosa;Jacq.;0;Cumming;1358;;1358;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01984591;P01984591;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Annona mucosa;https://ipni.org/n/72320-1
0;Uvaria;grandiflora;Hook.f. & Thomson;0;Cumming;1380;;1380;;<NA>;;;;nan;04/08/2009 - 04/08/2009;4;8;2009;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00248474;P00248474;Cumming;National Capital Region (NCR);0;Cumming;Attanayake, A.M.A.S.;;;PHL;SYNONYM;Uvaria hamiltonii;https://ipni.org/n/75718-1
0;Orophea;cumingiana;S.Vidal;0;Cumming;1412;;1412;;<NA>;;;;Kessler, P;10/01/1986 - 10/01/1986;10;1;1986;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00389911;P00389911;Cumming;National Capital Region (NCR);0;Cumming;Kessler, P.;;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1
0;Artabotrys;hamatus;Hook.f. & Thomson;0;Cumming;1495;;1495;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P02029214;P02029214;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Artabotrys blumei;https://ipni.org/n/72391-1
0;Fissistigma;latifolium;(Dunal) Merr.;0;Cumming;1548;;1548;;<NA>;;;;Hou, XL;30/03/2011 - 30/03/2011;30;3;2011;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00751034;P00751034;Cumming;National Capital Region (NCR);0;Cumming;Hou, X.L.;;;PHL;ACCEPTED;Fissistigma latifolium;https://ipni.org/n/73030-1
0;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Cumming;1589;;1589;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P00248475;P00248475;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1
0;Goniothalamus;giganteus;Hook.f. & Thomson;0;Cumming;1684;;1684;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01988155;P01988155;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Goniothalamus giganteus;https://ipni.org/n/73195-1
