genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;tmp_det_date;expert_det;orig_recby;orig_detby;recby_regex;country_iso3;sp_idx;status;accepted_name;ipni_species_author;ipni_no;geo_issues;.summary;tmp_det_date.1;expert_det.1;recby_regex.1;modified;scientific_name;colnum_fullprefix;region;Unnamed: 0
Polyalthia;sp.;0.0;0.0;Ambriansyah, A;1563;nan;1563;nan;18/03/1996 - 18/03/1996;18;3;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, near plot P-3. Alt. 90 m.;0.0;117.53255;0.8012;0;0;P02132573;P02132573;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Trivalvaria;sp.;0.0;0.0;Ambriansyah, A;1694;nan;1694;nan;07/04/1996 - 07/04/1996;7;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area. East Bengalon, Kuari area, km 13-14. Alt. 110 m.;0.0;117.56283333333332;0.8240333333333333;0;0;P01983637;P01983637;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;;;not found;Trivalvaria sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Alphonsea;sp.;0.0;0.0;Ambriansyah, A;2508;nan;2508;nan;01/03/2002 - 01/03/2002;1;3;2002;Ambriansyah, A;01/03/2002 - 31/03/2002;1;3;2002;not found;Indonésie;0.0;East Kalimantan, Indonesia. Gunung Meratus PT. ITCI Balikpapan seberang.;0.0;116.333;-1.025;0;0;P01956359;P01956359;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;Ambriansyah, A.;;not found;Alphonsea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Desmos;sp.;0.0;0.0;Ambriansyah, A;648;nan;648;nan;29/10/1992 - 29/10/1992;29;10;1992;Kessler, P;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, PT. ITCI Kegan, Meratus 6519 area, B. papan seberang. Alt. 70 m.;0.0;116.35;-1.05;0;0;P01753532;P01753532;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;Kessler, P.;;not found;Desmos sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Goniothalamus;sp.;0.0;0.0;Ambriansyah, A;674;nan;674;nan;20/11/1992 - 20/11/1992;20;11;1992;nan;nan;;;;not found;Indonésie;0.0;East Kalimantan Timur. PT. ITCI. area, Meratus 6519. Balikpapan sebrang. Alt. 70 m.;0.0;116.8593379;-1.2398711;0;0;P01982070;P01982070;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;;;not found;Goniothalamus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Arbainsyah;1829;nan;1829;nan;22/04/1996 - 22/04/1996;22;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, semoi road, km 5;0.0;116.834;-0.9337;0;0;P02132583;P02132583;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;0.0;;nan;Arbainsyah;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Phaeanthus;sp.;0.0;0.0;Arbainsyah;1982;nan;1982;nan;23/09/1996 - 23/09/1996;23;9;1996;Kessler, P;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, Wartono Kaori, Km 4 Semoi road. Patok 29/35;0.0;116.947;-0.9907;0;0;P01960495;P01960495;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;0.0;;nan;Arbainsyah;Kessler, P.;;not found;Phaeanthus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Arbainsyah;1984;nan;1984;nan;23/09/1996 - 23/09/1996;23;9;1996;Kessler, P;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, Wartono Kadri, Km 4 Semoi road. Patok 47/14;0.0;116.834;-0.9337;0;0;P01960409;P01960409;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;0.0;;nan;Arbainsyah;Kessler, P.;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Arbainsyah;2012;nan;2012;nan;24/09/1996 - 24/09/1996;24;9;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, Semoi road Km 2 From Wanariset.;0.0;116.901;-0.934;0;0;P01960411;P01960411;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;0.0;;nan;Arbainsyah;;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Monocarpia;sp.;0.0;0.0;Arbainsyah;2029, 2029;nan;2029;nan;26/09/1996 - 26/09/1996;26;9;1996;, ;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, Semoi road Km 5 from Wanariset. Inhutani area.;0.0;116.834;-0.934;0, 0;0, 0;P02132615, P02132616;P02132615, P02132616;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;;;nan;nan;;;not found;Monocarpia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Popowia;sp.;0.0;0.0;Arbainsyah;2046;nan;2046;nan;01/10/1996 - 01/10/1996;1;10;1996;Arbainsyah;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, Berau, Base camp Sepan Km 37 Laba. a long river. PT.Inhutani I Berau forest management Project. Swakelola Laba.;0.0;117.351;2.025;0;0;P01960398;P01960398;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;0.0;;nan;Arbainsyah;Arbainsyah;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Arifin;1642;nan;1642;nan;04/04/1996 - 04/04/1996;4;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Road Sangkulirang to Muara Wahau. Alt. 117 m.;0.0;117.4974;0.6410166666666667;0;0;P02132577;P02132577;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Desmos;sp.;0.0;0.0;Arifin;1646;nan;1646;nan;04/04/1996 - 04/04/1996;4;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, Eat Kalimantan, KPC area Road Sangkulirang to Muara Wahau. Alt. 117 m.;0.0;117.4974;0.6410166666666667;0;0;P01753433;P01753433;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin;;;not found;Desmos sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Arifin;1702;nan;1702;nan;08/04/1996 - 08/04/1996;8;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Sebongkok utara. Alt. 94 m.;0.0;117.52208333333331;0.8055;0;0;P02132579;P02132579;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin;Arifin, Ambri, Arbainsyah & Kessler;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Friesodielsia;sp.;0.0;0.0;Arifin;1703;nan;1703;nan;08/04/1996 - 08/04/1996;8;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Sebongkok utara. Alt. 94 m.;0.0;117.52208333333331;0.8055;0;0;P01981846;P01981846;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin;Arifin, Ambri, Arbainsyah & Kessler;;not found;Friesodielsia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Sageraea;sp.;0.0;0.0;Arifin, Z;1749;nan;1749;nan;14/04/1996 - 14/04/1996;14;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Alt. 55 m.;0.0;117.54983333333334;0.7869666666666667;0;0;P01982069;P01982069;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin, Z.;Arifin, Z. & Arbainsyah;;not found;Sageraea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Artabotrys;sp.;0.0;0.0;Arifin, Z;1765, 1765;nan;1765;nan;15/04/1996 - 15/04/1996;15;4;1996;, ;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Rantau Palung, km 6. Alt. 77 m.;0.0;117.50778333333334;0.7937916666666667;0, 0;0, 0;P01984477, P01984478;P01984477, P01984478;Arifin;Arifin, Z.;Indonesia;0;;;nan;nan;;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Xylopia;sp.;0.0;0.0;Arifin, Z;1771;nan;1771;nan;15/04/1996 - 15/04/1996;15;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Rantau Palung, km 8. Alt. 106 m.;0.0;117.49685;0.7941666666666667;0;0;P02006109;P02006109;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin, Z.;Arifin, Z. & Arbainsyah;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Artabotrys;sp.;0.0;0.0;Arifin, Z;1781;nan;1781;nan;16/04/1996 - 16/04/1996;16;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Jl. logging Kabo, Melawan. Alt. 110 m.;0.0;117.47841666666666;0.6970166666666666;0;0;P01984479;P01984479;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin, Z.;;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Arifin, Z;1796;nan;1796;nan;17/04/1996 - 17/04/1996;17;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Sebongkok utara, lens 6. Alt. 38 m.;0.0;117.53551666666668;0.8457;0;0;P02132581;P02132581;Arifin;Arifin, Z.;Indonesia;0;0.0;;nan;Arifin, Z.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
