scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx;summary
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Robinson, Charles Budd;Robinson, CB BS 9725 ;Robinson;9725;<NA>;<NA>;19;2;1910;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Phililppines, Mt. Maquiling, Prov. of Laguna Luzon;<NA>;121.194423;14.136252;<NA>;Botany;L1744590;L.1744590;Robinson;Robinson CB;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Robinson, CB;serafin_2023-05-10_09-01-44;;;;<NA>;Robinson, Charles Budd;Canada, Indonesia, Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Robinson, Charles Budd;Robinson, CB BS 6165 ;Robinson;6165;<NA>;<NA>;11;8;1908;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Limay, Bataan, Prov. Luzon;<NA>;120.598333;14.561944;<NA>;Botany;L1744585;L.1744585;Robinson;Robinson CB;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;.con;;;<NA>;Robinson, CB;serafin_2023-05-10_09-01-44;;;;<NA>;Robinson, Charles Budd;Canada, Indonesia, Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;False
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Rosenbluth, R.;"Rosenbluth, R; Tamesis, F PNH 12689 ";Rosenbluth;12689;<NA>;<NA>;1;9;1909;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Mt. Maquiling, Prov. of Laguna, Luzon;<NA>;121.194423;14.136252;<NA>;Botany;L1744586;L.1744586;Rosenbluth;"Rosenbluth R; Tamesis F";Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Rosenbluth, R;serafin_2023-05-10_09-01-44;;;;<NA>;Rosenbluth, R.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Sinclair, John F.;"Sinclair, J; Edaño, GE  9464 ";Sinclair;9464;<NA>;<NA>;30;5;1958;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, above College of Forestry, Mount Makiling, Prov. Laguna, Luzon;<NA>;121.194423;14.136252;<NA>;Botany;L1744587;L.1744587;Sinclair;"Sinclair J; Edaño GE";Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Sinclair, J;serafin_2023-05-10_09-01-44;;;;<NA>;Sinclair, John F.;United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Stern, William Louis;Stern, WL  2068 ;Stern;2068;<NA>;<NA>;14;9;1963;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Mt. Makiling, Philippines, banks of Molawin River;<NA>;121.194423;14.136252;<NA>;Botany;L1744527;L.1744527;Stern;Stern WL;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Stern, WL;serafin_2023-05-10_09-01-44;;;;<NA>;Stern, William Louis;Panama, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Sulit, Mamerto D.;Sulit, MD  6 ;Sulit;6;<NA>;<NA>;23;6;1973;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Laguna, Mt. Makiling, NE.;<NA>;121.19;14.135833;<NA>;Botany;WAG1425699;WAG.1425699;Sulit;Sulit MD;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Sulit, MD;serafin_2023-05-10_09-01-44;;;;<NA>;Sulit, Mamerto D.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Sulit, Mamerto D.;Sulit, MD  6 ;Sulit;6;<NA>;<NA>;23;6;1973;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Laguna, Mt. Makiling, NE.;<NA>;121.19;14.135833;<NA>;Botany;WAG1425700;WAG.1425700;Sulit;Sulit MD;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Sulit, MD;serafin_2023-05-10_09-01-44;;;;<NA>;Sulit, Mamerto D.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Taleon, AT;Taleon, AT PNH 34027 ;Taleon;34027;<NA>;<NA>;1;8;1954;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Panay Island, Iloilo Province, Jordan.;<NA>;122.616667;10.6;<NA>;Botany;L1744591;L.1744591;Taleon;Taleon AT;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Taleon, AT;serafin_2023-05-10_09-01-44;;;;<NA>;Taleon, AT;<NA>;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Williams, Robert Stratham;Williams, RS  10 ;Williams;10;<NA>;<NA>;29;10;1903;Maas, PJM;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Central Luzon, Prov. Bataan, Lamao River, Mt. Mariveles.;<NA>;120.4667;14.5331;<NA>;Botany;U1062141;U.1062141;Williams;Williams RS;Maas PJM;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Williams, RS;serafin_2023-05-10_09-01-44;;;;<NA>;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Annona glabra L.;Annona;glabra;<NA>;Barbon, E. B.;"Barbon, EB; Romero, EM; Ferdo, LS PPI 1686 ";Barbon;1686;<NA>;<NA>;9;5;1991;Pipoly, JJ;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Island: Mindanao, Province: Agusan Norte, Tungao, NALCO.;<NA>;125.571944;8.777222;<NA>;Botany;U1071400;U.1071400;Barbon;"Barbon EB; Romero EM; Ferdo LS";Pipoly JJ;PHL;SYNONYM;Annona squamosa;https://ipni.org/n/72209-1;;;<NA>;;;<NA>;Barbon, EB;serafin_2023-05-10_09-01-44;;;;<NA>;Barbon, E. B.;Philippines;<NA>;L.;;;Annona glabra;True
