scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Goniothalamus palawanensis C.C.Tang & R.M.K.Saunders;Goniothalamus;PH;Puerto Princesa, Corrigutor.;9.739167;118.735278;Tang, CC;Tang, CC  14 ;31;5;2012;Tang, CC;2012-05-31T00:00:00;<NA>;Botany;L.4432689;0;0;0;Tang;;0;31;5;2012;0;0;0;L4432689;14;palawanensis;Tang CC;Tang CC
Goniothalamus palawanensis C.C.Tang & R.M.K.Saunders;Goniothalamus;PH;Puerto Princesa, Corrigutor.;9.739167;118.735278;Tang, CC;Tang, CC  10 ;31;5;2012;Tang, CC;2012-05-31T00:00:00;<NA>;Botany;L.4432690;0;0;0;Tang;;0;31;5;2012;0;0;0;L4432690;10;palawanensis;Tang CC;Tang CC
Polyalthia mindorensis Merr.;Polyalthia;PH;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";13.4667;120.917;Burley, JS;Collector Number: 179;28;4;1987;Burley, JS;<NA>;BPBM;BISH;620169;0;0;0;Collector;;0;;;;0;0;0;BISH620169;179;mindorensis;Burley, J.S.;J.S.Burley
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";13.4667;120.917;Burley, JS;Collector Number: 181;28;4;1987;Burley, JS;<NA>;BPBM;BISH;620167;0;0;0;Collector;;0;;;;0;0;0;BISH620167;181;ophthalmicus;Burley, J.S.;J.S.Burley
Drepananthus philippinensis Merr.;Drepananthus;PH;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";13.4667;120.917;Burley, JS;Collector Number: 178;28;4;1987;Burley, JS;<NA>;BPBM;BISH;620170;0;0;0;Collector;;0;;;;0;0;0;BISH620170;178;acuminatus;Burley, J.S.;J.S.Burley
Miliusa vidalii J.Sinclair;Miliusa;PH;Tawawa, slope of Mt. Natib.;14.7;120.4;Reynoso, EJ;"Reynoso, EJ; Sagcal, E; Fuentes, RE PPI 17241 ";1;4;1995;Mols, JB;<NA>;<NA>;Botany;L.3993725;0;0;0;Reynoso;;0;;;;0;0;0;L3993725;17241;vidalii;"Reynoso EJ; Sagcal E; Fuentes RE";Mols JB
Miliusa vidalii J.Sinclair;Miliusa;PH;Makiling forest.;14.135833;121.19;Palinoz, PP;Palinoz, PP  1630 ;10;8;1972;nan;<NA>;<NA>;Botany;L.3993724;0;0;0;Palinoz;;0;;;;0;0;0;L3993724;1630;vidalii;Palinoz PP;<NA>
Miliusa vidalii J.Sinclair;Miliusa;PH;Philippines, Luzon, Laguna Province, Mt. Makiling, Makiling National Park, Forestry Plantation.;14.135833;121.19;Sulit, MD;Sulit, MD PNH 22890 ;16;4;1955;nan;<NA>;<NA>;Botany;L.3993731;0;0;0;Sulit;;0;;;;0;0;0;L3993731;22890;vidalii;Sulit MD;<NA>
Miliusa vidalii J.Sinclair;Miliusa;PH;Makiling forest.;14.135833;121.19;Palinoz, PP;Palinoz, PP  1630 ;10;8;1972;nan;<NA>;<NA>;Botany;L.3993723;0;0;0;Palinoz;;0;;;;0;0;0;L3993723;1630;vidalii;Palinoz PP;<NA>
Miliusa vidalii J.Sinclair;Miliusa;PH;Philippines, Luzon, Laguna Province, Mt. Makiling, Forestry Plantation near saw mill builgind, Makiling National Park.;14.135833;121.19;Sulit, MD;Sulit, MD PNH 22887 ;16;4;1955;nan;<NA>;<NA>;Botany;L.3993732;0;0;0;Sulit;;0;;;;0;0;0;L3993732;22887;vidalii;Sulit MD;<NA>
