scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;huh_name;geo_col;wiki_url;barcode;colnum;specific_epithet;orig_recby;orig_detby
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-6.5897;106.7913;Garden, BB;Bogor Botanical Garden  7692 ;;;;Heusden, ECH van;<NA>;<NA>;Botany;L.2105934;0;0;0;Bogor;;0;;;;0;0;0;0;0;0;L2105934;7692;burahol;Bogor Botanical Garden;Heusden ECH van
Melodorum fruticosum Lour.;Melodorum;ID;Indonesia. Hort. Bot. Bogor.;-6.5897;106.7913;Garden, BB;Bogor Botanical Garden  s.n. ;;;;nan;<NA>;<NA>;Botany;L.2106005;0;0;0;Bogor;;0;;;;0;0;0;0;0;0;L2106005;nan;fruticosum;Bogor Botanical Garden;<NA>
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Java, Semerang, Kedoengdajti.;-7.166667;110.616667;Koorders, SH;Koorders, SH  570 b;6;4;1892;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106162;0;0;0;Koorders;b;0;1;3;2004;0;0;0;0;0;0;L2106162;570;horsfieldii;Koorders SH;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Hortus Bogoriensis, West Java. Origin Java.;-6.5897;106.7913;Sinclair, J;Sinclair, J  10039 ;27;2;1959;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106193;0;0;0;Sinclair;;0;1;3;2004;0;0;0;0;0;0;L2106193;10039;horsfieldii;Sinclair J;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Java, Batavia, Tjampea.;-6.533333;106.683333;Koorders, SH;Koorders, SH  30625 b;11;7;1898;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106165;0;0;0;Koorders;b;0;1;3;2004;0;0;0;0;0;0;L2106165;30625;horsfieldii;Koorders SH;Mols JB
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-6.5897;106.7913;Garden, BB;Bogor Botanical Garden  7691 ;;;;Heusden, ECH van;<NA>;<NA>;Botany;L.2105933;0;0;0;Bogor;;0;;;;0;0;0;0;0;0;L2105933;7691;burahol;Bogor Botanical Garden;Heusden ECH van
Hubera Chaowasku;Hubera;ID;"Headwaters of S. Kahayan; 5 km S of Tumbang Sian loggin camp; Sikatan Wana Raya logging concession.";-0.583333;113.416667;Burley, JS;"Burley, JS; Turkirin; et al.  878 ";3;5;1988;Chaowasku, T;<NA>;<NA>;Botany;L.2106000;0;0;0;Burley;;0;;;;0;0;0;0;0;0;L2106000;878;;"Burley JS; Turkirin; et al.";Chaowasku T
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Tanah Laut District Hutan Kintap, 43 km NE of base camp, c. 20 km N of Kintap (straight line).;-3.683333;115.233333;Leeuwenberg, AJM;"Leeuwenberg, AJM; Rudjiman  13431 ";17;4;1985;Turner, IM;2007-01-01T00:00:00;<NA>;Botany;WAG.1379170;0;0;0;Leeuwenberg;;0;1;1;2007;0;0;0;0;0;0;WAG1379170;13431;suaveolens;"Leeuwenberg AJM; Rudjiman";Turner IM
Hubera Chaowasku;Hubera;ID;Ogan Oeloe Pal.;-4.203056;103.716944;Teijsmann, JE;Teijsmann, JE  s.n. ;;;;Chaowasku, T;<NA>;<NA>;Botany;L.2105997;0;0;0;Teijsmann;;0;;;;0;0;0;0;0;0;L2105997;nan;;Teijsmann JE;Chaowasku T
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Java, Besoeki, Kedoengdjati.;-7.166667;110.616667;Koorders, SH;Koorders, SH  625 b;29;5;1888;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106172;0;0;0;Koorders;b;0;1;3;2004;0;0;0;0;0;0;L2106172;625;horsfieldii;Koorders SH;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Nederlands Nieuw Guinea, Along river Maro, between Merauke and Tajam, div. South N. Guinea.;-8.466667;140.333333;Kalkman, C;Kalkman, C BW(Ind.) 3725 ;12;8;1957;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106187;0;0;0;Kalkman;;0;1;3;2004;0;0;0;0;0;0;L2106187;3725;horsfieldii;Kalkman C;Mols JB
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. W. Java, Banten, G. Kendeng, Ujung Kulon.;-7.1;107.266667;Dransfield, J;Dransfield, J  2542 ;17;6;1972;Heusden, ECH van;<NA>;<NA>;Botany;L.2105944;0;0;0;Dransfield;;0;;;;0;0;0;0;0;0;L2105944;2542;burahol;Dransfield J;Heusden ECH van
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;S.W. Java, udjung Kulon Nature Reserve, Peutjang Isl.;-6.733333;105.25;Wirawan, N;Wirawan, N  409 ;27;1;1964;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106167;0;0;0;Wirawan;;0;1;3;2004;0;0;0;0;0;0;L2106167;409;horsfieldii;Wirawan N;Mols JB
Dendrokingstonia acuminata (Miq.) Chaowasku;Dendrokingstonia;ID;Indonesia. Sumatra, Res. Benkoelen ond afd. Redjang.;-3.17;102.5;Boschproefstation;Boschproefstation bb 2734 ;11;1;1922;Chaowasku, T;2011-07-01T00:00:00;<NA>;Botany;L.2106020;0;0;0;Boschproefstation;;0;1;7;2011;0;0;0;0;0;0;L2106020;2734;acuminata;Boschproefstation;Chaowasku T
Miliusa Lesch. ex A.DC.;Miliusa;ID;North Buton Isl.Jismil camp inland from Labuan Tobelo.Forest in steep valley of Sg. Labuan Tobelo.;-4.433333;122.983333;Coode, MJE;Coode, MJE  6249 ;14;11;1989;Chaowasku, T;<NA>;<NA>;Botany;L.2105974;0;0;0;Coode;;0;;;;0;0;0;0;0;0;L2105974;6249;;Coode MJE;Chaowasku T
Miliusa Lesch. ex A.DC.;Miliusa;ID;Prafi, Res. Manokwari, Nieuw-Guinea.;-0.75;133.833333;Brouwer, K;Brouwer, K BW(Ind.) 435 ;17;3;1954;Chaowasku, T;2007-02-01T00:00:00;<NA>;Botany;L.2105970;0;0;0;Brouwer;;0;1;2;2007;0;0;0;0;0;0;L2105970;435;;Brouwer K;Chaowasku T
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Lesser Sunda Islands: Flores.;-8.675;122.091667;Verheijen, JAJ;Verheijen, JAJ  3254 ;1;3;1974;Chaowasku, T;2008-03-01T00:00:00;<NA>;Botany;L.2105992;0;0;0;Verheijen;;0;1;3;2008;0;0;0;0;0;0;L2105992;3254;;Verheijen JAJ;Chaowasku T
Annonaceae;<NA>;ID;Atjeh province, Sumatra, Indonesia, Kloet nature reserve, S. Kloet, along the  Krung (-River) Lembang/ vicinity of Pucuk Lembang.;3.083333;97.416667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19867 ";10;7;1985;Chaowasku, T;<NA>;<NA>;Botany;L.2106199;0;0;0;Wilde;;0;;;;0;0;0;0;0;0;L2106199;19867;;"Wilde WJJO de; Wilde-Duyfjes BEE de";Chaowasku T
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Java, Besoeki, Kedoengdjati.;-7.166667;110.616667;Koorders, SH;Koorders, SH  599 b;31;3;1888;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106160;0;0;0;Koorders;b;0;1;3;2004;0;0;0;0;0;0;L2106160;599;horsfieldii;Koorders SH;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Gouv, Celebes en Onderh, ond. afd. Boeton Eil. Moena, Labalano.;-4.872;122.6033;Boschproefstation;Boschproefstation bb 5853 ;14;7;1923;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106183;0;0;0;Boschproefstation;;0;1;3;2004;0;0;0;0;0;0;L2106183;5853;horsfieldii;Boschproefstation;Mols JB
Melodorum fruticosum Lour.;Melodorum;ID;<NA>;-6.5897;106.7913;Boerlage, JG;Boerlage, JG  144 ;;;;nan;<NA>;<NA>;Botany;L.2106011;0;0;0;Boerlage;;0;;;;0;0;0;0;0;0;L2106011;144;fruticosum;Boerlage JG;<NA>
Melodorum fruticosum Lour.;Melodorum;ID;Indonesia. Hort. Bot. Bogor.;-6.5897;106.7913;Garden, BB;Bogor Botanical Garden  s.n. ;;;;nan;<NA>;<NA>;Botany;L.2106004;0;0;0;Bogor;;0;;;;0;0;0;0;0;0;L2106004;nan;fruticosum;Bogor Botanical Garden;<NA>
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;"Celebes, SW peninsula, NE of Makassar within 54-60 km on the road. 5.01 S; 119.35 E.";-5.016667;119.583333;Meijer, W;Meijer, W  10755 ;4;7;1976;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106182;0;0;0;Meijer;;0;1;3;2004;0;0;0;0;0;0;L2106182;10755;horsfieldii;Meijer W;Mols JB
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Java, Semerang, Kedoengdajti.;-7.166667;110.616667;Koorders, SH;Koorders, SH  600 b;19;10;1888;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2106166;0;0;0;Koorders;b;0;1;3;2004;0;0;0;0;0;0;L2106166;600;horsfieldii;Koorders SH;Mols JB
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. West Java: near Cibodas (Tjibodas).;-6.738088;107.005205;Murata, G;"Murata, G; Fukuoka, N J 400 ";26;8;1973;Heusden, ECH van;<NA>;<NA>;Botany;L.2105939;0;0;0;Murata;;0;;;;0;0;0;0;0;0;L2105939;400;burahol;"Murata G; Fukuoka N";Heusden ECH van
Miliusa Lesch. ex A.DC.;Miliusa;ID;North Buton Isl.Jismil camp inland from Labuan Tobelo.Forest in steep valley of Sg. Labuan Tobelo.;-4.433333;122.983333;Coode, MJE;Coode, MJE  6249 ;14;11;1989;Chaowasku, T;<NA>;<NA>;Botany;L.2105975;0;0;0;Coode;;0;;;;0;0;0;0;0;0;L2105975;6249;;Coode MJE;Chaowasku T
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;ID;Palembang;-2.916667;104.75;Unknown;Unknown HB 3897 ;;;;Su, YCF;2001-12-01T00:00:00;<NA>;Botany;U  0017004;0;0;0;Unknown;;0;1;12;2001;0;0;0;0;0;0;U0017004;3897;reticulata;Unknown;Su YCF
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Gn. Palung Nature Reserve, c100km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5447 ";15;6;1986;Turner, IM;2008-02-01T00:00:00;<NA>;Botany;U  0262808;0;0;0;Balgooy;;0;1;2;2008;0;0;0;0;0;0;U0262808;5447;cauliflora;"Balgooy MMJ van; Setten AK van";Turner IM
Disepalum coronatum Becc.;Disepalum;ID;Borneo, Oeloe Kenepai;0.583333;111.933333;Hallier, JG;Hallier, JG  1432 ;1;1;1893;Johnson, DM;<NA>;<NA>;Botany;L.2068862;0;0;0;Hallier;;0;;;;0;0;0;0;0;0;L2068862;1432;coronatum;Hallier JG;Johnson DM
Disepalum platipetalum Merr.;Disepalum;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra.;3.416667;97.666667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  18622 ";27;6;1979;Johnson, DM;<NA>;<NA>;Botany;L.2068837;0;0;0;Wilde;;0;;;;0;0;0;0;0;0;L2068837;18622;platipetalum;"Wilde WJJO de; Wilde-Duyfjes BEE de";Johnson DM
Disepalum platipetalum Merr.;Disepalum;ID;Lower Slopes of Dolok Si Manoek-manoek, Asahan (northwetward from Taloen na Oeli, Toba.;3.0285;99.865;Boeea, RS;Rahmat Si Boeea  10239 ;5;10;1936;Kessler, PJA;1989-04-01T00:00:00;<NA>;Botany;L.2068831;0;0;0;Rahmat;;0;1;4;1989;0;0;0;0;0;0;L2068831;10239;platipetalum;Rahmat Si Boeea;Kessler PJA
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, Atjeh, Kloet Nature Reserve, in vicinity of Pucuk Lembang, c. 3.05 N; 97.25 E.";3.083333;97.416667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19775 ";8;7;1985;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066175;0;0;0;Wilde;;0;1;2;2012;0;0;0;0;0;0;L2066175;19775;maingayi;"Wilde WJJO de; Wilde-Duyfjes BEE de";Turner IM
Miliusa macropoda Miq.;Miliusa;ID;Bulungan Research Forest (BRF), around the BRF camp, Long Serutan, along Serutan River.;3.066667;116.466667;Ismail;"Ismail; Arifin, Z BRF 1684 ";1;10;1999;Chaowasku, T;2006-06-01T00:00:00;<NA>;Botany;L.2066305;0;0;0;Ismail;;0;1;6;2006;0;0;0;0;0;0;L2066305;1684;macropoda;"Ismail; Arifin Z";Chaowasku T
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Malesia, Indonesia, Lesser, Sunda Islands, Flores, Tengku-Dila (Lotje, Ruis).;-8.313;120.4862;Verheijen, JAJ;Verheijen, JAJ  3084 ;27;3;1972;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067077;0;0;0;Verheijen;;0;1;10;2012;0;0;0;0;0;0;L2067077;3084;ophthalmicus;Verheijen JAJ;Xue B
Phaeanthus tephrocarpus Merr.;Phaeanthus;MY;Malaysia/Sabah. Borneo, Tawau, Kalabakan, Yayasan Sabh.;4.25;117.25;Krispinus, F;"Fidilis Krispinus; Sumbing Jimpin SAN 91309 ";10;10;1979;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067180;0;0;0;Fidilis;;0;1;10;2012;0;0;0;0;0;0;L2067180;91309;tephrocarpus;"Fidilis Krispinus; Sumbing Jimpin";Xue B
Disepalum longipes King;Disepalum;ID;Archipel. Ind. Sumatra. W.kust. Loeboek Sikaping.;0.1333;100.166667;Unknown;Unknown bb 7658 ;4;8;1924;Kessler, PJA;1989-04-01T00:00:00;<NA>;Botany;L.2068811;0;0;0;Unknown;;0;1;4;1989;0;0;0;0;0;0;L2068811;7658;longipes;Unknown;Kessler PJA
Disepalum longipes King;Disepalum;ID;Taram, East of Pajakumbuh, W. Sumatra, sandstone region of River Tjampo.;-0.216667;100.666667;Maradjo, P;Maradjo, P  304 ;24;8;1957;Kessler, PJA;1989-04-01T00:00:00;<NA>;Botany;L.2068810;0;0;0;Maradjo;;0;1;4;1989;0;0;0;0;0;0;L2068810;304;longipes;Maradjo P;Kessler PJA
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Malesia, Indonesia, N. Celebes, Bolaan Mongodow, between Pinogaluman and Pindol.;0.766667;123.966667;Vogel, EF de;Vogel, EF de  2558 ;19;10;1973;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067165;0;0;0;Vogel;;0;1;10;2012;0;0;0;0;0;0;L2067165;2558;ophthalmicus;Vogel EF de;Xue B
Monocarpia marginalis (Scheff.) J.Sinclair;Monocarpia;ID;Indonesia, Sumatra, Tigapulu Mts., Riau Prov., 5 km west of Tlalanglakat, on rengat-Jambi road, Bukit Karampal area.;-0.766667;102.533333;Burley, JS;"Burley, JS; Tukirin; et al.  1524 ";16;11;1988;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067160;0;0;0;Burley;;0;1;10;2012;0;0;0;0;0;0;L2067160;1524;marginalis;"Burley JS; Tukirin; et al.";Xue B
Hubera Chaowasku;Hubera;ID;Indonesia, Borneo, Kalimantan Tengah, km 92 from Sangai, Sg. Mentaya, Kab. Kotawaringin Timur.;-1.483333;112.516667;Tuke, ID;Tuke, ID P 13410 ;1;11;1993;Chaowasku, T;<NA>;<NA>;Botany;L.2066330;0;0;0;Tuke;;0;;;;0;0;0;0;0;0;L2066330;13410;;Tuke ID;Chaowasku T
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, S. Atjeh, Middle Atlas River (Lae Sauraya) area, c. 15 km N. of GElombang, S. of BEngkong River, c. 2.55 N; 97.57 E.";2.916667;97.95;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  20224 ";22;7;1985;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066167;0;0;0;Wilde;;0;1;2;2012;0;0;0;0;0;0;L2066167;20224;maingayi;"Wilde WJJO de; Wilde-Duyfjes BEE de";Turner IM
Disepalum platipetalum Merr.;Disepalum;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra.;3.416667;97.666667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  18353 ";22;6;1979;Johnson, DM;<NA>;<NA>;Botany;L.2068836;0;0;0;Wilde;;0;;;;0;0;0;0;0;0;L2068836;18353;platipetalum;"Wilde WJJO de; Wilde-Duyfjes BEE de";Johnson DM
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, Sumatera Seletan, Bagka, Lobok-Besar, c. 2.15 S; 106.00 N.";-2.25;106.0;Kostermans, AJGH;"Kostermans, AJGH; Anta  830 ";21;9;1949;Turner, IM;2014-02-01T00:00:00;<NA>;Botany;L.2066166;0;0;0;Kostermans;;0;1;2;2014;0;0;0;0;0;0;L2066166;830;maingayi;"Kostermans AJGH; Anta";Turner IM
Disepalum platipetalum Merr.;Disepalum;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra.;3.416667;97.666667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  18346 ";22;6;1979;Steenis, CGGJ van;1981-01-01T00:00:00;<NA>;Botany;L.2068835;0;0;0;Wilde;;0;1;1;1981;0;0;0;0;0;0;L2068835;18346;platipetalum;"Wilde WJJO de; Wilde-Duyfjes BEE de";Steenis CGGJ van
Disepalum platipetalum Merr.;Disepalum;ID;W.Sumatra, Barisan Range, Road Tapa - Sungai Penuh.;-2.05;101.3;Vogel, EF de;Vogel, EF de  2953 ;13;3;1974;Johnson, DM;<NA>;<NA>;Botany;L.2068830;0;0;0;Vogel;;0;;;;0;0;0;0;0;0;L2068830;2953;platipetalum;Vogel EF de;Johnson DM
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;Indonesia, Sumatra, CEntral Sumatra, W. Indragiri, Taluk, Hutan Pulau Lawas near Taratak Air Hutam.;-0.366667;103.0;Meijer, W;Meijer, W  4361 ;16;1;1956;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066172;0;0;0;Meijer;;0;1;2;2012;0;0;0;0;0;0;L2066172;4361;maingayi;Meijer W;Turner IM
Phaeanthus sumatrana Miq.;Phaeanthus;ID;Lurah Berangin, from Sg. (river) Marameh to Air (stream) Ujung Rajo, ca 12 km north from Lubuk Sikaping.;0.133333;100.166667;Okada, H;"Okada, H; Mori, Y; Syamsuardi; Nurainas; Afandi, I  28 ";16;2;1994;Mols, JB;1998-07-01T00:00:00;<NA>;Botany;L.2067086;0;0;0;Okada;;0;1;7;1998;0;0;0;0;0;0;L2067086;28;sumatrana;"Okada H; Mori Y; Syamsuardi; Nurainas; Afandi I";Mols JB
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Indonesia, Kalimantan Selatan, Tabalong distr., near Tanjung, PT Aya Yayang logging concession, near plot 6.;-1.7;115.483333;Kessler, PJA;"Kessler, PJA; Arifin, Z  2734 ";21;2;2000;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067155;0;0;0;Kessler;;0;1;10;2012;0;0;0;0;0;0;L2067155;2734;kalimantanensis;"Kessler PJA; Arifin Z";Xue B
Phaeanthus sumatrana Miq.;Phaeanthus;ID;Malesia, Indonesia, N. Sumatra, Sekundur Forest Reserve, upper Besitang River Area, Langkat.;3.916667;98.0;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  21286 ";7;8;1991;Mols, JB;1998-07-01T00:00:00;<NA>;Botany;L.2067087;0;0;0;Wilde;;0;1;7;1998;0;0;0;0;0;0;L2067087;21286;sumatrana;"Wilde WJJO de; Wilde-Duyfjes BEE de";Mols JB
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indoensia, Sumatra, N. Riau, River Mahato Kiri area, c. 1.20 N; 100.26 E.";1.333333;100.433333;Setiabudi;Setiabudi  5 ;25;3;1984;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066170;0;0;0;Setiabudi;;0;1;2;2012;0;0;0;0;0;0;L2066170;5;maingayi;Setiabudi;Turner IM
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, Riau Province, Bukit Karampal area, Mts. Tigapulu, 5 km W of Talangkalat on Rengai-Jambi road, c. 0.46 S; 102.32 E.";-0.766667;102.533333;Burley, JS;"Burley, JS; et al.  1602 ";20;11;1988;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066161;0;0;0;Burley;;0;1;2;2012;0;0;0;0;0;0;L2066161;1602;maingayi;"Burley JS; et al.";Turner IM
Miliusa macropoda Miq.;Miliusa;ID;East Kalimantan, Berau, KM 34 from Labanan to Kelai, Gunung Batu.;2.1;117.316667;Ambriansyah;"Ambriansyah; Arifin, Z Berau 1515 ";11;5;1990;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2066304;0;0;0;Ambriansyah;;0;1;3;2004;0;0;0;0;0;0;L2066304;1515;macropoda;"Ambriansyah; Arifin Z";Mols JB
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Indonesia, Borneo, Kalimantan Timur, P.T. ITCI, road Kenangan to G. Maratus, than to Basecamp Birawa, km 57.;1.833333;117.0;Kessler, PJA;"Kessler, PJA; et al.  968 ";28;3;1995;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067154;0;0;0;Kessler;;0;1;10;2012;0;0;0;0;0;0;L2067154;968;kalimantanensis;"Kessler PJA; et al.";Xue B
Phaeanthus splendens Miq.;Phaeanthus;ID;Malesia, Indonesia, Sumatra, Sumatera Utara, East Coast, Masihi Forest Reserve, Asahan.;2.166667;99.7;Krukoff, BA;Krukoff, BA  4206 ;1;10;1932;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067085;0;0;0;Krukoff;;0;1;10;2012;0;0;0;0;0;0;L2067085;4206;splendens;Krukoff BA;Xue B
Miliusa macropoda Miq.;Miliusa;ID;East Kalimantan, Berau, KM 34 from Labanan to Kelai, Gunung Batu.;2.1;117.316667;Ambriansyah;"Ambriansyah; Arifin, Z Berau 1515 ";11;5;1990;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2066303;0;0;0;Ambriansyah;;0;1;3;2004;0;0;0;0;0;0;L2066303;1515;macropoda;"Ambriansyah; Arifin Z";Mols JB
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;"Indonesia. Kabupaten Manokwari; Kecamatan Manokwari. Arfak Mountains, Mupi Dessa; trail from Mupi village to G. Humibou, near Sungai. Mupi c. 3 Km upstream from Kali Umera, between Kali Ureda and the confluence of Kali Ngwes and S. Mupi.";-1.1;134.016667;Sands, MJS;"Sands, MJS; Waly; Elisa  6839 ";16;4;1995;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067080;0;0;0;Sands;;0;1;10;2012;0;0;0;0;0;0;L2067080;6839;ophthalmicus;"Sands MJS; Waly; Elisa";Xue B
Phaeanthus splendens Miq.;Phaeanthus;ID;"Malesia, Indonesia, Borneo, Kalimantan Timur, Wanariset Area, Rintis Baru, km 3c. 1.00 S; 117.00 E.";-1.0;117.0;Ambriansyah;"Ambriansyah; Arifin, Z W 727 ";7;5;1991;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.2067174;0;0;0;Ambriansyah;;0;1;10;2012;0;0;0;0;0;0;L2067174;727;splendens;"Ambriansyah; Arifin Z";Xue B
Miliusa macropoda Miq.;Miliusa;ID;Central East Borneo, W. Koetai, no 43, Kombeng.;0.5;117.0;Endert, FH;Endert, FH  5189 ;23;11;1925;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2066313;0;0;0;Endert;;0;1;3;2004;0;0;0;0;0;0;L2066313;5189;macropoda;Endert FH;Mols JB
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, Atjeh, Kloet Nature Reserve, in vicinity of Pucuk Lembang, c. 3.05 N; 97.25 E.";3.083333;97.416667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19775 ";8;7;1985;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066176;0;0;0;Wilde;;0;1;2;2012;0;0;0;0;0;0;L2066176;19775;maingayi;"Wilde WJJO de; Wilde-Duyfjes BEE de";Turner IM
Monocarpia maingayi (Hook.f. & Thomson) I.M.Turner;Cyathocalyx;ID;"Indonesia, Sumatra, Riau Province, Bukit Karampal area, Mts. Tigapulu, 5 km W of Talangkalat on Rengai-Jambi road, c. 0.46 S; 102.32 E.";-0.766667;102.533333;Burley, JS;"Burley, JS; et al.  1602 ";20;11;1988;Turner, IM;2012-02-01T00:00:00;<NA>;Botany;L.2066160;0;0;0;Burley;;0;1;2;2012;0;0;0;0;0;0;L2066160;1602;maingayi;"Burley JS; et al.";Turner IM
Miliusa macropoda Miq.;Miliusa;ID;Indonesia, Borneo, Kalimantan Timur, Berau, P.T. Inhutani I logging area, near kn 35, camp BFMP.;1.883333;117.183333;Kessler, PJA;"Kessler, PJA; Arbainsyah Berau 1364 ";13;10;1998;nan;<NA>;<NA>;Botany;L.2066296;0;0;0;Kessler;;0;;;;0;0;0;0;0;0;L2066296;1364;macropoda;"Kessler PJA; Arbainsyah";<NA>
Miliusa macropoda Miq.;Miliusa;ID;Central East Borneo, W. Koetai, no 43, Kombeng.;0.5;117.0;Endert, FH;Endert, FH  5168 ;22;11;1925;Mols, JB;2004-03-01T00:00:00;<NA>;Botany;L.2066292;0;0;0;Endert;;0;1;3;2004;0;0;0;0;0;0;L2066292;5168;macropoda;Endert FH;Mols JB
Miliusa macropoda Miq.;Miliusa;ID;Indonesia, Borneo, Kalimantan Timur, Berau, P.T. Inhutani I logging area, near kn 35, camp BFMP.;1.883333;117.183333;Kessler, PJA;"Kessler, PJA; Arbainsyah Berau 1364 ";13;10;1998;nan;<NA>;<NA>;Botany;L.2066297;0;0;0;Kessler;;0;;;;0;0;0;0;0;0;L2066297;1364;macropoda;"Kessler PJA; Arbainsyah";<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Borneo, Kalimantan Barat, Ketapang, Gunung Palung National Park, Cabang Panti Research Site, Trail BC3.;-1.866666;109.983333;Laman, TG;"Laman, TG; et al.  706 ";10;3;1997;Mols, JB;1998-08-01T00:00:00;<NA>;Botany;L.2067124;0;0;0;Laman;;0;1;8;1998;0;0;0;0;0;0;L2067124;706;ophthalmicus;"Laman TG; et al.";Mols JB
