scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname;genus_old;specificEpithet_old
Enicosanthum Becc.;Enicosanthum;ID;South Kalimantan, Kabupaten Tabalong, Km 74, PT. Aya Yayang Indonesia.;-1.633333;115.516667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2151 ";17;7;2000;Sidiyasa K;2000-07-01T00:00:00;nan;Botany;L  0490609;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0490609;2151;"Sidiyasa K; Arifin Z";Sidiyasa;Enicosanthum;nan
Enicosanthum Becc.;Enicosanthum;ID;South Kalimantan, Kabupaten Tabalong, Km 74, PT. Aya Yayang Indonesia.;-1.633333;115.516667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2151 ";17;7;2000;Sidiyasa K;2000-07-01T00:00:00;nan;Botany;L  0490610;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0490610;2151;"Sidiyasa K; Arifin Z";Sidiyasa;Enicosanthum;nan
Mezzettia parviflora Becc.;Mezzettia;ID;South Kalimantan, Kabupaten Tabalong, Arboretum PT. Aya Yayang Indonesia.;-1.733333;115.46666699999999;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2184 ";18;7;2000;Kessler PJA;2000-10-01T00:00:00;nan;Botany;L.1761722;parviflora;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1761722;2184;"Sidiyasa K; Arifin Z";Sidiyasa;Mezzettia;parviflora
Mezzettia parviflora Becc.;Mezzettia;ID;South Kalimantan, Kabupaten Tabalong, Arboretum PT. Aya Yayang Indonesia.;-1.733333;115.46666699999999;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2184 ";18;7;2000;Kessler PJA;2000-10-01T00:00:00;nan;Botany;L.1761721;parviflora;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1761721;2184;"Sidiyasa K; Arifin Z";Sidiyasa;Mezzettia;parviflora
Mezzettia parviflora Becc.;Mezzettia;ID;South Kalimantan, Kabupaten Tabalong, Arboretum PT. Aya Yayang Indonesia.;-1.733333;115.46666699999999;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2184 ";18;7;2000;Kessler PJA;2000-10-01T00:00:00;nan;Botany;L  0778700;parviflora;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0778700;2184;"Sidiyasa K; Arifin Z";Sidiyasa;Mezzettia;parviflora
Mitrephora maingayi Hook.f. & Thomson;Mitrephora;ID;South Kalimantan, Kabupaten Tabalong, Arboretum PT. Aya Yayang Indonesia.;-1.733333;115.466667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2185 ";18;7;2000;nan;nan;nan;Botany;L.1757153;teysmannii;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1757153;2185;"Sidiyasa K; Arifin Z";Sidiyasa;Mitrephora;teysmannii
Mitrephora maingayi Hook.f. & Thomson;Mitrephora;ID;South Kalimantan, Kabupaten Tabalong, Arboretum PT. Aya Yayang Indonesia.;-1.733333;115.466667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z  2185 ";18;7;2000;nan;nan;nan;Botany;L.1757154;teysmannii;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1757154;2185;"Sidiyasa K; Arifin Z";Sidiyasa;Mitrephora;teysmannii
Uvaria L.;Uvaria;ID;Indonesia. Central Kalimantan, Sei Gohong village, Kaja island in the Rungun River.;-1.95;113.766667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2309 ";10;1;2001;Sidiyasa K;2001-01-01T00:00:00;nan;Botany;L  0333220;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0333220;2309;"Sidiyasa K; Arifin Z; Abadi F";Sidiyasa;Uvaria;nan
Uvaria L.;Uvaria;ID;Indonesia. Central Kalimantan, Sei Gohong village, Kaja island in the Rungun River.;-1.95;113.766667;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2309 ";10;1;2001;Sidiyasa K;2001-01-01T00:00:00;nan;Botany;L  0333221;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0333221;2309;"Sidiyasa K; Arifin Z; Abadi F";Sidiyasa;Uvaria;nan
Xylopia ferruginea (Hook.f. & Thomson) Baill.;Xylopia;ID;"Indonesia, Borneo, Kalimantan Tengah, Ulu Barito.0.02 S; 114.06 E; 0 m alt.";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 236 ;1;6;1990;Kessler PJA;nan;nan;Botany;L  0047191;ferruginea;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0047191;236;Sidiyasa K;Sidiyasa;Xylopia;ferruginea
