recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Ramos, M;;Kessler, P;01/05/2004 - 31/05/2004;01/06/1922 - 30/06/1922;Occidental Mindoro;Philippines. Pinamalayan. Mindoro;P01960456;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;6;1922;1;5;2004;0;0;0;121.4801563;13.0386691;0;0;nan;P01960456;Ramos, M.;Kessler, P.;Ramos;;
Ramos, M;;Mols, JB;01/07/1998 - 31/07/1998;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P01960457;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;8;1923;1;7;1998;0;0;0;124.2;9.87;0;0;nan;P01960457;Ramos, M.;Mols, J.B.;Ramos;;
Ramos, M;;Kessler, P;01/05/2004 - 31/05/2004;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P01960458;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;8;1923;1;5;2004;0;0;0;124.16;9.83;0;0;nan;P01960458;Ramos, M.;Kessler, P.;Ramos;;
Martelino, A;;Mols, JB;01/07/1998 - 31/07/1998;01/05/1919 - 30/06/1919;Capiz;Philippines. Libacao. Capiz Province. Panay;P01960466;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;5;1919;1;7;1998;0;0;0;122.398;11.4357;0;0;nan;P01960466;Martelino, A.;Mols, J.B.;Martelino;;
Ramos, M;;nan;<NA>;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Bucas Grande Island;P00411036;Philippines;Oxymitra;oligophlebia;0;0;0;0;<NA>;<NA>;1;6;1919;;;;0;0;0;125.959;9.66;0;0;nan;P00411036;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Merrill, ED;<NA>;01/12/1913 - 31/12/1913;Bicol Region (Region V);Philippine Plants. Prov. of Camarines. Luzon;P01983243;Philippines;Popowia;polyandra;0;0;0;0;<NA>;<NA>;1;12;1913;;;;0;0;0;122.793;14.013;0;0;nan;P01983243;Ramos, M.;Merrill, E.D.;Ramos;;
Ramos, M;;nan;<NA>;01/07/1915 - 31/08/1915;Sorsogon;Philiippines. Province of Sorsogon. Luzon.;P01983244;Philippines;Popowia;polyandra;0;0;0;0;<NA>;<NA>;1;7;1915;;;;0;0;0;124.0052543;12.9707848;0;0;nan;P01983244;Ramos, M.;<NA>;Ramos;;
Ramos, M;;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P01983246;Philippines;Popowia;pisocarpa;0;0;0;0;<NA>;<NA>;1;9;1926;;;;0;0;0;122.03;14.12;0;0;nan;P01983246;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Kessler, P;01/05/2004 - 31/05/2004;01/11/1925 - 31/12/1925;Oriental Mindoro;Philippines. Puerto Galera. Mindoro;P02007489;Philippines;Meiogyne;mindorensis;0;0;0;0;<NA>;<NA>;1;11;1925;1;5;2004;0;0;0;120.9541838;13.5018252;0;0;nan;P02007489;Ramos, M.;Kessler, P.;Ramos;;
Ramos, M;;Kessler, P;01/05/2009 - 31/05/2009;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao island;P02007491;Philippines;Meiogyne;mindorensis;0;0;0;0;<NA>;<NA>;1;6;1919;1;5;2009;0;0;0;126.05119282649673;9.9051382;0;0;nan;P02007491;Ramos, M.;Kessler, P.;Ramos;;
Ramos, M;;Kessler, P;01/05/2004 - 31/05/2004;01/03/1914 - 30/04/1914;Eastern Visayas (Region VIII);Samar;P01954526;Philippines;Neo-Uvaria;sp.;0;0;0;0;<NA>;<NA>;1;3;1914;1;5;2004;0;0;0;125.0;12.0;0;0;nan;P01954526;Ramos, M.;Kessler, P.;Ramos;;
Ramos, M;;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P01967858;Philippines;Mitrephora;cagayanensis;0;0;0;0;<NA>;<NA>;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;nan;P01967858;Ramos, M.;<NA>;Ramos;;
Guerrero, F;;nan;<NA>;01/05/1926 - 31/07/1926;;Philippines. Lanao Province. Mindanao;P01983259;Philippines;Popowia;pisocarpa;0;0;0;0;<NA>;<NA>;1;5;1926;;;;0;0;0;124.113;7.912;0;0;nan;P01983259;Guerrero, F.;<NA>;Guerrero;;
Mesa, A de;;nan;<NA>;01/03/1919 - 30/06/1919;Davao Region (Region XI);Philippines. Davao Province. Mindanao;P01967881;Philippines;Mitrephora;williamsii;0;0;0;0;<NA>;<NA>;1;3;1919;;;;0;0;0;125.5;7.17;0;0;nan;P01967881;Mesa, A. de;<NA>;Mesa;;
Cruz, F;;nan;<NA>;01/02/1915 - 30/04/1915;Lanao del Norte;Philiippines. District of Lanao, Mindanao;P01967885;Philippines;Mitrephora;samarensis;0;0;0;0;<NA>;<NA>;1;2;1915;;;;0;0;0;124.113;7.912;0;0;nan;P01967885;Cruz, F.;<NA>;Cruz;;
