scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Kebun Raya Bogor.;-6.583333;106.783333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;<NA>;<NA>;<NA>;Botany;L  0770376;0;0;0;Balgooy;;0;;;;0;0;0;L0770376;5683;pisocarpa;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;heuvel links achter Djaro Dam.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2328 ;14;3;1973;<NA>;<NA>;<NA>;Botany;L.4414158;0;0;0;Vogel;;0;;;;0;0;0;L4414158;2328;rumphii;Vogel EF de;<NA>;<NA>
Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2248 ;9;3;1973;<NA>;<NA>;<NA>;Botany;L.4414211;0;0;0;Vogel;;0;;;;0;0;0;L4414211;2248;;Vogel EF de;<NA>;<NA>
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Landah, Ngabang.;0.383333;109.95;Boschproefstation;Boschproefstation bb 6412 ;28;4;1924;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370459;0;0;0;Boschproefstation;;0;;;;0;0;0;L4370459;6412;caudata;Boschproefstation;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Polyalthia teysmannii (Miq.) King;Polyalthia;ID;behind Djaro Dam, road to G. Sarempaka.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2279 ;11;3;1973;<NA>;<NA>;<NA>;Botany;L.4414121;0;0;0;Vogel;;0;;;;0;0;0;L4414121;2279;cauliflora;Vogel EF de;<NA>;<NA>
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Indonesia, Java, Kebun Raya Bogor.;-6.583333;106.783333;Mols JB;Mols, JB  12 ;4;9;2001;<NA>;<NA>;<NA>;Botany;L  0770364;0;0;0;Mols;;0;;;;0;0;0;L0770364;12;horsfieldii;Mols JB;<NA>;<NA>
Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2248 ;9;3;1973;<NA>;<NA>;<NA>;Botany;L.4414212;0;0;0;Vogel;;0;;;;0;0;0;L4414212;2248;;Vogel EF de;<NA>;<NA>
Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2339 ;15;3;1973;<NA>;<NA>;<NA>;Botany;L.4414168;0;0;0;Vogel;;0;;;;0;0;0;L4414168;2339;;Vogel EF de;<NA>;<NA>
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Meratus 5230 area, PT. ITCI Kenangan, Balikpapan.;-1.083333;116.7;Ambriansyah;Ambriansyah AA 611 ;27;9;1992;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4407219;0;0;0;Ambriansyah;;0;;;;0;0;0;L4407219;611;sumatrana;Ambriansyah;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Marsypopetalum Scheff.;Marsypopetalum;ID;Gunung Meratus PT. ITCI Balikpapan seberang.;-1.816667;115.733333;Ambriansyah;Ambriansyah AA 2510 ;1;3;2002;<NA>;<NA>;<NA>;Botany;L.4406214;0;0;0;Ambriansyah;;0;;;;0;0;0;L4406214;2510;;Ambriansyah;<NA>;<NA>
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Sumatra, Upper Riauw, Pakanbaru, Tenajan R.;0.533333;101.45;Soepadmo E;Soepadmo, E  112 ;19;8;1960;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370465;0;0;0;Soepadmo;;0;;;;0;0;0;L4370465;112;caudata;Soepadmo E;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Bangka G. Maras;-2.25;106.0;Kostermans AJGH;"Kostermans, AJGH; Anta  1371 ";27;10;1949;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370464;0;0;0;Kostermans;;0;;;;0;0;0;L4370464;1371;caudata;"Kostermans AJGH; Anta";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia ngii D.M.Johnson & N.A.Murray;Xylopia;ID;East Kutei, Loa Djanan region along road Balikpapan, Samarinda;-0.5;117.15;Kostermans AJGH;Kostermans, AJGH  10205 ;15;3;1955;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370496;0;0;0;Kostermans;;0;;;;0;0;0;L4370496;10205;ngii;Kostermans AJGH;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Bangka, Lobok-besar, G. Pading;-2.6;106.55;Kostermans AJGH;"Kostermans, AJGH; Anta  1012 ";30;9;1949;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370500;0;0;0;Kostermans;;0;;;;0;0;0;L4370500;1012;heterotricha;"Kostermans AJGH; Anta";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;ZO afd. v. Borneo, West Kutei;0.0;116.5;Neth. Ind. For. Service;Neth. Ind. For. Service bb 16521 ;20;3;1932;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370524;0;0;0;Neth;;0;;;;0;0;0;L4370524;16521;heterotricha;Neth. Ind. For. Service;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Indonesia, Borneo, Kalimantan Barat, Bukit Raya;-0.666667;112.783333;Nooteboom HP;Nooteboom, HP  4983 ;6;11;1983;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370458;0;0;0;Nooteboom;;0;;;;0;0;0;L4370458;4983;caudata;Nooteboom HP;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
