;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
7072;Arifin;Arifin;1703;Arifin, Ambri, Arbainsyah & Kessler;Arifin, Ambri, Arbainsyah & Kessler;detby_problem;, Arbainsyah & Kessler
7081;Arifin, Z;Arifin, Z.;1749;Arifin, Z. & Arbainsyah;Arifin, Z. & Arbainsyah;detby_problem;Arbainsyah
7094;Balansa, B;Balansa, B.;1475;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7095;Pirey, M de;Pirey, M. de;64;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7174;David, B;David, B.;69;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7175;David, B;David, B.;69;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7183;Teijsmann;Teijsmann;75;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7187;Loher;Loher;57;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7188;Loher, A;Loher, A.;57;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7318;Poilane, E;Poilane, E.;30002;Jovet-Ast, S.;Jovet-Ast, S.;detby_problem;Jovet-Ast, S.
7332;Schaller, H;Schaller, H.;3796;Schaller, H. & Teo, L.E.;Schaller, H. & Teo, L.E.;detby_problem;E.
7407;Poilane;Poilane;8839;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7413;Poilane;Poilane;8810;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7414;Poilane;Poilane;8814;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7425;Clemens, J;Clemens, J.;3752;Clemens, J. & Clemens, M.S.;Clemens, J. & Clemens, M.S.;detby_problem;S.
7477;Geesink, R;Geesink, R.;5777;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7603;Lecomte, H;Lecomte, H.;1337;Lecomte, H. et Finet, A.;Lecomte, H. et Finet, A.;detby_problem; Finet, A.
7635;Ambri;Ambri;504;Ambri & Arifin;Ambri & Arifin;detby_problem;Ambri & Arifin
7807;Poilane, E;Poilane, E.;22654;Van Heusden, E.C.H.;Van Heusden, E.C.H.;detby_problem;, E.C.H.
7813;Poilane;Poilane;9303;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7815;Poilane;Poilane;8153;Van Heusden, E.C.H.;Van Heusden, E.C.H.;detby_problem;, E.C.H.
7816;Poilane;Poilane;8141;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7818;Poilane, E;Poilane, E.;6828;Van Heusden, E.C.H.;Van Heusden, E.C.H.;detby_problem;, E.C.H.
7822;Poilane;Poilane;5175;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7823;Poilane;Poilane;5175;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7825;Poilane;Poilane;3193;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7836;Evrard, F;Evrard, F.;454;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
7999;Hooker, JD;Hooker, J.D.;;Hooker, J.D. & Thomson, T.;Hooker, J.D. & Thomson, T.;detby_problem;homson, T.
8099;Ngadiman;Ngadiman;37013;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
8127;Chevalier, A;Chevalier, A.;31978;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
