scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy
0;Goniothalamus;sp.;0;0;Miranda, DP;;<NA>;nan;<NA>;01/09/1913 - 30/09/1913;1;9;1913;Kessler, P.;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Philippines, Butuan Subprovince. Mindanao;0;125.527228;8.9478297;0;0;P02034811;P02034811;Miranda;Agusan del Norte;Miranda, D.P.
0;Goniothalamus;amuyon;0;0;Otanes, F;;<NA>;nan;<NA>;01/04/1914 - 30/06/1914;1;4;1914;<NA>;<NA>;;;;0;Philippines;0;Umingan, Province of Pangasinan, Luzon, Philippines.;0;120.8334911;15.9292773;0;0;P01988180;P01988180;Otanes;Pangasinan;Otanes, F.
0;Mitrephora;sp.;0;0;Otanes, F;;<NA>;nan;<NA>;01/04/1914 - 30/06/1914;1;4;1914;<NA>;<NA>;;;;0;Philippines;0;Umingan, Province of Pangasinan, Luzon, Philippines.;0;120.8334911;15.9292773;0;0;P00133828;P00133828;Otanes;Pangasinan;Otanes, F.
0;Miliusa;sp.;0;0;Paraiso, E;;<NA>;nan;<NA>;01/04/1915 - 30/04/1915;1;4;1915;Kessler, P.;25/10/1989 - 25/10/1989;25;10;1989;0;Philippines;0;Philippines. Province of Ilocos Norte. Luzon;0;120.75;18.166667;0;0;P00160921;P00160921;Paraiso;Ilocos Norte;Paraiso, E.
0;Polyalthia;oblongifolia;0;0;Paraiso, E;;<NA>;nan;<NA>;01/03/1918 - 31/05/1918;1;3;1918;<NA>;<NA>;;;;0;Philippines;0;Philippines. Bucay, Abra Province. Luzon;0;120.7187526;17.5384336;0;0;P01983773;P01983773;Paraiso;Abra;Paraiso, E.
0;Fissistigma;rufum;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1910 - 31/08/1910;1;8;1910;Hou, X.L.;30/03/2011 - 30/03/2011;30;3;2011;0;Philippines;0;Philippines. Province of Laguna. Luzon;0;121.334;14.17;0;0;P00751039;P00751039;Ramos;Laguna;Ramos, M.
0;Goniothalamus;elmeri;0;0;Ramos, M;;<NA>;nan;<NA>;01/09/1911 - 30/09/1911;1;9;1911;<NA>;<NA>;;;;0;Philippines;0;Philippines. Mt Maquiling. Prov. of Laguna. Luzon;0;121.2;14.132;0;0;P01988165;P01988165;Ramos;Laguna;Ramos, M.
0;Goniothalamus;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1913 - 31/12/1913;1;12;1913;Kessler, P.;09/09/1985 - 09/09/1985;9;9;1985;0;Philippines;0;Philippines. Sagnay, Camarines;0;123.5227082;13.6033934;0;0;P01988186;P01988186;Ramos;Camarines Sur;Ramos, M.
0;Polyalthia;oblongifolia;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1913 - 31/12/1913;1;12;1913;<NA>;<NA>;;;;0;Philippines;0;Philippines. Prov. of Camarines. Luzon;0;122.793;14.013;0;0;P01983775;P01983775;Ramos;Bicol Region (Region V);Ramos, M.
0;Popowia;polyandra;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1913 - 31/12/1913;1;12;1913;Merrill, E.D.;<NA>;;;;0;Philippines;0;Philippine Plants. Prov. of Camarines. Luzon;0;122.793;14.013;0;0;P01983243;P01983243;Ramos;Bicol Region (Region V);Ramos, M.
