scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;"Kebun Raya Bogor; West Java.";-6.583333;106.783333;Balgooy, MMJ van;Balgooy, MMJ van  5143 ;14;9;1985;nan;nan;nan;Botany;L  0299392;lateriflora;0;0;Balgooy;;0;0;0;0;0;0;0;L0299392;5143;Balgooy MMJ van
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Gn. Palung Nature Reserve, c100km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5447 ";15;6;1986;Turner IM;2008-02-01T00:00:00;nan;Botany;L  0299389;cauliflora;0;0;Balgooy;;0;0;0;0;0;0;0;L0299389;5447;"Balgooy MMJ van; Setten AK van"
Fissistigma Griff.;Fissistigma;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimanten.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5553 ";21;6;1986;nan;nan;nan;Botany;L  0299215;nan;0;0;Balgooy;;0;0;0;0;0;0;0;L0299215;5553;"Balgooy MMJ van; Setten AK van"
Cyathocalyx havilandii Boerl.;Drepananthus;ID;Gn Palung Nature Reserve, c.100km S of Pontianak.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5503 ";18;6;1986;Setten AK van;nan;nan;Botany;L  0299252;havilandii;0;0;Balgooy;;0;0;0;0;0;0;0;L0299252;5503;"Balgooy MMJ van; Setten AK van"
Friesodielsia cuneiformis (Blume) Steenis;Friesodielsia;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5284 ";31;5;1980;nan;nan;nan;Botany;L  0299227;cuneiformis;0;0;Balgooy;;0;0;0;0;0;0;0;L0299227;5284;"Balgooy MMJ van; Setten AK van"
Monoon lateriflorum (Blume) Miq.;Polyalthia;ID;Gn. Palung Nature Reserve, c. 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5502 ";18;6;1986;Xue B;2012-10-01T00:00:00;nan;Botany;L  0299155;lateriflora;0;0;Balgooy;;0;0;0;0;0;0;0;L0299155;5502;"Balgooy MMJ van; Setten AK van"
Cyathocalyx havilandii Boerl.;Drepananthus;ID;Indonesia, Gn Palung Nature Reserve, c.100km S of Pontianak, W Kalimantan;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5472 ";16;6;1986;Setten AK van;nan;nan;Botany;L  0299247;havilandii;0;0;Balgooy;;0;0;0;0;0;0;0;L0299247;5472;"Balgooy MMJ van; Setten AK van"
Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Kebun Raya Bogor, W. Java, Indonesia.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5649 ";4;7;1986;Mols JB;2004-03-01T00:00:00;nan;Botany;L  0299363;horsfieldii;0;0;Balgooy;;0;0;0;0;0;0;0;L0299363;5649;"Balgooy MMJ van; Setten AK van"
Pseuduvaria rugosa (Blume) Merr.;Pseuduvaria;ID;Indonesia, Sumatra, Aceh, Gunung Leuser Nature Reserve, Ketambe, valley of Lau Alas, near tributary of Lau Ketambe, c. 35 NW of Kutatjane,200-400 m alt.;3.083333;97.916667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  12511 ";1;6;1972;Su YCF;2001-09-01T00:00:00;nan;Botany;L  0299538;rugosa;0;0;Wilde;;0;0;0;0;0;0;0;L0299538;12511;"Wilde WJJO de; Wilde-Duyfjes BEE de"
Stelechocarpus cauliflorus (Scheff.) R.E.Fr.;Stelechocarpus;ID;nan;-6.5897;106.7913;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5689 ";8;7;1986;nan;nan;nan;Botany;L  0299455;cauliflorus;0;0;Balgooy;;0;0;0;0;0;0;0;L0299455;5689;"Balgooy MMJ van; Setten AK van"
