recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url
Beauvais, J;;nan;<NA>;<NA>;Guangxi(广西);Longtchéou;P01965505;Chine;<NA>;indet.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;106.8507;22.3463;0;0;nan;P01965505;Beauvais, J.;<NA>;Beauvais;Beauvais, J;<NA>;<NA>
Beccari, O;;Kessler, P;09/09/1985 - 09/09/1985;<NA>;;Bornéo.;P01987367;<NA>;Xylopia;sp.;0;0;0;0;<NA>;<NA>;;;;9;9;1985;0;0;0;;;0;0;nan;P01987367;Beccari, O.;Kessler, P.;Beccari;Beccari, Odoardo;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
Beccari, O;;Kessler, P;09/09/1985 - 09/09/1985;<NA>;;Bornéo.;P02029198;<NA>;Artabotrys;sp.;0;0;0;0;<NA>;<NA>;;;;9;9;1985;0;0;0;;;0;0;nan;P02029198;Beccari, O.;Kessler, P.;Beccari;Beccari, Odoardo;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
Beccari, O;;Kessler, P;01/05/2004 - 31/05/2004;<NA>;;Bornéo;P01982946;<NA>;Polyalthia;cauliflora;0;0;0;0;<NA>;<NA>;;;;1;5;2004;0;0;0;;;0;0;nan;P01982946;Beccari, O.;Kessler, P.;Beccari;Beccari, Odoardo;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
Biswas, AC;;nan;<NA>;21/04/1915 - 21/04/1915;Uttar Pradesh;Siwalik and Jaunsar Divisions. Tilwari.;P01967647;Inde;Miliusa;velutina;0;0;0;0;<NA>;<NA>;21;4;1915;;;;0;0;0;82.552;25.958;0;0;nan;P01967647;Biswas, A.C.;<NA>;Biswas;Biswas, AC;<NA>;<NA>
Blume;;Blume;<NA>;<NA>;;Java;P00260002;Indonésie;Uvaria;montana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00260002;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;01/01/1834 - 31/12/1834;;Java;P00260034;Indonésie;Uvaria;hirsuta;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P00260034;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Meade, C;01/07/2000 - 01/07/2000;<NA>;;Java;P00142666;Indonésie;Uvaria;javana;0;0;0;0;<NA>;<NA>;;;;1;7;2000;0;0;0;;;0;0;nan;P00142666;Blume;Meade, C.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Meade, C;01/07/2000 - 01/07/2000;<NA>;;Java;P00142668;Indonésie;Uvaria;javana;0;0;0;0;<NA>;<NA>;;;;1;7;2000;0;0;0;;;0;0;nan;P00142668;Blume;Meade, C.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P00268513;Indonésie;Pseuduvaria;latifolia;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P00268513;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P00268514;Indonésie;Pseuduvaria;latifolia;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P00268514;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;01/01/1834 - 31/12/1834;;Java.;P00268529;Indonésie;Mitrephora;reticulata;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P00268529;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;05/09/1985 - 05/09/1985;<NA>;;Java;P00268538;Indonésie;Uvaria;rugosa;0;0;0;0;<NA>;<NA>;;;;5;9;1985;0;0;0;;;0;0;nan;P00268538;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;05/09/1985 - 05/09/1985;01/01/1834 - 31/12/1834;;Java;P00268539;Indonésie;Pseuduvaria;rugosa;0;0;0;0;<NA>;<NA>;1;1;1834;5;9;1985;0;0;0;;;0;0;nan;P00268539;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00260039;Indonésie;Uvaria;purpurea;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00260039;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00260080;Indonésie;Uvaria;argentea;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00260080;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;01/01/1834 - 31/12/1834;;Ceylan;P00248427;Sri Lanka;Uvaria;zeylanica;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P00248427;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00248443;Indonésie;Uvaria;sphaerocarpa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00248443;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;01/01/1834 - 31/12/1834;;Java;P00248468;Indonésie;Uvaria;rufa;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P00248468;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00248469;Indonésie;Uvaria;rufa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00248469;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00248470;Indonésie;Uvaria;rufa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00248470;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;01/01/1993 - 31/12/1993;<NA>;;Java;P00247927;Indonésie;Uvaria;burahol;0;0;0;0;<NA>;<NA>;;;;1;1;1993;0;0;0;;;0;0;nan;P00247927;Blume;Van Heusden, E.C.H.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;01/01/1834 - 31/12/1834;;Java;P00247933;Indonésie;Stelechocarpus;burahol;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P00247933;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;01/01/1987 - 31/12/1987;<NA>;;Java;P00268432;Indonésie;Trivalvaria;macrophylla;0;0;0;0;<NA>;<NA>;;;;1;1;1987;0;0;0;;;0;0;nan;P00268432;Blume;van Setten, A.K.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;01/01/1987 - 31/12/1987;<NA>;;Java;P00268433;Indonésie;Trivalvaria;macrophylla;0;0;0;0;<NA>;<NA>;;;;1;1;1987;0;0;0;;;0;0;nan;P00268433;Blume;van Setten, A.K.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;14/01/1986 - 14/01/1986;<NA>;;Java;P01987464;Indonésie;Orophea;sp.;0;0;0;0;<NA>;<NA>;;;;14;1;1986;0;0;0;;;0;0;nan;P01987464;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;<NA>;;Java;P01987542;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;;;;6;1;1986;0;0;0;;;0;0;nan;P01987542;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;14/01/1986 - 14/01/1986;<NA>;;Java;P01987543;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;;;;14;1;1986;0;0;0;;;0;0;nan;P01987543;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/01/1985 - 06/01/1985;01/01/1834 - 31/12/1834;;Java;P01987544;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1985;0;0;0;;;0;0;nan;P01987544;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P01987545;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P01987545;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;01/11/2003 - 30/11/2003;<NA>;;Java;P00751167;Indonésie;Meiogyne;virgata;0;0;0;0;<NA>;<NA>;;;;1;11;2003;0;0;0;;;0;0;nan;P00751167;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P00404557;Indonésie;Guatteria;pallida;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00404557;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;<NA>;<NA>;;Java;P01952562;Indonésie;Cananga;odorata;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01952562;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler;01/11/2003 - 30/11/2003;01/01/1834 - 31/12/1834;;Java;P01952563;Indonésie;Cananga;odorata;0;0;0;0;<NA>;<NA>;1;1;1834;1;11;2003;0;0;0;;;0;0;nan;P01952563;Blume;Kessler;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P01952565;Indonésie;Cananga;odorata;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01952565;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Kessler, P;06/09/1985 - 06/09/1985;<NA>;;Java;P01984742;Indonésie;Mitrella;kentii;0;0;0;0;<NA>;<NA>;;;;6;9;1985;0;0;0;;;0;0;nan;P01984742;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java.;P00411140;Indonésie;Anaxagorea;javanica;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00411140;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P01753373;Indonésie;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01753373;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P02029166;Indonésie;Artabotrys;suaveolens;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02029166;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;Blume;<NA>;<NA>;;Java;P02029167;Indonésie;Artabotrys;suaveolens;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02029167;Blume;Blume;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;01/01/1834 - 31/12/1834;;Java;P01954636;Indonésie;Fissistigma;latifolium;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;nan;P01954636;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
Blume;;nan;<NA>;<NA>;;Java;P01954637;Indonésie;Fissistigma;latifolium;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01954637;Blume;<NA>;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0
