recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz PP;Palinoz, PP;;;;;;;;;;;;;;;;;;;;;;;
;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit MD;Sulit, MD;;;;;;;;;;;;;;;;;;;;;;;
;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero EM;Romero, EM;;;;;;;;;;;;;;;;;;;;;;;
;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso EJ;Reynoso, EJ;;;;;;;;;;;;;;;;;;;;;;;
;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto DD;Soejarto, DD;;;;;;;;;;;;;;;;;;;;;;;
;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;D. D. Soejarto;Soejarto, DD ;;;;;;;
;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;Co, LL ;;;;;;;
;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;Co, LL ;;;;;;;
;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;Co, LL ;;;;;;;
;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;L.L. Co;Co, LL ;;;;;;;
