scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det
0;Popowia;polyandra;0;0;Ramos, M;;<NA>;nan;<NA>;01/12/1913 - 31/12/1913;1;12;1913;Merrill, ED;<NA>;;;;0;Philippines;0;Philippine Plants. Prov. of Camarines. Luzon;0;122.793;14.013;0;0;P01983243;P01983243;Ramos;Bicol Region (Region V);0;Ramos, M.;Merrill, E.D.;;
0;Friesodielsia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1913 - 28/02/1913;1;2;1913;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippines. San Antonio. Prov. Laguna. Luzon;0;121.052;14.367;0;0;P01986124;P01986124;Ramos;Laguna;0;Ramos, M.;Kessler, P.;;
0;Annona;muricata;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1914 - 31/08/1914;1;8;1914;nan;<NA>;;;;0;Philippines;0;Philippine plants. Province of Batangas. Luzon;0;120.92550256115466;13.8591144;0;0;P01984608;P01984608;Ramos;Batangas;0;Ramos, M.;<NA>;;
0;Mitrephora;lanotan;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1914 - 31/08/1914;1;7;1914;Weerasooriya, AD;01/03/2001 - 31/03/2001;1;3;2001;0;Philippines;0;Philippines. Province of Batangas. Luzon;0;120.92550256115466;13.8591144;0;0;P00133829;P00133829;Ramos;Batangas;0;Ramos, M.;Weerasooriya, A.D.;;
0;Cyathocalyx;apoensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippine Plants. Samar;0;125.11;11.96;0;0;P01981685;P01981685;Ramos;Eastern Visayas (Region VIII);0;Ramos, M.;Kessler, P.;;
0;Goniothalamus;mindanaensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;nan;<NA>;;;;0;Philippines;0;Philippine plants. Samar;0;125.0;11.8333;0;0;P01988138;P01988138;Ramos;Samar;0;Ramos, M.;<NA>;;
0;Mitrephora;reflexa;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Merrill, ED;<NA>;;;;0;Philippines;0;Philippine Plants. Samar;0;125.0;12.0;0;0;P01967896;P01967896;Ramos;Eastern Visayas (Region VIII);0;Ramos, M.;Merrill, E.D.;;
0;Mitrephora;samarensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1914 - 30/04/1914;1;4;1914;Kessler, P;03/09/1985 - 03/09/1985;3;9;1985;0;Philippines;0;Philippines. Samar;0;125.11;11.96;0;0;P00379284;P00379284;Ramos;Eastern Visayas (Region VIII);0;Ramos, M.;Kessler, P.;;
0;Neo-Uvaria;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/03/1914 - 30/04/1914;1;3;1914;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Samar;0;125.0;12.0;0;0;P01954526;P01954526;Ramos;Eastern Visayas (Region VIII);0;Ramos, M.;Kessler, P.;;
0;Goniothalamus;oblongipetalus;0;0;Ramos, M;;<NA>;nan;<NA>;01/09/1915 - 30/09/1915;1;9;1915;nan;<NA>;;;;0;Philippines;0;Bulusan Volcano, Province de Sorsogon, Luzon;0;124.05727386474611;12.768989918370245;0;0;P01988136;P01988136;Ramos;Sorsogon;0;Ramos, M.;<NA>;;
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1915 - 31/08/1915;1;7;1915;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Province of Sorsogon, Luzon.;0;123.916667;12.833333;0;0;P00372667;P00372667;Ramos;Sorsogon;0;Ramos, M.;Mols, J.B.;;
0;Popowia;polyandra;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1915 - 31/08/1915;1;7;1915;nan;<NA>;;;;0;Philippines;0;Philiippines. Province of Sorsogon. Luzon.;0;124.0052543;12.9707848;0;0;P01983244;P01983244;Ramos;Sorsogon;0;Ramos, M.;<NA>;;
0;Polyalthia;oblongifolia;0;0;Ramos, M;;<NA>;nan;<NA>;01/01/1915 - 31/01/1915;1;1;1915;nan;<NA>;;;;0;Philippines;0;Philippines. Province of Rizal. Luzon;0;121.25;14.65;0;0;P01983771;P01983771;Ramos;Rizal;0;Ramos, M.;<NA>;;
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1916 - 30/09/1916;1;8;1916;nan;<NA>;;;;0;Philippines;0;Philippines. Mt Umingan, Province de Nueva Ecija, Luzon;0;121.37;15.517;0;0;P01960453;P01960453;Ramos;Nueva Ecija;0;Ramos, M.;<NA>;;
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1916 - 30/09/1916;1;8;1916;nan;<NA>;;;;0;Philippines;0;Philippines. Mt. Umingan. Province of Nueva Ecija. Luzon;0;121.37;15.517;0;0;P01983384;P01983384;Ramos;Nueva Ecija;0;Ramos, M.;<NA>;;
0;Neo-uvaria;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1916 - 31/03/1916;1;2;1916;Kessler, P;01/01/1989 - 31/12/1989;1;1;1989;0;Philippines;0;Philippines. Catubig River, Samar;0;125.03;12.467;0;0;P00267946;P00267946;Ramos;Northern Samar;0;Ramos, M.;Kessler, P.;;
0;Polyalthia;oblongifolia;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1916 - 31/03/1916;1;2;1916;nan;<NA>;;;;0;Philippines;0;Philippines. Catubig River, Samar;0;125.047;12.363;0;0;P01983772;P01983772;Ramos;Samar;0;Ramos, M.;<NA>;;
0;Dasymaschalon;clusiflorum;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1917 - 31/07/1917;1;7;1917;nan;<NA>;;;;0;Philippines;0;Philippines. Mt. Lumutan. Province of Rizal. Luzon;0;121.26;14.57;0;0;P02006241;P02006241;Ramos;Rizal;0;Ramos, M.;<NA>;;
0;Pseuduvaria;grandiflora;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1917 - 31/03/1917;1;2;1917;Kessler, P;03/09/1985 - 03/09/1985;3;9;1985;0;Philippines;0;Philippines. Bangui. Prov. of Ilocos Norte. Luzon;0;120.7657563;18.5367387;0;0;P00268516;P00268516;Ramos;Ilocos Norte;0;Ramos, M.;Kessler, P.;;
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1918 - 31/08/1918;1;8;1918;nan;<NA>;;;;0;Philippines;0;Philippines. Mt. Nagapatan. Ilocos Norte Province. Luzon;0;120.765;18.255;0;0;P01982985;P01982985;Ramos;Ilocos Norte;0;Ramos, M.;<NA>;;
0;Mitrephora;lanotan;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1918 - 31/07/1918;1;7;1918;Weerasooriya, AD;01/03/2001 - 31/03/2001;1;3;2001;0;Philippines;0;Philippines. Burgos. Ilocos Norte Province. Luzon;0;120.6436311;18.5110086;0;0;P00133830;P00133830;Ramos;Ilocos Norte;0;Ramos, M.;Weerasooriya, A.D.;;
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1918 - 31/07/1918;1;7;1918;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Burgos. Ilocos Norte Province. Luzon;0;120.6436311;18.5110086;0;0;P01960454;P01960454;Ramos;Ilocos Norte;0;Ramos, M.;Mols, J.B.;;
0;Phaeanthus;villosus;0;0;Ramos, M;;<NA>;nan;<NA>;01/04/1918 - 31/05/1918;1;4;1918;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Mt. Macosolon. Capiz Province. Panay;0;124.332;13.953;0;0;P00372673;P00372673;Ramos;Capiz;0;Ramos, M.;Mols, J.B.;;
0;Desmos;chinensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/10/1919 - 30/11/1919;1;10;1919;nan;<NA>;;;;0;Philippines;0;Philippines. Malangas, Zamboanga District Mindanao;0;123.03388888888888;7.626388888888889;0;0;P01753513;P01753513;Ramos;Zamboanga Sibugay;0;Ramos, M.;<NA>;;
0;Goniothalamus;elmeri;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;nan;<NA>;;;;0;Philippines;0;Philippines. Siargao Island;0;126.051;9.905;0;0;P01988168;P01988168;Ramos;Surigao del Norte;0;Ramos, M.;<NA>;;
0;Meiogyne;mindorensis;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;Kessler, P;01/05/2009 - 31/05/2009;1;5;2009;0;Philippines;0;Philippines. Siargao island;0;126.05119282649673;9.9051382;0;0;P02007491;P02007491;Ramos;Surigao del Norte;0;Ramos, M.;Kessler, P.;;
0;Oxymitra;oligophlebia;0;0;Ramos, M;;<NA>;nan;<NA>;01/06/1919 - 30/06/1919;1;6;1919;nan;<NA>;;;;0;Philippines;0;Philippines. Bucas Grande Island;0;125.959;9.66;0;0;P00411036;P00411036;Ramos;Surigao del Norte;0;Ramos, M.;<NA>;;
