det_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes N;Raes, N;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand FHG;Hildebrand, FHG;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Banyeng ak Nudong;Nudong, B ak;;;;;;;;;
;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin Z;Arifin, Z;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake AMAS;Attanayake, AMAS;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade CV;Meade, CV;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van";"Setten AK van; Heusden ECH van"
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer CA;Backer, CA;;;;;;;;;;;;;;;;;;;;;
;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku T;Chaowasku, T;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage JG;Boerlage, JG;;;;;;;;;;;;;;;;;;;;;
;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;;;;;;;;;;;;;;;;;;
;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner IM;Turner, IM;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden ECH van;Heusden, ECH van;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue B;Xue, B;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley, JS;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
