recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specificEpithet_old
Hahn;;nan;<NA>;01/02/1896 - 29/02/1896;Kampot;Cambodge. Kam-chay, prov. Kampot;P01984674;Cambodge;Xylopia;pierrei;0;0;0;0;<NA>;<NA>;1;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P01984674;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Xylopia;0
Hahn;;nan;<NA>;26/02/1896 - 26/02/1896;Kampot;Mts Kamchay, au n.-o. de Kampot. Cambodge;P00261139;Cambodge;Unona;hahnii;0;0;0;0;<NA>;<NA>;26;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P00261139;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Unona;0
Hahn;;nan;<NA>;26/02/1896 - 26/02/1896;Kampot;Mts Kamchay, au n.o. de Kampot. Cambodge;P00261140;Cambodge;Unona;hahnii;0;0;0;0;<NA>;<NA>;26;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P00261140;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Unona;0
Hahn;;nan;<NA>;29/02/1896 - 29/02/1896;Kampot;Kamchay (chaine de l'Eléphant), n.o. de Kampot. Cambodge.;P01988764;Cambodge;Polyalthia;simiarum;0;0;0;0;<NA>;<NA>;29;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P01988764;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Polyalthia;0
Hahn;;nan;<NA>;29/02/1896 - 29/02/1896;Kampot;Kamchay (chaine de l'Eléphant), au n.-o. de Kampot;P01988765;Cambodge;Polyalthia;simiarum;0;0;0;0;<NA>;<NA>;29;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P01988765;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Polyalthia;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;Bến Tre;Indo-Chine. Delta du Mè-Không.;P01955621;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P01955621;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Dasymaschalon;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mé-Không.;P02006281;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02006281;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Dasymaschalon;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mê-Không.;P02006282;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02006282;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Dasymaschalon;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Delta du Mè-Không.;P02006285;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02006285;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Dasymaschalon;0
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;"Rive gauche du Mé-Không (Laos central).""M. delakhong""";P00234201;Laos, République démocratique populaire;Desmos;cochinchinensis;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00234201;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>;Desmos;0
