recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli DA;Folli, DA;;;;;;;;;;;;;;;;;;;;;;;
;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori SA;Mori, SA;;;;;;;;;;;;;;;;;;;;;;;
;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos TS dos;Santos, TS dos;;;;;;;;;;;;;;;;;;;;;;;;
;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho AMV de;Carvalho, AMV de;;;;;;;;;;;;;;;;;;;;;;;;;;
;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;T. Fernandes;Fernandes, T ;;;;;;;;;
;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;M.R.L. Constantino;Constantino, MRL ;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;M. Verdi;Verdi, M ;;;;;;;;;
Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.;Anunciação, E.S.
;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, FFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, L.P.de;Queiroz, LP.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de;P.de
;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;M. Groppo;Groppo, M ;;;;;;;;;
;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;J.E.Q. Faria;Faria, JEQ ;;;;;
