scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Sumatra, Eil. Simaloer;2.583333;96.083333;Achmad;Achmad  479 ;8;6;1918;Smith, JJ;<NA>;<NA>;Botany;L.1762640;0;0;0;Achmad;;0;;;;0;0;0;L1762640;479;lateriflora;Achmad;Smith JJ;Achmad;<NA>;<NA>;<NA>;Polyalthia;lateriflora
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Sumatra, Eil. Simaloer;2.583333;96.083333;Achmad;Achmad  479 ;8;6;1918;Smith, JJ;<NA>;<NA>;Botany;L  0197493;0;0;0;Achmad;;0;;;;0;0;0;L0197493;479;lateriflora;Achmad;Smith JJ;Achmad;<NA>;<NA>;<NA>;Polyalthia;lateriflora
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Archipel. Ind. Sumatra eil. Simaloer.;2.58;96.08;Achmad;Achmad  525 ;7;7;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754040;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754040;525;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Archipel. Ind. Sumatra eil. Simaloer.;2.58;96.08;Achmad;Achmad  525 ;7;7;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L  0192320;0;0;0;Achmad;;0;1;1;2004;0;0;0;L0192320;525;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;2.58;96.08;Achmad;Achmad  548 ;19;7;1918;Heusden, ECH van;<NA>;<NA>;Botany;U.1081080;0;0;0;Achmad;;0;;;;0;0;0;U1081080;548;burahol;Achmad;Heusden ECH van;Achmad;<NA>;<NA>;<NA>;Stelechocarpus;burahol
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;2.58;96.08;Achmad;Achmad  548 ;19;7;1918;Heusden, ECH van;<NA>;<NA>;Botany;L.1770278;0;0;0;Achmad;;0;;;;0;0;0;L1770278;548;burahol;Achmad;Heusden ECH van;Achmad;<NA>;<NA>;<NA>;Stelechocarpus;burahol
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;"Sumatra; eil. Simaloer";2.58;96.08;Achmad;Achmad  568 ;14;8;1918;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;U  0017057;0;0;0;Achmad;;0;1;3;2001;0;0;0;U0017057;568;simeuluensis;Achmad;Weerasooriya AD;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;"Sumatra; eil. Simaloer";2.58;96.08;Achmad;Achmad  568 ;14;8;1918;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;L  0064575;0;0;0;Achmad;;0;1;3;2001;0;0;0;L0064575;568;simeuluensis;Achmad;Weerasooriya AD;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mezzettia parviflora Becc.;Mezzettia;ID;Sumatra eil. Simaloer;2.58;96.08;Achmad;Achmad  582 ;22;8;1918;Kessler, PJA;1989-06-01T00:00:00;<NA>;Botany;L.1761762;0;0;0;Achmad;;0;1;6;1989;0;0;0;L1761762;582;parviflora;Achmad;Kessler PJA;Achmad;<NA>;<NA>;<NA>;Mezzettia;parviflora
Mezzettia parviflora Becc.;Mezzettia;ID;Sumatra eil. Simaloer;2.58;96.08;Achmad;Achmad  582 ;22;8;1918;Kessler, PJA;1989-06-01T00:00:00;<NA>;Botany;L  0197164;0;0;0;Achmad;;0;1;6;1989;0;0;0;L0197164;582;parviflora;Achmad;Kessler PJA;Achmad;<NA>;<NA>;<NA>;Mezzettia;parviflora
Xylopia dicarpa Hook.f. & Thomson;Xylopia;ID;Eil: Simaloer bij Sumatra.;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;Johnson, DM;2014-03-01T00:00:00;<NA>;Botany;L.1775327;0;0;0;Achmad;;0;1;3;2014;0;0;0;L1775327;772;malayana;Achmad;Johnson DM;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;nan;<NA>;<NA>;Botany;U.1074768;0;0;0;Achmad;;0;;;;0;0;0;U1074768;772;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;nan;<NA>;<NA>;Botany;L.4301762;0;0;0;Achmad;;0;;;;0;0;0;L4301762;772;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;nan;<NA>;<NA>;Botany;L.4301759;0;0;0;Achmad;;0;;;;0;0;0;L4301759;772;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;nan;<NA>;<NA>;Botany;L.4301760;0;0;0;Achmad;;0;;;;0;0;0;L4301760;772;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.5805555;96.0805555;Achmad;Achmad  772 ;2;12;1918;nan;<NA>;<NA>;Botany;L.4301761;0;0;0;Achmad;;0;;;;0;0;0;L4301761;772;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;<NA>;2.58;96.08;Achmad;Achmad  871 ;23;1;1919;nan;<NA>;<NA>;Botany;U.1074770;0;0;0;Achmad;;0;;;;0;0;0;U1074770;871;malayana;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Xylopia;malayana
