scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;16544;;;;nan;;US;US;US 1236804;luzonensis;0;0;;;0;0;0;0;0;0;0;0;US1236804;16544;A. D. E. Elmer;A. D. E. Elmer
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15399;;;;nan;;US;US;US 894901;mindorensis;0;0;;;0;0;0;0;0;0;0;0;US894901;15399;A. D. E. Elmer;A. D. E. Elmer
Artabotrys suaveolens (Blume) Blume;Artabotrys;PH;Lucban, Province Tayabas, Island Luzon.;;;A. D. E. Elmer;9169;;;;nan;;US;US;US 705149;suaveolens;0;0;;;0;0;0;0;0;0;0;0;US705149;9169;A. D. E. Elmer;A. D. E. Elmer
Mitrephora lanotan (Blanco) Merr.;Mitrephora;PH;San Andales. Rizal Province, Luzon.;;;G. Edaño;Bureau of Science 48829;;;;nan;;US;US;US 1527623;lanotan;0;0;Bureau;;0;0;0;0;0;0;0;0;US1527623;48829;G. Edaño;ño
Polyalthia grandifolia Elmer;Enicosanthum;PH;Philippine Islands. Irosin (Mt. Bulusan). Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15467;;;;nan;;US;US;US 3416537;grandifolium;0;0;;;0;0;0;0;0;0;0;0;US3416537;15467;A. D. E. Elmer;A. D. E. Elmer
Meiogyne virgata (Blume) Miq.;Meiogyne;PH;Province of Surigao. Mindanao.;;;W. Sherfesee, A. Cenabre;Forestry Bureau 21657;;;;nan;;US;US;US 837742;virgata;0;0;Forestry;;0;0;0;0;0;0;0;0;US837742;21657;W. Sherfesee, A. Cenabre & S. Ponce;, A. Cenabre
Uvaria musaria A.DC., 1832;Uvaria;PH;Mindanao.;;;A. De Mesa;Forestry Bureau 27643;;;;nan;;US;US;US 1262558;musaria;0;0;Forestry;;0;0;0;0;0;0;0;0;US1262558;27643;A. De Mesa; Mesa
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15168;;;;nan;;US;US;US 894385;ophthalmicus;0;0;;;0;0;0;0;0;0;0;0;US894385;15168;A. D. E. Elmer;A. D. E. Elmer
Monoon grandifolium (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15403;;;;nan;;US;US;US 1236399;grandifolium;0;0;;;0;0;0;0;0;0;0;0;US1236399;15403;A. D. E. Elmer;A. D. E. Elmer
Polyalthia Blume;Polyalthia;PH;Los Baños (Mt. Maquiling), Province of Laguna. Island of Luzon.;;;A. D. E. Elmer;17933;;;;nan;;US;US;US 3416542;nan;0;0;;;0;0;0;0;0;0;0;0;US3416542;17933;A. D. E. Elmer;A. D. E. Elmer
Goniothalamus epiphyticus Elmer;Goniothalamus;PH;Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;13535;;;;nan;;US;US;US 105155;epiphyticus;0;0;;;0;0;0;0;0;0;0;0;US105155;13535;A. D. E. Elmer;A. D. E. Elmer
Friesodielsia bakeri (Merr.) Steenis;Friesodielsia;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15902;;;;nan;;US;US;US 894365;bakeri;0;0;;;0;0;0;0;0;0;0;0;US894365;15902;A. D. E. Elmer;A. D. E. Elmer
Polyalthia mindanaensis Elmer;Enicosanthum;PH;Todaya (Mt. Apo), District of Davao. Island of Mindanao.;;;A. D. E. Elmer;11642;;;;nan;;US;US;US 779606;mindanaense;0;0;;;0;0;0;0;0;0;0;0;US779606;11642;A. D. E. Elmer;A. D. E. Elmer
