scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Uvaria lobbiana Hook.f. & Thomson;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2473;0;0;0;nan;nan;0;;;;0;0;0;KR2473;nan;lobbiana;;Katja Rembold;;;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2351;0;0;0;nan;nan;0;;;;0;0;0;KR2351;nan;microtus;;Katja Rembold;;;recby_problem
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0893;0;0;0;nan;nan;0;;;;0;0;0;KR0893;nan;malayana;;Katja Rembold;;;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0939;0;0;0;nan;nan;0;;;;0;0;0;KR0939;nan;excelsa;;Katja Rembold;;;recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2335;0;0;0;nan;nan;0;;;;0;0;0;KR2335;nan;acuminatissima;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2096;0;0;0;nan;nan;0;;;;0;0;0;KR2096;nan;;;Katja Rembold;;;recby_problem
Friesodielsia borneensis (Miq.) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3114;0;0;0;nan;nan;0;;;;0;0;0;KR3114;nan;borneensis;;Katja Rembold;;;recby_problem
Friesodielsia borneensis (Miq.) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3113;0;0;0;nan;nan;0;;;;0;0;0;KR3113;nan;borneensis;;Katja Rembold;;;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1969;0;0;0;nan;nan;0;;;;0;0;0;KR1969;nan;macrophyllus;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2354;0;0;0;nan;nan;0;;;;0;0;0;KR2354;nan;;;Katja Rembold;;;recby_problem
Goniothalamus costulatus Miq.;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1680;0;0;0;nan;nan;0;;;;0;0;0;KR1680;nan;costulatus;;Katja Rembold;;;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1536;0;0;0;nan;nan;0;;;;0;0;0;KR1536;nan;hirsuta;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1926;0;0;0;nan;nan;0;;;;0;0;0;KR1926;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2368;0;0;0;nan;nan;0;;;;0;0;0;KR2368;nan;;;Katja Rembold;;;recby_problem
Pyramidanthe Miq.;Pyramidanthe;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1771;0;0;0;nan;nan;0;;;;0;0;0;KR1771;nan;;;Katja Rembold;;;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2094;0;0;0;nan;nan;0;;;;0;0;0;KR2094;nan;hirsuta;;Katja Rembold;;;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2851;0;0;0;nan;nan;0;;;;0;0;0;KR2851;nan;obliqua;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2355;0;0;0;nan;nan;0;;;;0;0;0;KR2355;nan;;;Katja Rembold;;;recby_problem
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0904;0;0;0;nan;nan;0;;;;0;0;0;KR0904;nan;malayana;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2677;0;0;0;nan;nan;0;;;;0;0;0;KR2677;nan;;;Katja Rembold;;;recby_problem
Pyramidanthe Miq.;Pyramidanthe;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2145;0;0;0;nan;nan;0;;;;0;0;0;KR2145;nan;;;Katja Rembold;;;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1101;0;0;0;nan;nan;0;;;;0;0;0;KR1101;nan;macrophyllus;;Katja Rembold;;;recby_problem
Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2499;0;0;0;nan;nan;0;;;;0;0;0;KR2499;nan;splendens;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2860;0;0;0;nan;nan;0;;;;0;0;0;KR2860;nan;;;Katja Rembold;;;recby_problem
Orophea corymbosa (Blume) Miq.;Orophea;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2856;0;0;0;nan;nan;0;;;;0;0;0;KR2856;nan;corymbosa;;Katja Rembold;;;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1087;0;0;0;nan;nan;0;;;;0;0;0;KR1087;nan;ramuliflorus;;Katja Rembold;;;recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2336;0;0;0;nan;nan;0;;;;0;0;0;KR2336;nan;acuminatissima;;Katja Rembold;;;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3037;0;0;0;nan;nan;0;;;;0;0;0;KR3037;nan;ramuliflorus;;Katja Rembold;;;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2352;0;0;0;nan;nan;0;;;;0;0;0;KR2352;nan;microtus;;Katja Rembold;;;recby_problem
Artabotrys hexapetalus (L.f.) Bhandari;Artabotrys;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2944;0;0;0;nan;nan;0;;;;0;0;0;KR2944;nan;hexapetalus;;Katja Rembold;;;recby_problem
Cyathocalyx sumatranus Scheff.;Cyathocalyx;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2866;0;0;0;nan;nan;0;;;;0;0;0;KR2866;nan;sumatranus;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0658;0;0;0;nan;nan;0;;;;0;0;0;KR0658;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0684;0;0;0;nan;nan;0;;;;0;0;0;KR0684;nan;;;Katja Rembold;;;recby_problem
Trivalvaria macrophylla (Blume) Miq.;Trivalvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2392;0;0;0;nan;nan;0;;;;0;0;0;KR2392;nan;macrophylla;;Katja Rembold;;;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1797;0;0;0;nan;nan;0;;;;0;0;0;KR1797;nan;pisocarpa;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1120;0;0;0;nan;nan;0;;;;0;0;0;KR1120;nan;;;Katja Rembold;;;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1968;0;0;0;nan;nan;0;;;;0;0;0;KR1968;nan;macrophyllus;;Katja Rembold;;;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1757;0;0;0;nan;nan;0;;;;0;0;0;KR1757;nan;microtus;;Katja Rembold;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2815;0;0;0;nan;nan;0;;;;0;0;0;KR2815;nan;;;Katja Rembold;;;recby_problem
Miliusa longipes King;Miliusa;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2980;0;0;0;nan;nan;0;;;;0;0;0;KR2980;nan;longipes;;Katja Rembold;;;recby_problem
Trivalvaria macrophylla (Blume) Miq.;Trivalvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2585;0;0;0;nan;nan;0;;;;0;0;0;KR2585;nan;macrophylla;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1415;0;0;0;nan;nan;0;;;;0;0;0;KR1415;nan;;;Katja Rembold;;;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1073;0;0;0;nan;nan;0;;;;0;0;0;KR1073;nan;macrophyllus;;Katja Rembold;;;recby_problem
Artabotrys maingayi Hook.f. & Thomson;Artabotrys;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3049;0;0;0;nan;nan;0;;;;0;0;0;KR3049;nan;maingayi;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0861;0;0;0;nan;nan;0;;;;0;0;0;KR0861;nan;;;Katja Rembold;;;recby_problem
Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0573;0;0;0;nan;nan;0;;;;0;0;0;KR0573;nan;biglandulosa;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1466;0;0;0;nan;nan;0;;;;0;0;0;KR1466;nan;;;Katja Rembold;;;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0862;0;0;0;nan;nan;0;;;;0;0;0;KR0862;nan;ramuliflorus;;Katja Rembold;;;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1463;0;0;0;nan;nan;0;;;;0;0;0;KR1463;nan;excelsa;;Katja Rembold;;;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2950;0;0;0;nan;nan;0;;;;0;0;0;KR2950;nan;pisocarpa;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3017;0;0;0;nan;nan;0;;;;0;0;0;KR3017;nan;;;Katja Rembold;;;recby_problem
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0834;0;0;0;nan;nan;0;;;;0;0;0;KR0834;nan;glauca;;Katja Rembold;;;recby_problem
Xylopia elliptica Maingay ex Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0404;0;0;0;nan;nan;0;;;;0;0;0;KR0404;nan;elliptica;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0653;0;0;0;nan;nan;0;;;;0;0;0;KR0653;nan;;;Katja Rembold;;;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1760;0;0;0;nan;nan;0;;;;0;0;0;KR1760;nan;microtus;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2728;0;0;0;nan;nan;0;;;;0;0;0;KR2728;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1729;0;0;0;nan;nan;0;;;;0;0;0;KR1729;nan;;;Katja Rembold;;;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2862;0;0;0;nan;nan;0;;;;0;0;0;KR2862;nan;pisocarpa;;Katja Rembold;;;recby_problem
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2829;0;0;0;nan;nan;0;;;;0;0;0;KR2829;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2097;0;0;0;nan;nan;0;;;;0;0;0;KR2097;nan;;;Katja Rembold;;;recby_problem
Uvaria lobbiana Hook.f. & Thomson;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2037;0;0;0;nan;nan;0;;;;0;0;0;KR2037;nan;lobbiana;;Katja Rembold;;;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2093;0;0;0;nan;nan;0;;;;0;0;0;KR2093;nan;hirsuta;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1725;0;0;0;nan;nan;0;;;;0;0;0;KR1725;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1483;0;0;0;nan;nan;0;;;;0;0;0;KR1483;nan;;;Katja Rembold;;;recby_problem
Friesodielsia glauca (Hook.f. & Thomson) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2057;0;0;0;nan;nan;0;;;;0;0;0;KR2057;nan;glauca;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR3018;0;0;0;nan;nan;0;;;;0;0;0;KR3018;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2427;0;0;0;nan;nan;0;;;;0;0;0;KR2427;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2193;0;0;0;nan;nan;0;;;;0;0;0;KR2193;nan;;;Katja Rembold;;;recby_problem
Xylopia elliptica Maingay ex Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR0860;0;0;0;nan;nan;0;;;;0;0;0;KR0860;nan;elliptica;;Katja Rembold;;;recby_problem
Orophea Blume;Orophea;ID;Gajabui plot, Ulu Gadut, ca 15 km from Padang;-0.909722;100.513333;nan;;13;8;1981;nan;nan;HYO;C;C1-258242;0;0;0;nan;nan;0;;;;0;0;0;C1-258242;nan;;;;;;recby_problem
Popowia Endl.;Popowia;ID;a branch of upstream of Sg. Sibau;1.243056;113.155;nan;;7;5;2016;nan;nan;HYO;C;C1-254806;0;0;0;nan;nan;0;;;;0;0;0;C1-254806;nan;;;;;;recby_problem
Uvaria L.;Uvaria;ID;a branch of upstream of Sg. Sibau;1.243056;113.155;nan;;6;5;2016;nan;nan;HYO;C;C1-254808;0;0;0;nan;nan;0;;;;0;0;0;C1-254808;nan;;;;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;-0.909444;100.633333;nan;;29;8;1981;nan;nan;HYO;C;C1-258235;0;0;0;nan;nan;0;;;;0;0;0;C1-258235;nan;;;;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;-0.909444;100.633333;nan;;25;8;1981;nan;nan;HYO;C;C1-258236;0;0;0;nan;nan;0;;;;0;0;0;C1-258236;nan;;;;;;recby_problem
Artabotrys R.Br.;Artabotrys;ID;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;-0.909444;100.633333;nan;;25;8;1981;nan;nan;HYO;C;C1-258241;0;0;0;nan;nan;0;;;;0;0;0;C1-258241;nan;;;;;;recby_problem
Friesodielsia Steenis;Friesodielsia;ID;a branch of upstream of Sg. Sibau;1.243056;113.155;nan;;6;5;2016;nan;nan;HYO;C;C1-254809;0;0;0;nan;nan;0;;;;0;0;0;C1-254809;nan;;;;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;-0.909444;100.633333;nan;;25;8;1981;nan;nan;HYO;C;C1-258234;0;0;0;nan;nan;0;;;;0;0;0;C1-258234;nan;;;;;;recby_problem
Phaeanthus Hook.f. & Thomson;Phaeanthus;ID;Gajabui plot, Ulu Gadut, ca 15 km from Padang;-0.909722;100.513333;nan;;13;8;1981;nan;nan;HYO;C;C1-258244;0;0;0;nan;nan;0;;;;0;0;0;C1-258244;nan;;;;;;recby_problem
