scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Orophea Blume;Orophea;;PH;Pinamalayan, Mindoro.;13.033333;121.483333;Ramos, M.;s.n.;;6;1922;;;MEL;MEL;MEL 2382209A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Haplostichanthus F.Muell.;Haplostichanthus;;PH;Alabat Island.;14.116667;122.05;"Ramos, M.;Edaño, G.E.";s.n.;;9;1926;National Herbarium of Victoria (MEL);2014-08-08T00:00:00;MEL;MEL;MEL 2382271A;0;0;0;0;0;0;08;08;2014;0;0;0;;MEL;MEL ;;MEL;
Orophea Blume;Orophea;;PH;Mt. Halcon, Mindoro.;13.266667;121.0;"Ramos, M.;Edaño, G.E.";s.n.;;3;1922;;;MEL;MEL;MEL 2381943A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Polyalthia urdanetensis Elmer;Haplostichanthus;Haplostichanthus lanceolata;PH;Cabadbaran, Mt. Urdaneta;9.12361;125.53444;Adolph D.E. Elmer;13931;;7;1912;;;MICH;Angiosperms;1115446;0;0;0;0;0;0;;;;0;0;0;1115446;;;;;
Annonaceae;;;PH;Luzon Island. Region V: Camarines Sur Province, Naga Municipality, Panicuasan Barangay, Mt. Isarog National Park, trail to summit.;13.66424;123.34888;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.; Almeda, Frank";2920;29;5;2011;;;CAS;BOT-BC;252439;0;0;0;0;0;0;;;;0;0;0;252439;;;;;
Annonaceae;;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Ayuti Barangay, base of Mt. Banahao de Lucban at Southern Luzon State University Camp Site. Trail head at camp site down through fields and forests;14.10289;121.53112;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2715;18;5;2011;;;CAS;BOT-BC;252438;0;0;0;0;0;0;;;;0;0;0;252438;;;;;
Annonaceae;;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Samil Barangay, trail to Mt. Banahao de Lucban.;14.09603;121.5206;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2645;16;5;2011;;;CAS;BOT-BC;252437;0;0;0;0;0;0;;;;0;0;0;252437;;;;;
Annonaceae;;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Samil Barangay, Mt. Banahao de Lucban, just below camp site.;14.10014;121.52407;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2606;15;5;2011;;;CAS;BOT-BC;252436;0;0;0;0;0;0;;;;0;0;0;252436;;;;;
Papualthia Diels;Papualthia;;PH;Luzon Island. Region IV: Laguna Province, Bagong Silang Barangay, Mt. Makiling, from end of road at Agila Gate to Malaboo camp site.;14.13016;121.20984;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2433;6;5;2011;;;CAS;BOT-BC;252440;0;0;0;0;0;0;;;;0;0;0;252440;;;;;
Cyathocalyx globosus Merr.;Cyathocalyx;Cyathocalyx globosus;PH;;16.0;121.0;G. P. Ahern;1878;;;;;;F;Botany;V0097100F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Polyalthia Blume;Polyalthia;;PH;;10.8333;124.8333;C. A. Wenzel;364;;;;;;F;Botany;V0097134F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;;6.5;125.0;M. S. Clemens;1016;;;;;;F;Botany;V0047755F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Meiogyne virgata (Blume) Miq.;Meiogyne;Meiogyne virgata;PH;;10.8333;124.8333;C. A. Wenzel;645;20;3;1992;E. C. H. van Heusden;1992-01-01T00:00:00;F;Botany;V0099295F;0;0;0;0;0;0;01;01;1992;0;0;0;;V;V;;;
Unona palawanensis Elmer;Meiogyne;Meiogyne mindorensis;PH;;10.0;118.8333;A. D. E. Elmer;13125;;;;;;F;Botany;V0047931F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Mitrephora ferruginea Merr.;Neo-Uvaria;Neo-Uvaria acuminatissima;PH;;16.0;121.0;P. T. Burnes;367;;;;;;F;Botany;V0098744F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Orophea palawanensis Elmer;Orophea;Orophea creaghii;PH;;10.0;118.8333;A. D. E. Elmer;12645;;;;;;F;Botany;V0047878F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;;6.5;125.0;M. S. Clemens;1016;;;;;;F;Botany;V0047757F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;;6.5;125.0;M. S. Clemens;1016;;;;;;F;Botany;V0047756F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Goniothalamus elmeri Merr.;Goniothalamus;Goniothalamus elmeri;PH;Mt Kanumay;14.644722;121.315833;M. Ramos;;;10;1911;;;LD;General;1642817;0;0;0;0;0;0;;;;0;0;0;1642817;;;;;
Goniothalamus elmeri Merr.;Goniothalamus;Goniothalamus elmeri;PH;Mt Makiling;14.13;121.2;M. Ramos;;;9;1911;;;LD;General;1613701;0;0;0;0;0;0;;;;0;0;0;1613701;;;;;
