recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Bon, H;1796;nan;<NA>;13/10/1882 - 13/10/1882;Hà Nam;(H.N.) Ké So (Cult.);P01967824;Viet Nam;<NA>;indet.;0;0;0;0;;;13;10;1882;;;;0;0;0;105.9;20.5;0;0;1796;P01967824;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
Bon, H;1796;nan;<NA>;13/10/1882 - 13/10/1882;Hà Nam;(H.N.) Ké So, prov. Ninh-Binh. Tonkin;P01985938;Viet Nam;<NA>;indet.;0;0;0;0;;;13;10;1882;;;;0;0;0;105.9;20.5;0;0;1796;P01985938;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Artabotrys;hexapetalus
Bon;2295;nan;<NA>;19/11/1883 - 19/11/1883;Hà Nam;Tonkin : Kiên Khê, in montibus Dông Ham. Province de Ha Nam;P01967826;Viet Nam;<NA>;indet.;0;0;0;0;;;19;11;1883;;;;0;0;0;105.89733333333334;20.292833333333334;0;0;2295;P01967826;Bon;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
Bon, H;2295;nan;<NA>;07/12/1883 - 07/12/1883;Thanh Hóa;(H.N.) In mont. But Son. Tonkin;P00248408;Viet Nam;<NA>;indet.;0;0;0;0;;;7;12;1883;;;;0;0;0;105.89733333333334;20.292833333333334;0;0;2295;P00248408;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Uvaria;tonkinensis
Bon, H;2295;nan;<NA>;19/11/1883 - 19/11/1883;Hà Nam;Tonkin. (H.N.) Kiên Khê, in planitie Dông Hâm;P00248409;Viet Nam;<NA>;indet.;0;0;0;0;;;19;11;1883;;;;0;0;0;105.89733333333334;20.292833333333334;0;0;2295;P00248409;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Uvaria;tonkinensis
Bon, H;2564;Kessler, P;08/03/1984 - 08/03/1984;28/04/1884 - 28/04/1884;Ninh Bình;Tonkin (H.N.) In rup. mont. inter Lan Mat et Lat Son;P00432436;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;28;4;1884;8;3;1984;0;0;0;105.85133333333333;20.442666666666668;0;0;2564;P00432436;Bon, H.;Kessler, P.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon, H;2564;nan;<NA>;28/04/1884 - 28/04/1884;Hà Nam;(H.N.) In montibus Hanh Lâm.;P00432434;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;28;4;1884;;;;0;0;0;105.85133333333333;20.442666666666668;0;0;2564;P00432434;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon, H;2564;nan;<NA>;28/04/1884 - 28/04/1884;Ninh Bình;Tonkin. Monts entre Lan-mat & Lat-son, au N. de Ninh-Binh.;P00432435;Viet Nam;Orophea;tonkinensis;0;0;0;0;;;28;4;1884;;;;0;0;0;105.85133333333333;20.442666666666668;0;0;2564;P00432435;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Orophea;tonkinensis
Bon;2566;Meade, C;01/07/2000 - 31/07/2000;28/04/1884 - 28/04/1884;Hà Nam;Mts Thinh-Chau (Tui-cot). Tonkin;P00142693;Viet Nam;Uvaria;tonkinensis;0;0;0;0;;;28;4;1884;1;7;2000;0;0;0;105.86666666666667;20.504333333333335;0;0;2566;P00142693;Bon;Meade, C.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Uvaria;tonkinensis
Bon, H;2566;Meade, C;01/07/2000 - 31/07/2000;28/04/1884 - 28/04/1884;Hà Nam;(H.N.) Monts Thinh Châu (Tin-cot). Tonkin;P00142692;Viet Nam;Uvaria;tonkinensis;0;0;0;0;;;28;4;1884;1;7;2000;0;0;0;105.86666666666667;20.504333333333335;0;0;2566;P00142692;Bon, H.;Meade, C.;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Uvaria;tonkinensis
