scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;Tavares, S ;;;;;Maas, PJM, Maas, H, Erkens, RHJ;<NA>;<NA>;<NA>;http://id.luomus.fi/C.14779;0;0;0;;;0;;;;0;0;0;C14779;nan;;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;BR;<NA>;;;nan;;;;;nan;<NA>;M;BSMvplantscoll;M-0240083 / 729593 / 376422;0;0;0;;;0;;;;0;0;0;M-376422;nan;bryotrophe;Martius, C.F.P. von (no. Herb. Fl. Bras. 858);<NA>;;von (no. Herb. Fl. Bras. 858);recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;BR;<NA>;;;nan;;;;;nan;<NA>;M;BSMvplantscoll;M-0240084 / 729594 / 376423;0;0;0;;;0;;;;0;0;0;M-376423;nan;bryotrophe;Martius, C.F.P. von (no. Herb. Fl. Bras. 858);<NA>;;von (no. Herb. Fl. Bras. 858);recby_problem
Hornschuchia myrtillus Nees;Hornschuchia;BR;In sylvis udis ad fl. da Caxoeira et Ferradas in Ilheos. Provinciae Bahiensis.;;;nan;;;12;1818;nan;<NA>;M;BSMvplantscoll;M-0240085 / 729595 / 376424;0;0;0;;;0;;;;0;0;0;M-376424;nan;myrtillus;Martius, C.F.P. von (no. Obs. 2101);<NA>;;von (no. Obs. 2101);recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;BR;[Bahia, via Filisbertia].;;;nan;;;;;nan;<NA>;M;BSMvplantscoll;M-0240081 / 729591 / 376420;0;0;0;;;0;;;;0;0;0;M-376420;nan;bryotrophe;Wied-Neuwied, M.A.P. zu (no. 34);<NA>;;Wied-Neuwied, M.A.P. zu (no. 34);recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Castelnovo.;;;nan;;;;;nan;<NA>;M;BSMvplantscoll;M-0240082 / 729592 / 376421;0;0;0;;;0;;;;0;0;0;M-376421;nan;bryotrophe;Riedel, L. (no. 711);<NA>;;(no. 711);recby_problem
Bocagea alba A.St.-Hil.;Hornschuchia;BR;<NA>;;;nan;;;;;nan;<NA>;UM;MPU;MPU026907;0;0;0;;;0;;;;0;0;0;MPU026907;nan;alba;Saint-Hilaire, A. de;<NA>;;Saint-Hilaire, A. de;recby_problem
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Fazenda Serra do Teimoso. Lower forest, northern portion of reserve. Southern Bahian moist forest with elements of semi-deciduos forest.;-15.153333;-39.530556;nan;;16;3;2003;nan;2012-06-01T00:00:00;JBRJ;RB;RB00485209;0;0;0;;;0;1;6;2012;0;0;0;RB00485209;nan;citriodora;"W.W. Thomas; A.M. Amorim, S. Sant´Ana, J.L. Paixão & R.N. Querino";A.Lobão;;detby_problem;ão
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Município de Maraú. ROd. Rod.BR 030, trecho Ubaitaba/Marau, km 15. Vegetação pertubada em Região de Mata Hidrográfica Sul bahiana. Folha SD 24 (14-39c).;;;nan;;5;2;1979;nan;<NA>;JBRJ;RB;RB00042161;0;0;0;;;0;;;;0;0;0;RB00042161;nan;bryotrophe;"S.A.Mori; L.A.Mattos Silva, T.S. dos Santos";J. Kallunki,;;detby_problem;,
Hornschuchia bryotrophe Nees;Hornschuchia;BR;"Árvore de até 3 metros. de altura. mata rala; infl. geralmente deitadas sobre o solo.";;;nan;;;;;nan;<NA>;JBRJ;RB;RB00042140;0;0;0;;;0;;;;0;0;0;RB00042140;nan;bryotrophe;J.G. Khulmann;D.M.Johnson (OWU);;detby_problem; (OWU)
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Jard. Bot. do Rio de Janeiro.;;;nan;;;;;nan;<NA>;JBRJ;RB;RB00042137;0;0;0;;;0;;;;0;0;0;RB00042137;nan;bryotrophe;<NA>;D.M. Johnson (OWU);;<NA>;recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;BR;barra Seca, Fazenda São Carlos propriedade do Sr. Aleixo Barnabé, ca. 1,4km E da BR 101. .;;;nan;;20;2;1995;nan;1997-08-01T00:00:00;JBRJ;RB;RB00042105;0;0;0;;;0;1;8;1997;0;0;0;RB00042105;nan;bryotrophe;"José R. Pirani; JacquelynA. Kallunki, J.B Fernandes";R. Mello-Silva;;José R. Pirani;recby_problem
