scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Luzon, Bataan, Mt. Natib, So. Ulingan, Barangay Banawang, Mun. of Bagac.;14.07;120.4;Fuentes, RE;"Fuentes, RE; Rosa de la PPI 38714 ";15;12;1996;Kessler, PJA, Mols, JB;2000-08-01T00:00:00;<NA>;Botany;L.1758790;0;0;0;Fuentes;;0;1;8;2000;0;0;0;L1758790;38714;ophthalmicus;"Fuentes RE; Rosa de la";"Kessler PJA; Mols JB";detby_problem;"; Mols JB"
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;Sammar, Mt. Sohoton.;11.616667;125.416667;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117528 ";1;4;1970;;<NA>;<NA>;Botany;L.2067207;0;0;0;Guti;;0;;;;0;0;0;L2067207;117528;;"Gutiérrez, HG; et al.";<NA>;Gutiérrez, HG;recby_problem
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;Sammar, Mt. Sohoton.;11.616667;125.416667;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117528 ";1;4;1970;;<NA>;<NA>;Botany;L.2067208;0;0;0;Guti;;0;;;;0;0;0;L2067208;117528;;"Gutiérrez, HG; et al.";<NA>;Gutiérrez, HG;recby_problem
Goniothalamus elmeri Merr.;Goniothalamus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117054 ";1;5;1969;;2014-10-01T00:00:00;<NA>;Botany;L.2067130;0;0;0;Guti;;0;1;10;2014;0;0;0;L2067130;117054;elmeri;"Gutiérrez, HG; et al.";Tang CC;Gutiérrez, HG;recby_problem
Goniothalamus amuyon (Blanco) Merr.;Goniothalamus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117162 ";1;5;1969;;2014-10-01T00:00:00;<NA>;Botany;L.2067222;0;0;0;Guti;;0;1;10;2014;0;0;0;L2067222;117162;amuyon;"Gutiérrez, HG; et al.";Tang CC;Gutiérrez, HG;recby_problem
Goniothalamus amuyon (Blanco) Merr.;Goniothalamus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117162 ";1;5;1969;;2014-10-01T00:00:00;<NA>;Botany;L.2067221;0;0;0;Guti;;0;1;10;2014;0;0;0;L2067221;117162;amuyon;"Gutiérrez, HG; et al.";Tang CC;Gutiérrez, HG;recby_problem
Goniothalamus elmeri Merr.;Goniothalamus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117054 ";1;5;1969;;2014-10-01T00:00:00;<NA>;Botany;L.2067131;0;0;0;Guti;;0;1;10;2014;0;0;0;L2067131;117054;elmeri;"Gutiérrez, HG; et al.";Tang CC;Gutiérrez, HG;recby_problem
Uvaria rufa (Dunal) Blume;Uvaria;PH;Isabela (S. Madre), Bo. Cataguing, Sn. Mariano.;16.85;122.166667;Gutiérrez, HG;Gutiérrez, HG PNH 78025 ;22;4;1961;;2002-05-22T00:00:00;<NA>;Botany;L.1768743;0;0;0;Guti;;0;22;5;2002;0;0;0;L1768743;78025;rufa;Gutiérrez, HG;<NA>;Gutiérrez, HG;recby_problem
Annonaceae;<NA>;PH;Sankar, Mt. Sohoton;11.616667;125.416667;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 118077 ";1;4;1970;;<NA>;<NA>;Botany;L.1768881;0;0;0;Guti;;0;;;;0;0;0;L1768881;118077;;"Gutiérrez, HG; et al.";<NA>;Gutiérrez, HG;recby_problem
Meiogyne virgata (Blume) Miq.;Meiogyne;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117074 ";1;5;1969;;<NA>;<NA>;Botany;L.1765895;0;0;0;Guti;;0;;;;0;0;0;L1765895;117074;virgata;"Gutiérrez, HG; et al.";Heusden ECH van;Gutiérrez, HG;recby_problem
