recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Blume;;nan;<NA>;01/01/1834 - 31/12/1834;;Java;P00260034;Indonésie;Uvaria;hirsuta;0;0;0;0;<NA>;<NA>;1;1;1834;;;;0;0;0;;;0;0;0;0;0;nan;P00260034;Blume;<NA>
Kostermans;888;Reveillard, C;01/08/2002 - 31/08/2002;27/09/1949 - 27/09/1949;Bangka-Belitung;Bangka, Lobok-besar G. Pading. +- 50 m alt.;P00260035;Indonésie;Uvaria;hirsuta;0;0;0;0;;;27;9;1949;1;8;2002;0;0;0;106.549;-2.617;0;0;0;0;0;888;P00260035;Kostermans;Reveillard, C.
Beccari, O;1005;Attanayake, AMA;01/03/2010 - 31/03/2010;<NA>;;Bornéo.;P00260036;<NA>;Uvaria;hirsuta;0;0;0;0;;;;;;1;3;2010;0;0;0;;;0;0;0;0;0;1005;P00260036;Beccari, O.;Attanayake, A.M.A.S.
Poilane;9118;Kessler, P;09/09/1985 - 09/09/1985;12/12/1923 - 12/12/1923;Ninh Thuận;Annam : Ca-na pro: Phanrang. 600 m alt.;P00133858;Viet Nam;Mitrephora;sp.;0;0;0;0;;;12;12;1923;9;9;1985;0;0;0;108.844;11.377;0;0;0;0;0;9118;P00133858;Poilane;Kessler, P.
Poilane;9247;Kessler, P;09/09/1985 - 09/09/1985;21/12/1923 - 21/12/1923;Ninh Thuận;Annam : Ca-na pro: Phanrang. 5 a 600 m alt;P00133859;Viet Nam;Mitrephora;sp.;0;0;0;0;;;21;12;1923;9;9;1985;0;0;0;108.844;11.377;0;0;0;0;0;9247;P00133859;Poilane;Kessler, P.
Poilane;9715;Kessler, P;09/09/1985 - 09/09/1985;21/02/1924 - 21/02/1924;Ninh Thuận;Annam : Ba Rau, prov. Phanrang;P00133860;Viet Nam;Mitrephora;sp.;0;0;0;0;;;21;2;1924;9;9;1985;0;0;0;109.05;11.7167;0;0;0;0;0;9715;P00133860;Poilane;Kessler, P.
Poilane;9804;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/03/1924 - 01/03/1924;Ninh Thuận;Annam : Ba Rau, prov. Phanrang;P00133861;Viet Nam;Mitrephora;pallens;0;0;0;0;;;1;3;1924;1;3;2001;0;0;0;109.05;11.7167;0;0;0;0;0;9804;P00133861;Poilane;Weerasooriya, A.D.
Colani, E;3201;nan;<NA>;01/04/1926 - 30/04/1926;Hòa Bình;Flora Tonkinensis. Hoa Binh.;P00133863;Viet Nam;Mitrephora;calcarea;0;0;0;0;;;1;4;1926;;;;0;0;0;105.3452974;20.8130014;0;0;0;0;0;3201;P00133863;Colani, E.;Pételot
David, B;91;David, B;<NA>;26/02/1986 - 26/02/1986;Johor;Malaya. Mersing, Johor;P00133866;Malaisie;Mitrephora;maingayi;0;0;0;0;;;26;2;1986;;;;0;0;0;103.835494;2.4298532;0;0;0;0;0;91;P00133866;David, B.;David, B.
Poilane, E;15735;nan;<NA>;27/09/1928 - 27/09/1928;Champasak;Laos : Nord de Pakson pro: Bassac, plateau des Bolowen. 1000 m alt;P00133869;Laos, République démocratique populaire;Mitrephora;maingayi;0;0;0;0;;;27;9;1928;;;;0;0;0;106.24;15.25;0;0;0;0;0;15735;P00133869;Poilane, E.;<NA>
Thorel;3354;Kessler, P;03/09/1985 - 03/09/1985;01/01/1866 - 31/12/1868;Sainyabuli;Pak-lay, Laos. Expédition du Mé-Kong.;P00133870;Laos, République démocratique populaire;Mitrephora;laotica;0;0;0;0;;;1;1;1866;3;9;1985;0;0;0;101.411;18.23;0;0;0;0;0;3354;P00133870;Thorel;Kessler, P.
Poilane;2963;nan;01/01/1940 - 31/12/1940;11/04/1922 - 11/04/1922;Khánh Hòa;Annam : Ile Tre pr. Nhatrang;P00133871;Viet Nam;Mitrephora;pallens;0;0;0;0;;;11;4;1922;1;1;1940;0;0;0;109.28847655585815;12.20821415;0;0;0;0;0;2963;P00133871;Poilane;Jovet-Ast
Pierre, L;1745;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/04/1868 - 30/04/1868;Tây Ninh;monts Déon-ba, prov. Tay-ninh, Cochinchine.;P00133873;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;1;4;1868;1;3;2001;0;0;0;106.17;11.382;0;0;0;0;0;1745;P00133873;Pierre, L.;Weerasooriya, A.D.
Thorel;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/01/1866 - 31/12/1868;Kampong Speu;Oudong, Cambodge. Expédition du Mé-Kong.;P00133874;Cambodge;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;1;1;1866;1;3;2001;0;0;0;104.7400419;11.8210927;0;0;0;0;0;nan;P00133874;Thorel;Weerasooriya, A.D.
Thorel;9151;nan;<NA>;01/01/1866 - 31/12/1868;Sainyabuli;Saiabury. Saniabouri, Laos. Expédition du Mè-Kong.;P00133875;Laos, République démocratique populaire;Mitrephora;thorelii;0;0;0;0;;;1;1;1866;;;;0;0;0;101.7059229;19.2653107;0;0;0;0;0;9151;P00133875;Thorel;<NA>
Poilane;15171;Weerasooriya, AD;01/03/2001 - 31/03/2001;02/05/1928 - 02/05/1928;Kampong Speu;Cambodge : Pnom Tho Ma So près village Ko Virk pr: Kg.Speu. 400 m alt.;P00133876;Cambodge;Mitrephora;tomentosa;0;0;0;0;;;2;5;1928;1;3;2001;0;0;0;103.892;11.874;0;0;0;0;0;15171;P00133876;Poilane;Weerasooriya, A.D.
Poilane, E;17965;Weerasooriya, AD;01/03/2001 - 31/03/2001;09/08/1930 - 09/08/1930;Gia Lai;Annam : An Khê pr: Qui Nhôn.;P00133877;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;9;8;1930;1;3;2001;0;0;0;108.6605;13.951;0;0;0;0;0;17965;P00133877;Poilane, E.;Weerasooriya, A.D.
Poilane;11868;Weerasooriya, AD;01/03/2001 - 31/03/2001;30/01/1925 - 30/01/1925;Savannakhét;Laos : Kilo. 22 de la route de Savannakhet a Quang Tri;P00133878;Laos, République démocratique populaire;Mitrephora;tomentosa;0;0;0;0;;;30;1;1925;1;3;2001;0;0;0;104.943;16.664;0;0;0;0;0;11868;P00133878;Poilane;Weerasooriya, A.D.
Pierre, L;;nan;<NA>;01/04/1873 - 30/04/1873;Đồng Nai;ad Trian in prov. Bienhoa, Cochinchine.;P00133879;Viet Nam;Mitrephora;thorelii;0;0;0;0;<NA>;<NA>;1;4;1873;;;;0;0;0;106.983;11.1;0;0;0;0;0;nan;P00133879;Pierre, L.;<NA>
Pierre, L;1307;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/03/1873 - 31/03/1873;Đồng Nai;ad Song bé crescens in prov. Bienhoa gallicae Austro Cochinchinae;P00133880;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;1;3;1873;1;3;2001;0;0;0;106.9665;11.11;0;0;0;0;0;1307;P00133880;Pierre, L.;Weerasooriya, A.D.
Godefroy, A;649;nan;<NA>;05/07/1875 - 05/07/1875;Siem Reap;Ang Kor thom;P00133881;Cambodge;Mitrephora;thorelii;0;0;0;0;;;5;7;1875;;;;0;0;0;103.874;13.484;0;0;0;0;0;649;P00133881;Godefroy, A.;<NA>
Harmand, J;27;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/01/1876 - 31/01/1876;Preah Vihear;forêt de Mulu Prey;P00133882;Cambodge;Mitrephora;tomentosa;0;0;0;0;;;1;1;1876;1;3;2001;0;0;0;105.276;13.8096;0;0;0;0;0;27;P00133882;Harmand, J.;Weerasooriya, A.D.
Pierre, L;185;Pierre, L;<NA>;01/08/1867 - 31/08/1867;Bà Rịa - Vũng Tàu;In montibus Dinh (Mu xoai) alt. 500 met. prov. Baria, Cochinchine;P00133883;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;1;8;1867;;;;0;0;0;107.133;10.533;0;0;0;0;0;185;P00133883;Pierre, L.;Pierre, L.
Poilane, E;29560;nan;<NA>;23/03/1939 - 23/03/1939;Quảng Nam;Annam : Poste 6 pro: du Quang Nam.;P00133884;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;23;3;1939;;;;0;0;0;107.6554;15.6692;0;0;0;0;0;29560;P00133884;Poilane, E.;<NA>
Poilane;11868;Weerasooriya, AD;01/03/2001 - 31/03/2001;30/01/1925 - 30/01/1925;Savannakhét;Laos. Kilo 22 de la route de Savannakhet à Quang Tri;P00133885;Laos, République démocratique populaire;Mitrephora;tomentosa;0;0;0;0;;;30;1;1925;1;3;2001;0;0;0;104.943;16.664;0;0;0;0;0;11868;P00133885;Poilane;Weerasooriya, A.D.
Harmand;772;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/01/1875 - 31/12/1877;Bà Rịa - Vũng Tàu;Indo-Chine. île de Poulo-Condor.;P00133886;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;1;1;1875;1;3;2001;0;0;0;106.588;8.695;0;0;0;0;0;772;P00133886;Harmand;Weerasooriya, A.D.
Harmand;772;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/01/1875 - 31/12/1877;Bà Rịa - Vũng Tàu;Iles de Poulo-Condor (Cochinchine française).;P00133887;Viet Nam;Mitrephora;tomentosa;0;0;0;0;;;1;1;1875;1;3;2001;0;0;0;106.588;8.695;0;0;0;0;0;772;P00133887;Harmand;Weerasooriya, A.D.
Harmand;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/06/1876 - 30/06/1876;An Giang;in montibus Day in provincia Chaudoc Cochinchinae;P00133888;Viet Nam;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;1;6;1876;1;3;2001;0;0;0;104.9333;10.4667;0;0;0;0;0;nan;P00133888;Harmand;Weerasooriya, A.D.
