scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Polyalthia Blume;Polyalthia;PH;Luzon - Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, ca 1.5 km SSE of Palanan Point;17.13;122.512;Co, L;Collector Number: 3522;21;5;1991;nan;<NA>;BPBM;BISH;627080;0;0;0;Collector;;0;;;;0;0;0;BISH627080;3522;;Co, L.;<NA>;Co;Polyalthia;
Monoon grandifolium (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;Luzon: Isabela Prov., Divilacan Municipality, Barangay Bicobian, lower slopes of Tan-awan ridge, ca. 15 km NW of Palanan Point.;17.2483;122.408;Co, L ;3546;23;5;1991;nan;<NA>;US;US;US 3251318;0;0;0;;;0;;;;0;0;0;US3251318;3546;grandifolium;L. Co;<NA>;Co;Enicosanthum;grandifolium
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;"Philippines, Luzon, Isabela prov., Divilacan Municipality, Barangay Bicobian, lower slopes of Tan-awan ridge, c. 15 km NW of Palanan Point17.149N; 122.245E";17.233333;122.4;Co, L;Co, L  3546 ;23;5;1991;nan;<NA>;<NA>;Botany;L  0046099;0;0;0;Co;;0;;;;0;0;0;L0046099;3546;grandifolium;Co L;<NA>;Co;Enicosanthum;grandifolium
Xylopia dehiscens (Blanco) Merr.;Xylopia;PH;Luzon: Isabela prov., Divilacan Municipality, Barangay Bicobian, slope of Tan-awan ridge, ca 15 km NW of Palalan Point.;17.235833;122.401389;Co, L;Co, L  3563 ;24;5;1991;nan;<NA>;<NA>;Botany;L.1775200;0;0;0;Co;;0;;;;0;0;0;L1775200;3563;blancoi;Co L;<NA>;Co;Xylopia;blancoi
Xylopia L.;Xylopia;PH;Divilacan, Barangay, Bicobian, Tan-awan ridge, ~15 km NW of Palanan Point;17.2483;122.408;Co, L;Collector Number: 3563;24;5;1991;nan;<NA>;BPBM;BISH;627170;0;0;0;Collector;;0;;;;0;0;0;BISH627170;3563;blancoi;Co, L.;<NA>;Co;Xylopia;
Xylopia densifolia Elmer;Xylopia;PH;Luzon: isabela prov., Divilacan Municipality, Aubarede peninsula, Lanay Spring, ca 17 km NNW of Palanan Point.;17.267778;122.434167;Co, L;Co, L  3590 ;25;5;1991;nan;<NA>;<NA>;Botany;L.1775221;0;0;0;Co;;0;;;;0;0;0;L1775221;3590;densifolia;Co L;<NA>;Co;Xylopia;densifolia
Xylopia densifolia Elmer;Xylopia;PH;Divilacan, Aubarede peninsula, Lanay Spring, ~17 km NNW of Palanan Point;17.2733;122.438;Co, L;Collector Number: 3590;25;5;1991;nan;<NA>;BPBM;BISH;627220;0;0;0;Collector;;0;;;;0;0;0;BISH627220;3590;densifolia;Co, L.;<NA>;Co;Xylopia;densifolia
Fissistigma latifolium (Dunal) Merr.;Fissistigma;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Diago.;17.1283;122.515;Co, L ;3592;27;5;1991;nan;<NA>;US;US;US 3251355;0;0;0;;;0;;;;0;0;0;US3251355;3592;latifolium;L. Co;<NA>;Co;Fissistigma;latifolium
Fissistigma rufum (C.Presl) Merr.;Fissistigma;PH;"Philippines, Luzon: Sierra Madre Mtsn. Range (E footshiils), Isabela province, Palanan Municipality, Barangay San Isidro, Sitio Diago.17.077N; 122.309E";17.116667;122.5;Co, L;Co, L  3592 ;27;5;1991;nan;<NA>;<NA>;Botany;L.1754454;0;0;0;Co;;0;;;;0;0;0;L1754454;3592;latifolium;Co L;<NA>;Co;Fissistigma;latifolium
Fissistigma rufum (C.Presl) Merr.;Fissistigma;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Diago;17.1283;122.515;Co, L;Collector Number: 3592;27;5;1991;Merrill, ED;<NA>;BPBM;BISH;627219;0;0;0;Collector;;0;;;;0;0;0;BISH627219;3592;latifolium;Co, L.;Merrill, E. D.;Co;Fissistigma;latifolium
