scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;orig_recby;orig_detby;to_check;to_check_det;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet
Xylopia peekelii Diels;Xylopia;ID;Central Halmahera. Weda Bay. Casuarina.;0.529806;127.908722;Gushilman, I;"Iska Gushilman;Idris Haris;Bahar Fabanyo;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 550;8;4;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100582202;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100582202;550;peekelii
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;ID;Central Halmahera. Weda Bay. Casuarina.;0.523222;127.913167;Gushilman, I;"Iska Gushilman;Samsul Lasut;Roji Mahroji;Bahar Fabanyo";I Rachman (BO);detby_problem; (BO);Gushilman 520;26;3;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100580108;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100580108;520;
Artabotrys roseus Boerl.;Artabotrys;ID;Central Halmahera. Weda Bay. Casuarina.;0.525972;127.912111;Gushilman, I;"Iska Gushilman;Roji Mahroji;Bahar Fabanyo;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 503;24;3;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100579091;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100579091;503;roseus
Polyalthia glauca (Hassk.) Boerl.;Maasia;ID;Central Halmahera. Weda Bay. Casuarina.;0.525167;127.908806;Gushilman, I;"Iska Gushilman;Roji Mahroji;Samsul Lasut;Bahar Fabanyo";I Rachman (BO);detby_problem; (BO);Gushilman 479;24;3;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100578329;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100578329;479;glauca
Xylopia peekelii Diels;Xylopia;ID;Central Halmahera. Weda Bay. Casuarina.;0.527583;127.909889;Gushilman, I;"Iska Gushilman;Roji Mahroji;Samsul Lasut;Delianci Kulape";I Rachman (BO);detby_problem; (BO);Gushilman 462;15;3;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100577353;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100577353;462;peekelii
Polyalthia Blume;Polyalthia;ID;Central Halmahera. Weda Bay. Sagea Lagoon.;0.492889;128.071222;Gushilman, I;"Iska Gushilman;Idris Haris;Martin W. Callmander;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 367;29;1;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100567542;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100567542;367;
Phaeanthus Hook.f. & Thomson;Phaeanthus;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.498139;127.905222;Gushilman, I;"Iska Gushilman;Martin W. Callmander;Peter B. Phillipson;Idris Haris;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 344;24;1;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100567519;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100567519;344;
Friesodielsia obtusifolia (Elmer) Steenis;Friesodielsia;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.483972;127.910444;Gushilman, I;"Iska Gushilman;Malik Soleman;Bahar Fabanyo;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 302;27;12;2012;Rachman, IA;2013-01-01T00:00:00;MO;MO;100561311;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100561311;302;obtusifolia
Uvaria L.;Uvaria;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.483167;127.909361;Gushilman, I;"Iska Gushilman;Bahar Fabanyo;Samsul Lasut;Malik Soleman";I Rachman (BO);detby_problem; (BO);Gushilman 308;27;12;2012;Rachman, IA;2013-01-01T00:00:00;MO;MO;100561321;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100561321;308;
Alphonsea Hook.f. & Thomson;Alphonsea;ID;Central Halmahera. Weda Bay. Sageluw.;0.495806;128.038528;Gushilman, I;"Iska Gushilman;Idris Haris;Malik Soleman;Matraji Soleman";I Rachman (BO);detby_problem; (BO);Gushilman 104;22;10;2012;Rachman, IA;2013-01-01T00:00:00;MO;MO;100548342;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100548342;104;
