huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Beccari, Odoardo;0;Xylopia;sp.;0;0;Beccari, O;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;0;<NA>;0;Bornéo.;0;;;0;0;P01987367;P01987367;Beccari;;0;Beccari, O.;Kessler, P.;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
Biswas, AC;0;Miliusa;velutina;0;0;Biswas, AC;;<NA>;nan;<NA>;21/04/1915 - 21/04/1915;21;4;1915;nan;<NA>;;;;0;Inde;0;Siwalik and Jaunsar Divisions. Tilwari.;0;82.552;25.958;0;0;P01967647;P01967647;Biswas;Uttar Pradesh;0;Biswas, A.C.;<NA>;<NA>;<NA>
Blume, Carl(Karl) Ludwig von;0;Cananga;odorata;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Kessler;01/11/2003 - 30/11/2003;1;11;2003;0;Indonésie;0;Java;0;;;0;0;P01952563;P01952563;Blume;;0;Blume;Kessler;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Fissistigma;latifolium;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P01954636;P01954636;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Mitrephora;humilis;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Kessler, P;05/09/1985 - 05/09/1985;5;9;1985;0;Indonésie;0;Java;0;;;0;0;P00732423;P00732423;Blume;;0;Blume;Kessler, P.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Mitrephora;reticulata;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;nan;<NA>;;;;0;Indonésie;0;Java.;0;;;0;0;P00268529;P00268529;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Orophea;corymbosa;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Kessler, P, Kessler, P;06/01/1986 - 06/01/1986;6;1;1986;0;Indonésie;0;Java;0;;;0, 0;0, 0;P01987545, P01987544;P01987545, P01987544;Blume;;;;;;
Blume, Carl(Karl) Ludwig von;0;Pseuduvaria;latifolia;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Kessler, P, Kessler, P;06/01/1986 - 06/01/1986;6;1;1986;0;Indonésie;0;Java;0;;;0, 0;0, 0;P00268513, P00268514;P00268513, P00268514;Blume;;;;;;
Blume, Carl(Karl) Ludwig von;0;Pseuduvaria;rugosa;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;Kessler, P;05/09/1985 - 05/09/1985;5;9;1985;0;Indonésie;0;Java;0;;;0;0;P00268539;P00268539;Blume;;0;Blume;Kessler, P.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Stelechocarpus;burahol;0;0;Blume;;<NA>;nan;<NA>;01/01/1834 - 31/12/1834;1;1;1834;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00247933;P00247933;Blume;;0;Blume;<NA>;Indonesia;0
