specimen - institute;specimen - collection;specimen - code;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - cultivated;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - number;collect_number - note_sure;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - precision;geo - not_sure;geo - no_info;owner - owner;owner - no_info;owner - not_sure;flower - flower;flower - info_color;flower - color_flowers;flower - not_sure;fruit - fruit;fruit - info_color;fruit - color_fruits;fruit - not_sure;Date deter - collect_date;Date deter - pas d'information;altitude - altitude;altitude - not_sure;altitude - no_info
MNHN;P;P01988677;Annonaceae;Polyalthia;longifolia;;Inde;false;;;;Maharashtra;;;;;;true;Jacquemont, V.;;;false;318;;false;;;true;Poonah, Dekkan. Indes orient.;;;18.521428 , 73.8544541;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988678;Annonaceae;Polyalthia;longifolia;;Inde;false;;;;Tamil Nadu;;;;;;true;Perrottet;;;false;20;;false;;;true;Nilgherris;;;11.253 , 76.513;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988679;Annonaceae;Polyalthia;suberosa;;Inde;true;;;;West Bengal;;;;;;true;Wallich;;;false;6437;;false;;;true;India. Hort. Bot. Calcut.;;;22.558 , 88.288;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988680;Annonaceae;Polyalthia;suberosa;;Inde;true;;;;West Bengal;;;;01/01/1837 - 31/12/1837;;false;Wallich;;;false;410;;false;;;true;Jardin Bot. de Calcutta;;;22.558 , 88.288;;;;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988681;Annonaceae;Polyalthia;suberosa;;Inde;true;;;;West Bengal;;;;01/01/1837 - 31/12/1837;;false;Wallich;Gaudichaud;;false;410;;false;;;true;Jardin Calcutta;;;22.558 , 88.288;;;;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988682;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Wallich;;;false;6431;;false;;;true;;;true;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988683;Annonaceae;Polyalthia;suberosa;;Inde;true;;;;West Bengal;;;;01/01/1837 - 31/12/1837;;false;Wallich;Gaudichaud;;false;522;;false;;;true;Calcutta (Jardin Bot.);;;22.558 , 88.288;;;;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988684;Annonaceae;Polyalthia;suberosa;;;false;;;true;;;;true;;;true;Wallich;;;false;6437;;false;;;true;;;true;;;;true;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P01988685;Annonaceae;Polyalthia;suberosa;;Bangladesh;null;;;false;Sylhet;;;false;01/01/1832 - 31/12/1832;;null;Wallich;;;null;;;true;;;true;Inde Sillet;;false;24.89922 , 91.8685271;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P01988686;Annonaceae;Polyalthia;suberosa;;Inde;false;;;;;;;true;;;true;;;;true;;;true;;;true;Coromandel;;;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
