specimen...institute;specimen...collection;specimen...code;specimen...family;specimen...genus;specimen...specific_epithet;unusable...cause;country...country;country...cultivated;country...guessed;country...not_sure;country...no_info;region1...region;region1...guessed;region1...not_sure;region1...no_info;collect_date...collect_date;collect_date...not_sure;collect_date...no_info;collector...collector;collector...other_collectors;collector...not_sure;collector...no_info;collect_number...number;collect_number...note_sure;collect_number...no_info;identifier...identifier;identifier...not_sure;identifier...no_info;locality...locality;locality...not_sure;locality...no_info;geo...position;geo...precision;geo...not_sure;geo...no_info;owner...owner;owner...no_info;owner...not_sure;flower...flower;flower...info_color;flower...color_flowers;flower...not_sure;fruit...fruit;fruit...info_color;fruit...color_fruits;fruit...not_sure;Date.deter...collect_date;Date.deter...pas.d.information;altitude...altitude;altitude...not_sure;altitude...no_info
MNHN;P;P01988146;Annonaceae;Goniothalamus;lancifolius;;Philippines;false;NA;NA;;Bukidnon;NA;NA;;01/06/1920 - 31/07/1920;NA;false;Ramos, M.;Edaño, G.;NA;false;38727;NA;false;;NA;true;Philippines. Mt. Candoon. Bukidnon subprovince. Mindanao;NA;;8.023 , 124.999;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988147;Annonaceae;Goniothalamus;lancifolius;;Philippines;false;NA;NA;;Cagayan;NA;NA;;01/08/1915 - 31/10/1915;NA;false;Barros, C.;;NA;false;24844;NA;false;;NA;true;Philippines. Province of Cagayan. Luzon;NA;;18.228 , 121.694;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988155;Annonaceae;Goniothalamus;giganteus;;Philippines;false;NA;NA;;National Capital Region (NCR);NA;NA;;;NA;true;Cumming;;NA;false;1684;NA;false;;NA;true;Manille;NA;;14.5907332 , 120.9809674;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988161;Annonaceae;Goniothalamus;epiphyticus;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;;01/03/1922 - 31/03/1922;NA;false;Ramos, M.;Edaño, G.;NA;false;40638;NA;false;;NA;true;Philippines. Mt. Halcon. Mindoro;NA;;13.262 , 120.995;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988162;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/05/1917 - 31/05/1917;NA;false;Ramos, M.;Edaño, G.;NA;false;28799;NA;false;;NA;true;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;NA;;14.775 , 121.557;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988163;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Lanao del Norte;NA;NA;false;01/12/1917 - 31/12/1917;NA;false;Jimenez, R.;;NA;false;;NA;true;;NA;true;Philippines. Lanao District, Mindanao.;NA;;7.912 , 124.113;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988164;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/09/1912 - 30/09/1912;NA;false;Elmer, A.D.E.;;NA;false;13933;NA;false;;NA;true;Philippine Islands. Cabadbaran (Mt. Urdaneta), province of Agusan. Island of Mindanao.;NA;;9.1231657 , 125.532318;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988165;Annonaceae;Goniothalamus;elmeri;;Philippines;null;NA;NA;false;Laguna;NA;NA;false;01/09/1911 - 30/09/1911;NA;null;Ramos, M.;;NA;null;;NA;true;;NA;true;Philippines. Mt Maquiling. Prov. of Laguna. Luzon;NA;false;14.132 , 121.2;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988166;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Pampanga;NA;NA;;01/05/1927 - 31/05/1927;NA;false;Elmer, A.D.E.;;NA;false;22318;NA;false;;NA;true;Philippine Islands. Camp Stotsenburg (Mt. Pinatubo), Pampanga Province, Luzon.;NA;;15.18 , 120.522;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988167;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/12/1910 - 31/12/1910;NA;false;Loher, A.;;NA;false;12265;NA;false;;NA;true;Philippines. Luzon. Rizal Province;NA;;14.57 , 121.26;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988168;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Surigao del Norte;NA;NA;;01/06/1919 - 30/06/1919;NA;false;Ramos, M.;Pascasio, J.;NA;false;;NA;true;;NA;true;Philippines. Siargao Island;NA;;9.905 , 126.051;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988169;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Laguna;NA;NA;;01/06/1917 - 31/07/1917;NA;false;Elmer, A.D.E.;;NA;false;18263;NA;false;;NA;true;Philippine islands. Los Baños (Mt. Maquiling), Province of Laguna, Luzon;NA;;14.134 , 121.199;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988170;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/11/1915 - 30/11/1915;NA;false;Elmer, A.D.E.;;NA;false;14932;NA;false;;NA;true;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;NA;;12.766 , 124.055;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988171;Annonaceae;Goniothalamus;elmeri;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/08/1917 - 31/08/1917;NA;false;Ramos, M.;Edaño, G.;NA;false;29279;NA;false;;NA;true;Philippines. Mt. Susong-Dalaga. Province of Rizal. Luzon;NA;;14.332 , 121.232;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P01988172;Annonaceae;Goniothalamus;dolichopetalus;;Philippines;false;NA;NA;;Zamboanga Sibugay;NA;NA;;01/10/1919 - 30/11/1919;NA;false;Ramos, M.;Edaño, G.;NA;false;37073;NA;false;;NA;true;Philippines. Malangas, Zamboanga District, Mindanao;NA;;7.6321118 , 123.0303669;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988178;Annonaceae;Goniothalamus;amuyon;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;;01/06/1922 - 30/06/1922;NA;false;Ramos, M.;;NA;false;;NA;true;;NA;true;Philippines. Pinamalayan, Mindoro;NA;;13.0386691 , 121.4801563;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988179;Annonaceae;Goniothalamus;amuyon;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/08/1917 - 31/08/1917;NA;false;Ramos, M.;Edaño, G.;NA;false;29277;NA;false;;NA;true;Philippines. Mt. Susong-Dalaga. Province of Rizal. Luzon;NA;;14.332 , 121.233;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P01988180;Annonaceae;Goniothalamus;amuyon;;Philippines;false;NA;NA;;Pangasinan;NA;NA;;01/04/1914 - 30/06/1914;NA;false;Otanes, F.;;NA;false;;NA;true;;NA;true;Umingan, Province of Pangasinan, Luzon, Philippines.;NA;;15.9292773 , 120.8334911;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988181;Annonaceae;Goniothalamus;amuyon;;Philippines;false;NA;NA;;Batangas;NA;NA;;01/02/1915 - 28/02/1915;NA;false;Merrill;;NA;false;803;NA;false;Merrill;NA;false;San José, Batangas Province, Luzon;NA;;13.8785511 , 121.1041375;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988183;Annonaceae;Goniothalamus;sp.;;Philippines;null;NA;NA;false;Biliran;NA;NA;false;01/06/1914 - 30/06/1914;NA;null;McGregor, R.C.;;NA;null;18783;NA;false;Kessler, P.;NA;null;Philippines. Biliran;NA;false;11.585651457681356 , 124.48419570922853;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;09/09/1985 - 09/09/1985;null;;NA;true
MNHN;P;P01988186;Annonaceae;Goniothalamus;sp.;;Philippines;null;NA;NA;false;Camarines Sur;NA;NA;false;01/12/1913 - 31/12/1913;NA;null;Ramos, M.;;NA;null;;NA;true;Kessler, P.;NA;null;Philippines. Sagnay, Camarines;NA;false;13.6033934 , 123.5227082;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;09/09/1985 - 09/09/1985;null;;NA;true
MNHN;P;P01988187;Annonaceae;Goniothalamus;sp.;;Philippines;null;NA;NA;false;Biliran;NA;NA;false;01/06/1914 - 30/06/1914;NA;null;McGregor, R.C.;;NA;null;;NA;true;Kessler, P.;NA;null;Philippines. Biliran;NA;false;11.6 , 124.49;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;09/09/1985 - 09/09/1985;null;;NA;true
MNHN;P;P02132756;Annonaceae;Uvaria;rufa;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/09/1922 - 30/09/1922;NA;false;Ramos, M.;;NA;false;41194;NA;false;;NA;true;Philippines. Busuanga Island;NA;;12.133 , 119.99;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P04180329;Polygalaceae;Xanthophyllum;sp.;;Philippines;null;NA;NA;false;Palawan;NA;NA;false;01/07/1884 - 31/07/1884;NA;null;Marche, A.;;NA;null;322;NA;null;;NA;true;Malbato. Ile Busuanga. Philippines;NA;false;12.029 , 120.1175;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P04180330;Polygalaceae;Xanthophyllum;sp.;;Philippines;null;NA;NA;false;Palawan;NA;NA;false;01/07/1884 - 31/07/1884;NA;null;Marche, A.;;NA;null;322;NA;null;;NA;true;Malbato. Ile Busuanga. Philippines;NA;false;12.029 , 120.1175;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986503;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/09/1926 - 31/10/1926;NA;false;Ramos, M.;Edaño, G.;NA;false;48046;NA;false;;NA;true;Philippines. Alabat Island;NA;;14.117 , 122.05;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986506;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/03/1911 - 31/03/1911;NA;false;Elmer, A.D.E.;;NA;false;12854;NA;false;Kessler, P.;NA;false;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;NA;;9.7376025 , 118.7350414;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/05/2004 - 31/05/2004;false;;NA;true
MNHN;P;P01986507;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/11/1915 - 30/11/1915;NA;false;Elmer, A.D.E.;;NA;false;15467;NA;false;;NA;true;Philippine Islands. Irosin (Mt. Sulusan), Province of Sorsogon, island of Luzon;NA;;12.7038417 , 124.0320966;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986508;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Capiz;NA;NA;;01/10/1925 - 30/11/1925;NA;false;Edaño, G.;;NA;false;;NA;true;van Setten, A.K.;NA;false;Philippines. Capiz Province. Panay;NA;;11.5544662 , 122.7909577;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/1987 - 31/12/1987;false;;NA;true
MNHN;P;P01986509;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Maguindanao;NA;NA;;01/10/1919 - 31/10/1919;NA;false;Ramos, M.;Edaño, G.;NA;false;36681;NA;false;;NA;true;Philippines. Mt. Tubuan. Zamboanga District. Mindanao;NA;;7.001 , 124.014;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986510;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Bohol;NA;NA;;01/08/1923 - 31/10/1923;NA;false;Ramos, M.;;NA;false;;NA;true;;NA;true;Philippines. Bohol;NA;false;9.8333 , 124.1616;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986511;Annonaceae;Enicosanthum;grandifolium;;Philippines;false;NA;NA;;Zambales;NA;NA;;01/12/1916 - 31/12/1916;NA;false;Edaño, G.;;NA;false;;NA;true;;NA;true;Philippines. Mt Cabangaan, Butulan, Province de Zambales, Luzon;NA;;14.887 , 120.215;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986512;Annonaceae;Enicosanthum;klemmei;;Philippines;false;NA;NA;;Capiz;NA;NA;;01/05/1910 - 31/05/1910;NA;false;Elmer, A.D.E.;;NA;false;12565;NA;false;van Setten, A.K.;NA;false;Philippine Islands. Magallanes ( Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;NA;;12.386 , 122.587;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/1987 - 31/12/1987;false;;NA;true
MNHN;P;P01986513;Annonaceae;Enicosanthum;gigantifolium;;Philippines;false;NA;NA;;Zamboanga Sibugay;NA;NA;;01/10/1919 - 30/11/1919;NA;false;Ramos, M.;Edaño, G.;NA;false;26966;NA;false;Kessler, P.;NA;false;Philippines. Malangas, Zamboanga District. Mindanao;NA;;7.6321118 , 123.0303669;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/05/2004 - 31/05/2004;false;;NA;true
MNHN;P;P01986537;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/05/1925 - 30/06/1925;NA;false;Ramos, M.;Edaño, G.;NA;false;45281;NA;false;;NA;true;Philippines. Casiguran. Tayabas Province. Luzon;NA;;12.8719998 , 124.0067371;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01988748;Annonaceae;Polyalthia;obliqua;;Philippines;false;NA;NA;;Zamboanga Sibugay;NA;NA;;01/10/1919 - 30/11/1919;NA;false;Ramos, M.;Edaño, G.;NA;false;36767;NA;false;Le Thomas, A.;NA;false;Philippines. Malangas. Zamboanga District. Mindanao;NA;;7.6321118 , 123.0303669;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986538;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/05/1917 - 31/05/1917;NA;false;Ramos, M.;Edaño, G.;NA;false;28832;NA;false;;NA;true;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;NA;;14.775 , 121.557;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986539;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/05/1917 - 31/05/1917;NA;false;Ramos, M.;Edaño, G.;NA;false;28720;NA;false;;NA;true;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;NA;;14.775 , 121.557;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986540;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Apayao;NA;NA;;01/05/1917 - 31/05/1917;NA;false;Fénix, E.;;NA;false;28413;NA;false;;NA;true;Philippines. Mt. Sulu. Apayao Subprovince. Luzon;NA;;18.1166 , 121.2165;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986541;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Davao Oriental;NA;NA;;01/04/1927 - 31/05/1927;NA;false;Ramos, M.;Edaño, G.;NA;false;49460;NA;false;;NA;true;Philippines. Mt. Mayo. Davao Province. Mindanao;NA;;7.1 , 126.312;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986542;Annonaceae;Haplostichanthus;lanceolata;;Philippines;null;NA;NA;false;Quezon;NA;NA;false;01/09/1926 - 31/10/1926;NA;null;Ramos, M.;Edaño, G.;NA;null;48272;NA;null;;NA;true;Philippines. Alabat Island;NA;false;14.12 , 122.03;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986543;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Isabela;NA;NA;;01/02/1926 - 31/03/1926;NA;false;Ramos, M.;Edaño, G.;NA;false;;NA;true;;NA;true;Philippines. San Mariano. Isabela Province. Luzon;NA;;16.9835964 , 122.0127684;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986544;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Quezon;NA;NA;;21/12/1916 - 30/12/1916;NA;false;Merrill, E.D.;;NA;false;10457;NA;false;;NA;true;Philippines. Alabat Island;NA;;14.116667 , 122.05;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986546;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Eastern Visayas (Region VIII);NA;NA;;01/03/1914 - 30/04/1914;NA;false;Ramos, M.;;NA;false;17417;NA;false;Kessler, P.;NA;false;Philippines. Samar;NA;;11.96 , 125.11;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/11/2003 - 30/11/2003;false;;NA;true
MNHN;P;P01986547;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Laguna;NA;NA;;01/06/1917 - 31/07/1917;NA;false;Elmer, A.D.E.;;NA;false;17775;NA;false;;NA;true;Philippine Islands. Los Baños (Mt. Maquiling), province of Laguna. Island of Luzon.;NA;;14.141 , 121.198;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986548;Annonaceae;Haplostichanthus;lanceolata;;Philippines;null;NA;NA;false;Sorsogon;NA;NA;false;01/05/1916 - 31/05/1916;NA;null;Elmer, A.D.E.;;NA;null;16045;NA;null;;NA;true;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;NA;false;12.7038417 , 124.0320966;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986549;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/11/1915 - 30/11/1915;NA;false;Elmer, A.D.E.;;NA;false;15166;NA;false;;NA;true;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;NA;;12.7038417 , 124.0320966;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P01986550;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Rizal;NA;NA;;;NA;true;Loher, A.;;NA;false;15026;NA;false;;NA;true;Philippines. Rizal Province. Luzon;NA;;14.65 , 121.25;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986551;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Laguna;NA;NA;;01/11/1915 - 30/11/1915;NA;false;Ramos, M.;;NA;false;24062;NA;false;;NA;true;Philippines. Province of Laguna. Luzon;NA;;14.17 , 121.33;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986552;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Laguna;NA;NA;;01/06/1917 - 31/07/1917;NA;false;Elmer, A.D.E.;;NA;false;18327;NA;false;;NA;true;Philippine Islands. Los Baños (Mt. Maquiling), Province of Laguna, Luzon;NA;;14.134 , 121.199;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01986582;Annonaceae;Platymitra;arborea;;Philippines;false;NA;NA;;Leyte;NA;NA;;01/03/1909 - 31/03/1909;NA;false;Rosenbluth, R.;;NA;false;12729;NA;false;Kessler, P.;NA;false;Philippines. Leyte;NA;;10.784 , 124.892;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;25/10/1989 - 25/10/1989;false;;NA;true
MNHN;P;P01987351;Annonaceae;Xylopia;densiflora;;Philippines;false;NA;NA;;Aklan;NA;NA;;01/05/1919 - 30/06/1919;NA;false;Martelino, A.;Edaño, G.;NA;false;35553;NA;false;;NA;true;Philippines. Libacao. Capiz Province. Panay;NA;;11.480692 , 122.3024183;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987352;Annonaceae;Xylopia;densiflora;;Philippines;false;NA;NA;;Aurora;NA;NA;;26/06/1913 - 26/06/1913;NA;false;Escritor, L.;;NA;false;21198;NA;false;;NA;true;Philippines. Baler. Province of Tayabas. Luzon;NA;;15.759086 , 121.5627247;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987353;Annonaceae;Xylopia;densiflora;;Philippines;null;NA;NA;false;Occidental Mindoro;NA;NA;false;01/04/1921 - 30/04/1921;NA;null;Ramos, M.;;NA;null;39754;NA;null;;NA;true;Philippines. Paluan. Mindoro;NA;false;13.4155816 , 120.4623373;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P01987354;Annonaceae;Xylopia;dehiscens;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/05/1915 - 31/05/1915;NA;false;Loher, A.;;NA;null;13398;NA;null;;NA;true;Philippines. Montalban. Rizal Province;NA;false;14.7295 , 121.144;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987355;Annonaceae;Xylopia;dehiscens;;Philippines;false;NA;NA;;Rizal;NA;NA;;;NA;true;Loher, A.;;NA;false;13261;NA;false;;NA;true;Philippines. Montalban. Rizal Province;NA;;14.7295 , 121.144;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987357;Annonaceae;Xylopia;dehiscens;;Philippines;null;NA;NA;false;Quezon;NA;NA;false;01/05/1917 - 31/05/1917;NA;null;Ramos, M.;Edaño, G.;NA;null;29097;NA;null;;NA;true;Philippines. Mt. Tulaog. Province of Tayabas. Luzon;NA;false;14.773 , 121.559;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987358;Annonaceae;Xylopia;dehiscens;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/02/1923 - 28/02/1923;NA;false;Cenabre, A.L.;;NA;false;;NA;true;;NA;true;Philippines. Puerto Princesa. Palawan;NA;;9.738 , 118.732;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P01987359;Annonaceae;Xylopia;dehiscens;;Philippines;false;NA;NA;;Laguna;NA;NA;;01/08/1910 - 31/08/1910;NA;false;Whitford, H.N.;;NA;false;11696;NA;false;;NA;true;Philippines. Mt. Maquiling, Province of Laguna, Luzon.;NA;;14.134 , 121.199;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987376;Annonaceae;Xylopia;sp.;;Philippines;false;NA;NA;;National Capital Region (NCR);NA;NA;;;NA;true;Cumming;;NA;false;1823;NA;false;Kessler;NA;false;Manille;NA;;14.5907332 , 120.9809674;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/11/2003 - 30/11/2003;false;;NA;true
MNHN;P;P06901144;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Northern Samar;NA;NA;;01/02/1916 - 31/03/1916;NA;false;Sablaya, M.;;NA;false;51;NA;false;;NA;true;Philippine Islands. Catubig River. Samar;NA;;12.467 , 125.03;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987484;Annonaceae;Orophea;glabra;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/03/1905 - 31/03/1905;NA;false;Merrill, E.D.;;NA;false;3996;NA;false;Kessler, P.;NA;null;Philippines. Atimonana, Tayabas Prov., Luzon.;NA;;13.9989 , 121.9208;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;03/09/1985 - 03/09/1985;false;;NA;true
MNHN;P;P01987485;Annonaceae;Orophea;glabra;;Philippines;null;NA;NA;false;Sorsogon;NA;NA;false;01/07/1916 - 31/07/1916;NA;null;Elmer, A.D.E.;;NA;null;16690;NA;null;Elmer, A.D.E.;NA;false;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;NA;false;12.769 , 124.055;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P01987486;Annonaceae;Orophea;glabra;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;false;01/06/1922 - 30/06/1922;NA;false;Ramos, M.;;NA;false;40979;NA;false;Kessler, P.;NA;false;Philippines. Pinamalayan. Mindoro.;NA;;13.0386691 , 121.4801563;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;08/03/1984 - 08/03/1984;false;;NA;true
MNHN;P;P01987487;Annonaceae;Orophea;glabra;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;;01/11/1925 - 31/12/1925;NA;false;Ramos, M.;;NA;false;46366;NA;false;Kessler, P.;NA;false;Philippines. Puerto Galera. Mindoro;NA;;13.5018252 , 120.9541838;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;08/03/1984 - 08/03/1984;false;;NA;true
MNHN;P;P01987488;Annonaceae;Orophea;glabra;;Philippines;false;NA;NA;;Samar;NA;NA;;01/04/1914 - 30/04/1914;NA;false;Ramos, M.;;NA;false;1672;NA;false;Kessler, P.;NA;false;Philippine Plants. Samar;NA;;12.0 , 125.0;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;13/02/1985 - 13/02/1985;false;;NA;true
