specimen...institute;specimen...collection;specimen...code;specimen...family;specimen...genus;specimen...specific_epithet;unusable...cause;country...country;country...cultivated;country...guessed;country...not_sure;country...no_info;region1...region;region1...guessed;region1...not_sure;region1...no_info;collect_date...collect_date;collect_date...not_sure;collect_date...no_info;collector...collector;collector...other_collectors;collector...not_sure;collector...no_info;collect_number...number;collect_number...note_sure;collect_number...no_info;identifier...identifier;identifier...not_sure;identifier...no_info;locality...locality;locality...not_sure;locality...no_info;geo...position;geo...precision;geo...not_sure;geo...no_info;owner...owner;owner...no_info;owner...not_sure;flower...flower;flower...info_color;flower...color_flowers;flower...not_sure;fruit...fruit;fruit...info_color;fruit...color_fruits;fruit...not_sure;Date.deter...collect_date;Date.deter...pas.d.information;altitude...altitude;altitude...not_sure;altitude...no_info
MNHN;P;P00389825;Annonaceae;Mitrephora;multifolia;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/05/1916 - 31/05/1916;NA;false;Elmer, A.D.E.;;NA;false;16152;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;NA;;12.767 , 124.056;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00389826;Annonaceae;Pseuduvaria;unguiculata;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/10/1912 - 31/10/1912;NA;false;Elmer, A.D.E.;;NA;false;13987;NA;false;Kessler, P.;NA;false;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;NA;;9.1231657 , 125.532318;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/05/2004 - 31/05/2004;false;;NA;true
MNHN;P;P00389827;Annonaceae;Goniothalamus;longistylus;;Philippines;false;NA;NA;;Aurora;NA;NA;;01/08/1916 - 30/09/1916;NA;false;Ramos, M.;Edaño, G.;NA;false;26639;NA;false;;NA;true;Philippines. Mt. Dingalan. Province of Tayabas. Luzon;NA;;15.426 , 121.405;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00389828;Annonaceae;Goniothalamus;lancifolius;;Philippines;false;NA;NA;;Pangasinan;NA;NA;;01/11/1917 - 30/11/1917;NA;false;Fénix, E.;;NA;false;29992;NA;false;;NA;true;Philippines. Mt. San Isidro. Labrador. Prov. of Pangasinan. Luzon;NA;;15.984 , 120.117;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00389830;Annonaceae;Goniothalamus;mindorensis;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;false;01/06/1922 - 30/06/1922;NA;null;Ramos, M.;;NA;null;41017;NA;null;Merrill, E.;NA;null;Philippines. Pinamalayan. Mindoro;NA;false;13.0386691 , 121.4801563;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00389890;Annonaceae;Uvaria;lanotan;;Philippines;null;NA;NA;false;Bataan;NA;NA;false;01/06/1915 - 30/06/1915;NA;null;Merrill;;NA;null;940;NA;null;Merrill;NA;null;Bataan Province, Luzon.;NA;false;14.667 , 120.417;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00389900;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Romblon;NA;NA;;01/03/1910 - 31/03/1910;NA;false;Elmer, A.D.E.;;NA;false;12170;NA;false;Kessler, P.;NA;false;Philippine Plants. Romblon;NA;;12.55 , 122.28;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/11/2003 - 30/11/2003;false;;NA;true
MNHN;P;P00389901;Annonaceae;Haplostichanthus;lanceolata;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/09/1912 - 30/09/1912;NA;false;Elmer, A.D.E.;;NA;false;13931;NA;false;Kessler, P.;NA;false;Philippine Islands. Cabadbaran (Mt. Urdaneta), province of Agusan. Island of Mindanao.;NA;;9.1231657 , 125.532318;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/11/2003 - 30/11/2003;false;;NA;true
MNHN;P;P00268503;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/04/1913 - 30/04/1913;NA;false;Merrill, E.D.;;NA;false;9213;NA;false;Kessler, P.;NA;false;Taytay. Palawan;NA;;10.8264031 , 119.5159199;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/11/2003 - 30/11/2003;false;;NA;true
MNHN;P;P00268504;Annonaceae;Pseuduvaria;sp.;;Philippines;null;NA;NA;false;Ilocos Norte;NA;NA;false;01/07/1918 - 31/07/1918;NA;null;Ramos, M.;;NA;null;32830;NA;null;Kessler, P.;NA;null;Philippines. Burgos. Ilocos Norte Province. Luzon;NA;false;18.5110086 , 120.6436311;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;09/09/1985 - 09/09/1985;null;;NA;true
