scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;global_id;childData_id;accSpecies_id;colnum_fullprefix;region;to_check;to_check_det;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary
Polyalthia igniflora D.M.Johnson;Polyalthia;igniflora;D.M.Johnson;0;Elmer, ADE;Elmer, ADE  12718 ;Elmer;12718;nan;0;1;3;1911;nan;nan;;;;PH;Philippines;0;Philippines, Brooks Point (Addison Peak), Province of Palawan, Island of Palawan.;0;117.833333;8.8;nan;Botany;L0183919;L  0183919;Elmer;0.0;Elmer ADE;"Johnson DM; Murray NA";PHL;ACCEPTED;Polyalthia igniflora;https://ipni.org/n/1008947-1;0;0;0;0;;;;;;;;;;;;
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Elmer, ADE;Elmer, ADE  12787 , Elmer, ADE  12787 ;Elmer;12787;nan;0;1;3;1911;Weerasooriya, AD, Weerasooriya, AD;2001-03-01T00:00:00;1;3;2001;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>;Botany, Botany;U1073720, L1757259;U.1073720, L.1757259;Elmer;;nan;;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;0;0;0;0;;;;;;;;;;;;
0;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Elmer, ADE;12803;nan;12803;nan;01/03/1911 - 31/03/1911;1;3;1911;nan;nan;;;;PH;Philippines;0;Philippine islands. Puerto Princesa (Mt. Pulgar), province of Palawan. Island of Palawan.;0;118.7350414;9.7376025;0;0;P02006249;P02006249;Elmer;0.0;Elmer, A.D.E.;;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;nan;nan;nan;;Palawan;;;True;True;True;True;True;True;True;True;True
0;Enicosanthum;grandifolium;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;12854;nan;12854;nan;01/03/1911 - 31/03/1911;1;3;1911;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;PH;Philippines;0;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.7350414;9.7376025;0;0;P01986506;P01986506;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;creaghii;(Ridl.) Leonardía & Kessler;0;Elmer, ADE;Elmer, ADE  12858 , Elmer, ADE  12858 , 12858, 12858;Elmer;12858;nan;0;1;3;1911;nan, nan, nan, Elmer, ADE;1999-07-01T00:00:00;1;7;1999;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK, 0;Botany, Botany, BOT, 0;U0008308, L0047773, BM000547318, P00389964;U  0008308, L  0047773, BM000547318, P00389964;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Pseuduvaria pamattonis (Miq.) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;pamattonis;(Miq.) Y.C.F.Su & R.M.K.Saunders;0;Elmer, ADE;Elmer, ADE  12936 , Elmer, ADE  12936 ;Elmer;12936;nan;0;1;4;1911;Turner, IM, Turner, IM;2010-03-05T00:00:00;5;3;2010;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>;Botany, Botany;U0111004, L0038172;U  0111004, L  0038172;Elmer;;nan;;PHL;ACCEPTED;Pseuduvaria pamattonis;https://ipni.org/n/20002932-1;0;0;0;0;;;;;;;;;;;;
Artabotrys rolfei S.Vidal;Artabotrys;suaveolens;(Blume) Blume;0;Elmer, ADE;Elmer, ADE  12942 , Elmer, ADE  12942 , Elmer, ADE  12942 , Elmer, ADE  12942 , Elmer, ADE  12942 , Elmer, ADE  12942 , 12942;Elmer;12942;nan;0;1;1;1911;nan, nan, nan, nan, nan, nan, Elmer, ADE;nan;;;;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>, 0;Botany, Botany, Botany, Botany, Botany, Botany, 0;U1062656, L1749491, L1088915, L1088912, L1088914, L1088913, P02029223;U.1062656, L.1749491, L.1088915, L.1088912, L.1088914, L.1088913, P02029223;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Elmer, ADE;Elmer, ADE  13012 , Elmer, ADE  13012 , 13012;Elmer;13012;nan;0;1;3;1911;Weerasooriya, AD, Weerasooriya, AD, nan;2001-03-01T00:00:00;1;3;2001;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, 0;Botany, Botany, 0;U1073721, L1757260, P01964939;U.1073721, L.1757260, P01964939;Elmer;;;;;;;;;;;;;;;;;;;;;;;
Uvaria nudistellata Elmer;Uvaria;concava;Teijsm. & Binn.;0;Elmer, ADE;Elmer, ADE  13015 , Elmer, ADE  13015 , 13015;Elmer;13015;nan;0;1;4;1911;nan, nan, Turner, IM;nan;;;;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK;Botany, Botany, BOT;U0000433, L0190867, BM000885795;U  0000433, L  0190867, BM000885795;Elmer;;nan;;PHL;ACCEPTED;Uvaria concava;https://ipni.org/n/75624-1;0;0;0;0;;;;;;;;;;;;
Orophea cumingiana S.Vidal;Orophea;cumingiana;S.Vidal;0;Elmer, ADE;Elmer, ADE  13018 , Elmer, ADE  13018 , 13018;Elmer;13018;nan;0;1;4;1911;Kessler, PJA, Kessler, PJA, Kessler, PJA ;1984-03-01T00:00:00;1;3;1984;PH;Philippines;0;Philippines, Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.605667;9.798722;<NA>, <NA>, NHMUK;Botany, Botany, BOT;U0000352, L0038064, BM000885495;U  0000352, L  0038064, BM000885495;Elmer;;nan;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;0;0;0;0;;;;;;;;;;;;
