scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx
nan;Meiogyne;mindorensis;nan;Ramos, Maximo;35026;nan;35026.0;nan;nan;;6;1918;nan;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK;BOT;BM0-00632901;BM0-00632901;Ramos;M. Ramos & J. Pascasio;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Ramos, M ;s_2023-04-28_09-37-05;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;(Merr.) Heusden;;;Meiogyne mindorensis
nan;Meiogyne;mindorensis;nan;Williams, Robert Stratham;512;nan;512.0;nan;nan;24;1;1904;nan;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K;Herbarium;K000691918;K000691918;Williams;Williams, R.S.;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Williams, RS;s_2023-04-28_09-37-05;;;;nan;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;nan;(Merr.) Heusden;;;Meiogyne mindorensis
nan;Mitrephora;pictiflora;nan;Ramos, Maximo;41501;nan;41501.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Cabalian, Leyte;nan;125.22;10.28;K;Herbarium;K000691986;K000691986;Ramos;Ramos, M.;;PHL;ACCEPTED;Mitrephora pictiflora;https://ipni.org/n/74034-1;;;nan;1.0;;nan;Ramos, M;s_2023-04-28_09-37-05;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;Elmer;;;Mitrephora pictiflora
nan;Orophea;cumingiana;nan;Elmer, Adolph Daniel Edward;6434;nan;6434.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Prov Benguet. Kias  Luzon;nan;120.57;16.33;K;Herbarium;K000574845;K000574845;Elmer;Elmer, A.D.E.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;;;nan;1.0;;nan;Elmer, ADE;s_2023-04-28_09-37-05;;;;nan;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;nan;S.Vidal;;;Orophea cumingiana
nan;Phaeanthus;ophthalmicus;nan;Burley, John Stuart;Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620167;620167;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-37-05;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(Roxb. ex G.Don) J.Sinclair;;;Phaeanthus ophthalmicus
nan;Polyalthia;mindorensis;nan;Burley, John Stuart;Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620169;620169;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Polyalthia mindorensis;https://ipni.org/n/77070439-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-37-05;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;Merr.;;;Polyalthia mindorensis
nan;Pseuduvaria;luzoniensis;nan;Ramos, Maximo;43211;nan;43211.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K;Herbarium;K000574830;K000574830;Ramos;Ramos, M.;;PHL;ACCEPTED;Pseuduvaria luzoniensis;https://ipni.org/n/20002930-1;;;nan;1.0;;nan;Ramos, M;s_2023-04-28_09-37-05;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;(Merr.) Y.C.F.Su & R.M.K.Saunders;;;Pseuduvaria luzoniensis
nan;Phaeanthus;ophthalmicus;nan;Burley, John Stuart;Collector Number: 181, Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM;BISH, BISH;BISH620167, BM0-00885795;620167, 620167;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;nan;;;
nan;Polyalthia;mindorensis;nan;Burley, John Stuart;Collector Number: 179, Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM;BISH, BISH;BISH620169, BM0-00885795;620169, 620169;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;nan;;;
nan;Drepathus;acuminatus;nan;Burley, John Stuart;Collector Number: 178, Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM;BISH, BISH;BISH620170, BM0-00885795;620170, 620170;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;nan;;;
nan;Meiogyne;mindorensis;nan;Ramos, Maximo;35026, 35026;nan;35026.0;nan;nan;;6;1918;, ;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK, NHMUK;BOT, BOT;BM0-00632901, BM0-00885795;BM0-00632901, BM0-00632901;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;nan;;;
nan;Uvaria;concava;nan;Elmer, Adolph Daniel Edward;13015, 13015, 13015, 13015, 13015, 13015;nan;13015.0;nan;nan;;4;1911;Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM;nan;;;;PH;Philippines;nan;Puerto Princesa (Mount Pulgar);nan;119.200154;10.2204165;NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK;BOT, BOT, BOT, BOT, BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795;Elmer;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;nan;nan;;;
nan;Pseuduvaria;luzoniensis;nan;Ramos, Maximo;43211, 43211;nan;43211.0;nan;nan;;;;, ;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K, K;Herbarium, Herbarium;K000574830, BM0-00885795;K000574830, K000574830;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;nan;;;
nan;Orophea;cumingiana;nan;Elmer, Adolph Daniel Edward;6434, 6434;nan;6434.0;nan;nan;;;;, ;nan;;;;PH;Philippines;nan;Prov Benguet. Kias  Luzon;nan;120.57;16.33;K, K;Herbarium, Herbarium;K000574845, BM0-00885795;K000574845, K000574845;Elmer;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;nan;nan;;;
nan;Friesodielsia;auriculata;nan;Ramos, Maximo;43245, 43245;nan;43245.0;nan;nan;;;;, ;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K, K;Herbarium, Herbarium;K000691758, BM0-00885795;K000691758, K000691758;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;nan;;;
nan;Meiogyne;mindorensis;nan;Williams, Robert Stratham;512, 512;nan;512.0;nan;nan;24;1;1904;, ;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K, K;Herbarium, Herbarium;K000691918, BM0-00885795;K000691918, K000691918;Williams;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;nan;nan;;;
nan;Meiogyne;mindorensis;nan;Mabesa, Calixto;25388, 25388;nan;25388.0;nan;nan;;;;, ;nan;;;;PH;Philippines;nan;Province of Laguna, Luzon;nan;121.33;14.17;K, K;Herbarium, Herbarium;K000691920, BM0-00885795;K000691920, K000691920;Mabesa;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Mabesa, Calixto;Philippines;nan;nan;;;
nan;Mitrephora;pictiflora;nan;Ramos, Maximo;41501, 41501;nan;41501.0;nan;nan;;;;, ;nan;;;;PH;Philippines;nan;Cabalian, Leyte;nan;125.22;10.28;K, K;Herbarium, Herbarium;K000691986, BM0-00885795;K000691986, K000691986;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;nan;;;
0.0;Polyalthia;nan;nan;Adduru, M;108, 108;nan;108.0;nan;01/05/1917 - 18/06/1917;1;5;1917;, <NA>;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0, 0;0, 0;P01983360, BM0-00885795;P01983360, P01983360;Adduru;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
