;scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X
10;Fissistigma kingii (Boerl.) Burkill;Fissistigma;Fissistigma kingii;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Southern part of the reserve, Alas River valley, near the mouth of the Bengkong River, c. 50 km. S. of Kutacane.;3.0;97.83;W. J. de Wilde & B. E. de Wilde-Duyfjes;18716;15;7;1979;;;US;US;US 2996687;0;0;0;0;0;0;;;;0;0;0;2996687;US;US ;
11;Annonaceae;;;ID;Tumbang Tapi.;-1.02;113.0;Veldkamp;8347;21;1;1983;;;NSW;NSW;NSW562415;0;0;0;0;0;0;;;;0;0;0;562415;NSW;NSW;
12;Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;Friesodielsia biglandulosa;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR2350;0;0;0;0;0;0;;;;0;0;0;2350;KR;KR;
13;Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;Fissistigma manubriatum;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR2091;0;0;0;0;0;0;;;;0;0;0;2091;KR;KR;
14;Orophea Blume;Orophea;;ID;Central Halmahera, Weda Bay, Loy Poloy.;0.5225;127.899167;"Bidault E; Mahroji R; Fabanyo B";"Bidault, E; Mahroji, R; Fabanyo, B  1119 ";16;4;2013;Deroin T;;;Botany;L.4372322;0;0;0;0;0;0;;;;0;0;0;4372322;L;L.;
15;Artabotrys roseus Boerl.;Artabotrys;Artabotrys roseus;ID;Central Halmahera. Weda Bay. Casuarina.;0.526111;127.912222;"Gushilman I; Mahroji R; Lasut SA; Fabanyo B";"Gushilman, I; Mahroji, R; Lasut, SA; Fabanyo, B  503 ";24;3;2013;Rachman IA;;;Botany;L.4372319;0;0;0;0;0;0;;;;0;0;0;4372319;L;L.;
16;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;Stelechocarpus burahol;ID;;-0.316;100.73;Molino, J.-F.;;15;12;1987;Molino;;UM;MPU;MPU903342;0;0;0;0;0;0;;;;0;0;0;903342;MPU;MPU;
17;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;;-0.316;100.73;Molino, J.-F.;;15;12;1987;Molino;;UM;MPU;MPU903341;0;0;0;0;0;0;;;;0;0;0;903341;MPU;MPU;
18;Annonaceae;;;ID;Foothills of Gunung Beriun;1.298611;117.545556;East Kalimantan Bogor Edinburgh (2016);68;23;11;2016;;;E;E;E01122221;0;0;0;0;0;0;;;;0;0;0;01122221;E;E;
19;Polyalthia Blume;Polyalthia;;ID;Trail from basecamp of Gua Tewet;1.025833;117.2575;East Kalimantan Bogor Edinburgh (2016);92;26;11;2016;;;E;E;E01122208;0;0;0;0;0;0;;;;0;0;0;01122208;E;E;
20;Uvaria L.;Uvaria;;ID;Downstream trail via boat from Gua Tewet camp;1.001111;117.255;East Kalimantan Bogor Edinburgh (2016);153;29;11;2016;;;E;E;E01122211;0;0;0;0;0;0;;;;0;0;0;01122211;E;E;
21;Popowia pisocarpa (Blume) Endl.;Popowia;Popowia pisocarpa;ID;Kebun Raya Bogor.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;;;;Botany;L  0299964;0;0;0;0;0;0;;;;0;0;0;0299964;L;L  ;
22;Cyathocalyx martabanicus Hook.f. & Thomson;Cyathocalyx;Cyathocalyx martabanicus;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5281 ";31;5;1986;;;;Botany;L  0299052;0;0;0;0;0;0;;;;0;0;0;0299052;L;L  ;
23;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;Stelechocarpus burahol;ID;Indonesia. Kebun Raya Bogor, W. Java.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5283 ";31;5;1986;;;;Botany;L  0299426;0;0;0;0;0;0;;;;0;0;0;0299426;L;L  ;
24;Polyalthia subcordata (Blume) Blume;Polyalthia;Polyalthia subcordata;ID;;-6.738088;107.005205;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5667 ";5;7;1986;;;;Botany;L  0299192;0;0;0;0;0;0;;;;0;0;0;0299192;L;L  ;
25;Anaxagorea javanica var. tripetala Corner;Anaxagorea;Anaxagorea javanica;ID;"East Borneo; E. Kutei. G. Tepian Lobang on Menubar R.";0.833333;118.483333;Kostermans AJGH;Kostermans, AJGH  5329 ;19;6;1951;Benthem FDJ van;;;Botany;L  0298771;0;0;0;0;0;0;;;;0;0;0;0298771;L;L  ;
26;Uvaria L.;Uvaria;;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5444 ";14;6;1986;;;;Botany;L  0299996;0;0;0;0;0;0;;;;0;0;0;0299996;L;L  ;
27;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;Gn Palung Nature Reserve, c. 100 km S. of Pontianak, W. Kalimantan.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5461 ";15;6;1986;;;;Botany;L  0299196;0;0;0;0;0;0;;;;0;0;0;0299196;L;L  ;
28;Xylopia malayana Hook.f. & Thomson;Xylopia;Xylopia malayana;ID;Native in Sumatra. Cultivated in the Botanic Gardens Buitenzorg-Java. Garden number: IV.G.55.;-6.35;106.47;Okada H;Okada, H  3262 ;21;10;1980;Johnson DM;2014-03-01T00:00:00;;Botany;L  0299283;0;0;0;0;0;0;01;03;2014;0;0;0;0299283;L;L  ;
29;Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;Cananga odorata;ID;Indonesia, Buitenzorg, Botanic Gardens;-6.5897;106.7913;Okada H;Okada, H  3251 ;7;10;1980;;;;Botany;L  0298737;0;0;0;0;0;0;;;;0;0;0;0298737;L;L  ;
30;Polyalthia suberosa (Roxb.) Thwaites;Polyalthia;Polyalthia suberosa;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5650 ";4;7;1986;Setten AK van;;;Botany;L  0299171;0;0;0;0;0;0;;;;0;0;0;0299171;L;L  ;
31;Enicosanthum macranthum (King) J.Sinclair;Enicosanthum;Enicosanthum macranthum;ID;Gunung Palung Nature Reserve, c. 100 km S of Pontianak, W Kalimantan.;-1.216667;110.133333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5614 ";25;6;1986;;;;Botany;L  0299168;0;0;0;0;0;0;;;;0;0;0;0299168;L;L  ;
32;Polyalthia clavigera King;Polyalthia;Polyalthia anomala;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs M;Jacobs, M  8360 ;12;5;1968;;;;Botany;L  0299146;0;0;0;0;0;0;;;;0;0;0;0299146;L;L  ;
33;Mitrephora longipetala Miq.;Mitrephora;Mitrephora longipetala;ID;Indonesia. Gn Palung Nature Reserve, c.100 Km S of Pontianak, W. Kalimantan.;3.748056;97.158056;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5535 A";20;6;1986;Weerasooriya AD;2001-03-01T00:00:00;;Botany;L  0770063;0;0;0;0;0;0;01;03;2001;0;0;0;0770063;L;L  ;
34;Xylopia malayana Hook.f. & Thomson;Xylopia;Xylopia malayana;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5467 ";16;8;1986;Johnson DM;2014-03-01T00:00:00;;Botany;L  0299285;0;0;0;0;0;0;01;03;2014;0;0;0;0299285;L;L  ;
35;Cyathocalyx pruniferus (Maingay ex Hook.f. & Thomson) J.Sinclair;Drepananthus;Drepananthus pruniferus;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra, Sikundur Forest Reserve, c.75km WNW of Medan;3.748056;97.158056;"Wilde WJJO de; Wilde-Duyfjes BEE de";"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19281 ";3;8;1979;Wang R;2001-08-01T00:00:00;;Botany;L  0298897;0;0;0;0;0;0;01;08;2001;0;0;0;0298897;L;L  ;
36;Popowia pisocarpa (Blume) Endl.;Popowia;Popowia pisocarpa;ID;Gunung Palung nature reserve, c. 100 km S of Pontianak.;-1.216667;111.0;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5328 ";8;6;1986;;;;Botany;L  0299153;0;0;0;0;0;0;;;;0;0;0;0299153;L;L  ;
37;Polyalthia sumatrana King;Polyalthia;Polyalthia sumatrana;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5326 ";8;6;1986;;;;Botany;L  0299195;0;0;0;0;0;0;;;;0;0;0;0299195;L;L  ;
38;Polyalthia lateriflora (Blume) Kurz;Polyalthia;Polyalthia lateriflora;ID;"Kebun Raya Bogor; West Java.";-6.583333;106.783333;Balgooy MMJ van;Balgooy, MMJ van  5143 ;14;9;1985;;;;Botany;L  0299392;0;0;0;0;0;0;;;;0;0;0;0299392;L;L  ;
39;Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;Gn. Palung Nature Reserve, c100km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5447 ";15;6;1986;Turner IM;2008-02-01T00:00:00;;Botany;L  0299389;0;0;0;0;0;0;01;02;2008;0;0;0;0299389;L;L  ;
40;Fissistigma Griff.;Fissistigma;;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimanten.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5553 ";21;6;1986;;;;Botany;L  0299215;0;0;0;0;0;0;;;;0;0;0;0299215;L;L  ;
41;Cyathocalyx havilandii Boerl.;Drepananthus;Drepananthus havilandii;ID;Gn Palung Nature Reserve, c.100km S of Pontianak.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5503 ";18;6;1986;Setten AK van;;;Botany;L  0299252;0;0;0;0;0;0;;;;0;0;0;0299252;L;L  ;
42;Friesodielsia cuneiformis (Blume) Steenis;Friesodielsia;Friesodielsia cuneiformis;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5284 ";31;5;1980;;;;Botany;L  0299227;0;0;0;0;0;0;;;;0;0;0;0299227;L;L  ;
43;Monoon lateriflorum (Blume) Miq.;Polyalthia;Polyalthia lateriflora;ID;Gn. Palung Nature Reserve, c. 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5502 ";18;6;1986;Xue B;2012-10-01T00:00:00;;Botany;L  0299155;0;0;0;0;0;0;01;10;2012;0;0;0;0299155;L;L  ;
44;Cyathocalyx havilandii Boerl.;Drepananthus;Drepananthus havilandii;ID;Indonesia, Gn Palung Nature Reserve, c.100km S of Pontianak, W Kalimantan;-1.216667;110.1333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5472 ";16;6;1986;Setten AK van;;;Botany;L  0299247;0;0;0;0;0;0;;;;0;0;0;0299247;L;L  ;
45;Miliusa horsfieldii (Benn.) Pierre;Miliusa;Miliusa horsfieldii;ID;Kebun Raya Bogor, W. Java, Indonesia.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5649 ";4;7;1986;Mols JB;2004-03-01T00:00:00;;Botany;L  0299363;0;0;0;0;0;0;01;03;2004;0;0;0;0299363;L;L  ;
46;Pseuduvaria rugosa (Blume) Merr.;Pseuduvaria;Pseuduvaria rugosa;ID;Indonesia, Sumatra, Aceh, Gunung Leuser Nature Reserve, Ketambe, valley of Lau Alas, near tributary of Lau Ketambe, c. 35 NW of Kutatjane,200-400 m alt.;3.083333;97.916667;"Wilde WJJO de; Wilde-Duyfjes BEE de";"Wilde, WJJO de; Wilde-Duyfjes, BEE de  12511 ";1;6;1972;Su YCF;2001-09-01T00:00:00;;Botany;L  0299538;0;0;0;0;0;0;01;09;2001;0;0;0;0299538;L;L  ;
47;Stelechocarpus cauliflorus (Scheff.) R.E.Fr.;Stelechocarpus;Stelechocarpus cauliflorus;ID;;-6.5897;106.7913;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5689 ";8;7;1986;;;;Botany;L  0299455;0;0;0;0;0;0;;;;0;0;0;0299455;L;L  ;
48;Popowia pisocarpa (Blume) Endl.;Popowia;Popowia pisocarpa;ID;Kebun Raya Bogor.;-6.583333;106.783333;"Balgooy MMJ van; Setten AK van";"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;;;;Botany;L  0770376;0;0;0;0;0;0;;;;0;0;0;0770376;L;L  ;
49;Alphonsea Hook.f. & Thomson;Alphonsea;;ID;;-6.583333;106.783333;Mols JB;Mols, JB  16 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;;Botany;L  0770362;0;0;0;0;0;0;01;09;2001;0;0;0;0770362;L;L  ;
50;Miliusa horsfieldii (Benn.) Pierre;Miliusa;Miliusa horsfieldii;ID;Kebun Raya Bogor, West Java.;-6.583333;106.783333;Balgooy MMJ van;Balgooy, MMJ van  5140 ;9;9;1985;Chaowasku T;;;Botany;L  0770375;0;0;0;0;0;0;;;;0;0;0;0770375;L;L  ;
51;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;heuvel links achter Djaro Dam.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2328 ;14;3;1973;;;;Botany;L.4414158;0;0;0;0;0;0;;;;0;0;0;4414158;L;L.;
52;Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Archipel. Ind.: Borneo. foot of Mt. Kenepai.;0.7;111.716666;Hallier JG;Hallier, JG  1624 ;1;1;1893;Kessler PJA;1989-05-01T00:00:00;;Botany;L  0770365;0;0;0;0;0;0;01;05;1989;0;0;0;0770365;L;L  ;
53;Annonaceae;;;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2248 ;9;3;1973;;;;Botany;L.4414211;0;0;0;0;0;0;;;;0;0;0;4414211;L;L.;
54;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;Stelechocarpus burahol;ID;;-6.583333;106.783333;Mols JB;Mols, JB  13 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;;Botany;L  0770363;0;0;0;0;0;0;01;09;2001;0;0;0;0770363;L;L  ;
55;Xylopia caudata Hook.f. & Thomson;Xylopia;Xylopia caudata;ID;Landah, Ngabang.;0.383333;109.95;Boschproefstation;Boschproefstation bb 6412 ;28;4;1924;"Johnson DM; Murray NA";;;Botany;L.4370459;0;0;0;0;0;0;;;;0;0;0;4370459;L;L.;
56;Polyalthia teysmannii (Miq.) King;Polyalthia;Polyalthia cauliflora;ID;behind Djaro Dam, road to G. Sarempaka.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2279 ;11;3;1973;;;;Botany;L.4414121;0;0;0;0;0;0;;;;0;0;0;4414121;L;L.;
57;Miliusa horsfieldii (Benn.) Pierre;Miliusa;Miliusa horsfieldii;ID;Indonesia, Java, Kebun Raya Bogor.;-6.583333;106.783333;Mols JB;Mols, JB  12 ;4;9;2001;;;;Botany;L  0770364;0;0;0;0;0;0;;;;0;0;0;0770364;L;L  ;
58;Annonaceae;;;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2248 ;9;3;1973;;;;Botany;L.4414212;0;0;0;0;0;0;;;;0;0;0;4414212;L;L.;
59;Annonaceae;;;ID;achter Djaro.;-1.833333;115.666667;Vogel EF de;Vogel, EF de  2339 ;15;3;1973;;;;Botany;L.4414168;0;0;0;0;0;0;;;;0;0;0;4414168;L;L.;
60;Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Central Kalimantan, Arboretum Nyaru Menteng.;-1.95;113.616667;"Sidiyasa K; Ambriansyah; Adriansyah";"Sidiyasa, K; Ambriansyah; Adriansyah  2520 ";9;10;2001;Kessler PJA;;;Botany;l.4407413;0;0;0;0;0;0;;;;0;0;0;4407413;;l.;
61;Phaeanthus splendens Miq.;Phaeanthus;Phaeanthus splendens;ID;East Kalimantan, Meratus mountain forest, ITCI kenangan.;-1.0;116.333333;"Adriansyah; Abadi F; Gozali I; Budiarti I";"Adriansyah; Abadi, F; Gozali, I; Budiarti, I AA 3036 ";5;12;2000;Kessler PJA;;;Botany;l.4407683;0;0;0;0;0;0;;;;0;0;0;4407683;;l.;
62;Artabotrys suaveolens (Blume) Blume;Artabotrys;Artabotrys suaveolens;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, Daeng Setuju disturbed forest.;-3.516667;116.35;Ambriansyah;Ambriansyah AA 2424 ;29;4;2001;Ambriansyah;;;Botany;l.4407405;0;0;0;0;0;0;;;;0;0;0;4407405;;l.;
63;Artabotrys suaveolens (Blume) Blume;Artabotrys;Artabotrys suaveolens;ID;Central Kalimantan, Kapuas river, Mentangai village, Blok AB area.;-2.266667;114.55;Ambriansyah;Ambriansyah AA 2698 ;11;3;2004;Ambriansyah;;;Botany;L.4407779;0;0;0;0;0;0;;;;0;0;0;4407779;L;L.;
64;Polyalthia Blume;Polyalthia;;ID;West Kalimantan, Kabupaten Sintang. Areal Plasma Nutfah Tegua Tibun, PT. Halisa.;0.683333;110.95;"Albertus; Sidiyasa K";"Albertus; Sidiyasa, K  2249 ";17;10;2000;Sidiyasa K;;;Botany;l.4407675;0;0;0;0;0;0;;;;0;0;0;4407675;;l.;
65;Fissistigma Griff.;Fissistigma;;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, kampung Kuari.;-3.6;116.383333;Ambriansyah;Ambriansyah AA 2453 ;2;5;2001;Kessler PJA;2001-10-01T00:00:00;;Botany;l.4407400;0;0;0;0;0;0;01;10;2001;0;0;0;4407400;;l.;
66;Xylopia L.;Xylopia;;ID;East Kalimantan, Sungai Wain, km 15, plot 58 Karl.;-1.205555;116.811111;Arbainsyah;Arbainsyah AA 2402 ;1;2;2000;Arbainsyah;;;Botany;l.4407684;0;0;0;0;0;0;;;;0;0;0;4407684;;l.;
67;Enicosanthum Becc.;Enicosanthum;;ID;East Kalimantan, PT. Aya Yayang Indonesia, Km 70.;-1.583333;115.55;"Sidiyasa K; Arifin Z";"Sidiyasa, K; Arifin, Z  2464 ";27;2;2001;Sidiyasa K;;;Botany;l.4407406;0;0;0;0;0;0;;;;0;0;0;4407406;;l.;
68;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;East Kalimantan, Wanariset area, Wartono Kadri, Semoi road.;-0.990694;116.946944;"Slik JWF; Arifin Z";"Slik, JWF; Arifin, Z  117 ";5;12;2001;Arifin Z;;;Botany;l.4407668;0;0;0;0;0;0;;;;0;0;0;4407668;;l.;
69;Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;East Kalimantan, Gunung Mayong, Desa Talun Sayan, Kec.Pembeliangan, Kabupaten Nunukan.;4.166667;117.05;Ambriansyah;Ambriansyah AA 2380 ;13;9;2000;Kessler PJA;;;Botany;L.4407671;0;0;0;0;0;0;;;;0;0;0;4407671;L;L.;
70;Polyalthia Blume;Polyalthia;;ID;West Kalimantan, Kabupaten Sintang. Areal Plasma Nutfah Tegua Tibun, PT. Halisa.;0.683333;110.95;"Albertus; Sidiyasa K";"Albertus; Sidiyasa, K  2241 ";16;10;2000;Sidiyasa K;;;Botany;l.4407676;0;0;0;0;0;0;;;;0;0;0;4407676;;l.;
71;Desmos Lour.;Desmos;;ID;East Kalimantan, Sungai Wain, km 15, near camp Karl.;-1.205555;116.811111;Arbainsyah;Arbainsyah AA 2393 ;1;2;2000;Arbainsyah;;;Botany;l.4407401;0;0;0;0;0;0;;;;0;0;0;4407401;;l.;
72;Orophea Blume;Orophea;;ID;West Kalimantan, Kabupaten Sintang. Areal Plasma Nutfah Tegua Tibun, PT. Halisa.;0.683333;110.95;"Albertus; Sidiyasa K";"Albertus; Sidiyasa, K  2220 ";15;10;2000;Sidiyasa K;;;Botany;l.4407670;0;0;0;0;0;0;;;;0;0;0;4407670;;l.;
73;Xylopia L.;Xylopia;;ID;Central Kalimantan, Kapuas river, Danau Bagantung Blok E area.;-2.2;114.6;Ambriansyah;Ambriansyah AA 2710 ;14;3;2004;Ambriansyah;;;Botany;l.4407507;0;0;0;0;0;0;;;;0;0;0;4407507;;l.;
74;Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;"Sidiyasa K; Arifin Z; Abadi F";"Sidiyasa, K; Arifin, Z; Abadi, F  2446 ";15;1;2001;Sidiyasa K;;;Botany;L.4407411;0;0;0;0;0;0;;;;0;0;0;4407411;L;L.;
75;Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;East Kalimantan, Gunung Meratus protected forest, edge Bongau river, near PT. ICTI.;-1.816667;115.733333;"Arbainsyah; Devi";"Arbainsyah; Devi AA 2514 ";15;7;2002;Kessler PJA;2004-10-01T00:00:00;;Botany;l.4407780;0;0;0;0;0;0;01;10;2004;0;0;0;4407780;;l.;
76;Popowia pisocarpa (Blume) Endl.;Popowia;Popowia pisocarpa;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, Daeng Setuju disturbed forest.;-3.516667;116.35;"Sidiyasa K; Ambriansyah";"Sidiyasa, K; Ambriansyah  2474 ";22;4;2001;Ambriansyah;;;Botany;l.4407681;0;0;0;0;0;0;;;;0;0;0;4407681;;l.;
77;Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;;ID;Indonesia, East Kalimantan, BOS-Samboja Lestari area;-1.033333;117.033333;Ambriansyah;Ambriansyah AA 2564 ;23;8;2003;Kessler PJA;2004-10-01T00:00:00;;Botany;L.4407777;0;0;0;0;0;0;01;10;2004;0;0;0;4407777;L;L.;
78;Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Central Kalimantan, Arboretum Nyaru Menteng.;-1.95;113.616667;"Sidiyasa K; Ambriansyah; Adriansyah";"Sidiyasa, K; Ambriansyah; Adriansyah  2520 ";9;10;2001;Kessler PJA;;;Botany;l.4407412;0;0;0;0;0;0;;;;0;0;0;4407412;;l.;
79;Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;"Sidiyasa K; Arifin Z; Abadi F";"Sidiyasa, K; Arifin, Z; Abadi, F  2399 ";12;1;2001;Sidiyasa K;;;Botany;L.4407409;0;0;0;0;0;0;;;;0;0;0;4407409;L;L.;
80;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;East Kalimantan, Wanariset area, Wartono Kadri, Semoi road.;-0.990694;116.946944;"Slik JWF; Arifin Z";"Slik, JWF; Arifin, Z  117 ";5;12;2001;Arifin Z;2001-11-01T00:00:00;;Botany;l.4407966;0;0;0;0;0;0;01;11;2001;0;0;0;4407966;;l.;
81;Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Central Kalimantan, Kapuas river, Danau Bagantung Blok E area.;-2.2;114.6;Ambriansyah;Ambriansyah AA 2709 ;14;3;2004;Kessler PJA;2004-10-01T00:00:00;;Botany;l.4407778;0;0;0;0;0;0;01;10;2004;0;0;0;4407778;;l.;
