;scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
10;Fissistigma kingii (Boerl.) Burkill;Fissistigma;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Southern part of the reserve, Alas River valley, near the mouth of the Bengkong River, c. 50 km. S. of Kutacane.;3.0;97.83;Wilde, WJ de;18716;15;7;1979;<NA>;<NA>;US;US;US 2996687;0;0;0;;;0;;;;0;0;0;US2996687;18716;kingii;W. J. de Wilde & B. E. de Wilde-Duyfjes;<NA>;Wilde, WJ de;
11;Annonaceae;<NA>;ID;Tumbang Tapi.;-1.02;113.0;Veldkamp;8347;21;1;1983;<NA>;<NA>;NSW;NSW;NSW562415;0;0;0;;;0;;;;0;0;0;NSW562415;8347;;Veldkamp;<NA>;Veldkamp;
12;Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR2350;0;0;0;;;0;;;;0;0;0;KR2350;nan;biglandulosa;<NA>;Katja Rembold;nan;
13;Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR2091;0;0;0;;;0;;;;0;0;0;KR2091;nan;manubriatum;<NA>;Katja Rembold;nan;
14;Orophea Blume;Orophea;ID;Central Halmahera, Weda Bay, Loy Poloy.;0.5225;127.899167;Bidault, E;"Bidault, E; Mahroji, R; Fabanyo, B  1119 ";16;4;2013;Deroin T;<NA>;<NA>;Botany;L.4372322;0;0;0;Bidault;;0;;;;0;0;0;L4372322;1119;;"Bidault E; Mahroji R; Fabanyo B";Deroin T;Bidault, E;
15;Artabotrys roseus Boerl.;Artabotrys;ID;Central Halmahera. Weda Bay. Casuarina.;0.526111;127.912222;Gushilman, I;"Gushilman, I; Mahroji, R; Lasut, SA; Fabanyo, B  503 ";24;3;2013;Rachman IA;<NA>;<NA>;Botany;L.4372319;0;0;0;Gushilman;;0;;;;0;0;0;L4372319;503;roseus;"Gushilman I; Mahroji R; Lasut SA; Fabanyo B";Rachman IA;Gushilman, I;
16;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903342;0;0;0;;;0;;;;0;0;0;MPU903342;nan;burahol;Molino, J.-F.;Molino;Molino, JF;
17;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903341;0;0;0;;;0;;;;0;0;0;MPU903341;nan;rumphii;Molino, J.-F.;Molino;Molino, JF;
18;Annonaceae;<NA>;ID;Foothills of Gunung Beriun;1.298611;117.545556;ZZZ_THIS_NAME_FAILED;68;23;11;2016;<NA>;<NA>;E;E;E01122221;0;0;0;;;0;;;;0;0;0;E01122221;68;;East Kalimantan Bogor Edinburgh (2016);<NA>;nan;
19;Polyalthia Blume;Polyalthia;ID;Trail from basecamp of Gua Tewet;1.025833;117.2575;ZZZ_THIS_NAME_FAILED;92;26;11;2016;<NA>;<NA>;E;E;E01122208;0;0;0;;;0;;;;0;0;0;E01122208;92;;East Kalimantan Bogor Edinburgh (2016);<NA>;nan;
20;Uvaria L.;Uvaria;ID;Downstream trail via boat from Gua Tewet camp;1.001111;117.255;ZZZ_THIS_NAME_FAILED;153;29;11;2016;<NA>;<NA>;E;E;E01122211;0;0;0;;;0;;;;0;0;0;E01122211;153;;East Kalimantan Bogor Edinburgh (2016);<NA>;nan;
21;Popowia pisocarpa (Blume) Endl.;Popowia;ID;Kebun Raya Bogor.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;<NA>;<NA>;<NA>;Botany;L  0299964;0;0;0;Balgooy;;0;;;;0;0;0;L0299964;5683;pisocarpa;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
22;Cyathocalyx martabanicus Hook.f. & Thomson;Cyathocalyx;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5281 ";31;5;1986;<NA>;<NA>;<NA>;Botany;L  0299052;0;0;0;Balgooy;;0;;;;0;0;0;L0299052;5281;martabanicus;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
23;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5283 ";31;5;1986;<NA>;<NA>;<NA>;Botany;L  0299426;0;0;0;Balgooy;;0;;;;0;0;0;L0299426;5283;burahol;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
24;Polyalthia subcordata (Blume) Blume;Polyalthia;ID;<NA>;-6.738088;107.005205;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5667 ";5;7;1986;<NA>;<NA>;<NA>;Botany;L  0299192;0;0;0;Balgooy;;0;;;;0;0;0;L0299192;5667;subcordata;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
25;Anaxagorea javanica var. tripetala Corner;Anaxagorea;ID;"East Borneo; E. Kutei. G. Tepian Lobang on Menubar R.";0.833333;118.483333;Kostermans, AJGH;Kostermans, AJGH  5329 ;19;6;1951;Benthem FDJ van;<NA>;<NA>;Botany;L  0298771;0;0;0;Kostermans;;0;;;;0;0;0;L0298771;5329;javanica;Kostermans AJGH;Benthem FDJ van;Kostermans, AJGH;
26;Uvaria L.;Uvaria;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5444 ";14;6;1986;<NA>;<NA>;<NA>;Botany;L  0299996;0;0;0;Balgooy;;0;;;;0;0;0;L0299996;5444;;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
27;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;Gn Palung Nature Reserve, c. 100 km S. of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5461 ";15;6;1986;<NA>;<NA>;<NA>;Botany;L  0299196;0;0;0;Balgooy;;0;;;;0;0;0;L0299196;5461;rumphii;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
28;Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Native in Sumatra. Cultivated in the Botanic Gardens Buitenzorg-Java. Garden number: IV.G.55.;-6.35;106.47;Okada, H;Okada, H  3262 ;21;10;1980;Johnson DM;2014-03-01T00:00:00;<NA>;Botany;L  0299283;0;0;0;Okada;;0;1;3;2014;0;0;0;L0299283;3262;malayana;Okada H;Johnson DM;Okada, H;
29;Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Indonesia, Buitenzorg, Botanic Gardens;-6.5897;106.7913;Okada, H;Okada, H  3251 ;7;10;1980;<NA>;<NA>;<NA>;Botany;L  0298737;0;0;0;Okada;;0;;;;0;0;0;L0298737;3251;odorata;Okada H;<NA>;Okada, H;
30;Polyalthia suberosa (Roxb.) Thwaites;Polyalthia;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5650 ";4;7;1986;Setten AK van;<NA>;<NA>;Botany;L  0299171;0;0;0;Balgooy;;0;;;;0;0;0;L0299171;5650;suberosa;"Balgooy MMJ van; Setten AK van";Setten AK van;Balgooy, MMJ van;
31;Enicosanthum macranthum (King) J.Sinclair;Enicosanthum;ID;Gunung Palung Nature Reserve, c. 100 km S of Pontianak, W Kalimantan.;-1.216667;110.133333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5614 ";25;6;1986;<NA>;<NA>;<NA>;Botany;L  0299168;0;0;0;Balgooy;;0;;;;0;0;0;L0299168;5614;macranthum;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
32;Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;<NA>;<NA>;<NA>;Botany;L  0299146;0;0;0;Jacobs;;0;;;;0;0;0;L0299146;8360;anomala;Jacobs M;<NA>;Jacobs, M;
33;Mitrephora longipetala Miq.;Mitrephora;ID;Indonesia. Gn Palung Nature Reserve, c.100 Km S of Pontianak, W. Kalimantan.;3.748056;97.158056;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5535 A";20;6;1986;Weerasooriya AD;2001-03-01T00:00:00;<NA>;Botany;L  0770063;0;0;0;Balgooy;A;0;1;3;2001;0;0;0;L0770063;5535;longipetala;"Balgooy MMJ van; Setten AK van";Weerasooriya AD;Balgooy, MMJ van;
34;Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5467 ";16;8;1986;Johnson DM;2014-03-01T00:00:00;<NA>;Botany;L  0299285;0;0;0;Balgooy;;0;1;3;2014;0;0;0;L0299285;5467;malayana;"Balgooy MMJ van; Setten AK van";Johnson DM;Balgooy, MMJ van;
35;Cyathocalyx pruniferus (Maingay ex Hook.f. & Thomson) J.Sinclair;Drepananthus;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra, Sikundur Forest Reserve, c.75km WNW of Medan;3.748056;97.158056;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19281 ";3;8;1979;Wang R;2001-08-01T00:00:00;<NA>;Botany;L  0298897;0;0;0;Wilde;;0;1;8;2001;0;0;0;L0298897;19281;pruniferus;"Wilde WJJO de; Wilde-Duyfjes BEE de";Wang R;Wilde, WJJO de;
36;Popowia pisocarpa (Blume) Endl.;Popowia;ID;Gunung Palung nature reserve, c. 100 km S of Pontianak.;-1.216667;111.0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5328 ";8;6;1986;<NA>;<NA>;<NA>;Botany;L  0299153;0;0;0;Balgooy;;0;;;;0;0;0;L0299153;5328;pisocarpa;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
37;Polyalthia sumatrana King;Polyalthia;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5326 ";8;6;1986;<NA>;<NA>;<NA>;Botany;L  0299195;0;0;0;Balgooy;;0;;;;0;0;0;L0299195;5326;sumatrana;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
38;Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;"Kebun Raya Bogor; West Java.";-6.583333;106.783333;Balgooy, MMJ van;Balgooy, MMJ van  5143 ;14;9;1985;<NA>;<NA>;<NA>;Botany;L  0299392;0;0;0;Balgooy;;0;;;;0;0;0;L0299392;5143;lateriflora;Balgooy MMJ van;<NA>;Balgooy, MMJ van;
39;Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;Gn. Palung Nature Reserve, c100km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5447 ";15;6;1986;Turner IM;2008-02-01T00:00:00;<NA>;Botany;L  0299389;0;0;0;Balgooy;;0;1;2;2008;0;0;0;L0299389;5447;cauliflora;"Balgooy MMJ van; Setten AK van";Turner IM;Balgooy, MMJ van;
40;Fissistigma Griff.;Fissistigma;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimanten.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5553 ";21;6;1986;<NA>;<NA>;<NA>;Botany;L  0299215;0;0;0;Balgooy;;0;;;;0;0;0;L0299215;5553;;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
41;Cyathocalyx havilandii Boerl.;Drepananthus;ID;Gn Palung Nature Reserve, c.100km S of Pontianak.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5503 ";18;6;1986;Setten AK van;<NA>;<NA>;Botany;L  0299252;0;0;0;Balgooy;;0;;;;0;0;0;L0299252;5503;havilandii;"Balgooy MMJ van; Setten AK van";Setten AK van;Balgooy, MMJ van;
42;Friesodielsia cuneiformis (Blume) Steenis;Friesodielsia;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5284 ";31;5;1980;<NA>;<NA>;<NA>;Botany;L  0299227;0;0;0;Balgooy;;0;;;;0;0;0;L0299227;5284;cuneiformis;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
43;Monoon lateriflorum (Blume) Miq.;Polyalthia;ID;Gn. Palung Nature Reserve, c. 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5502 ";18;6;1986;Xue B;2012-10-01T00:00:00;<NA>;Botany;L  0299155;0;0;0;Balgooy;;0;1;10;2012;0;0;0;L0299155;5502;lateriflora;"Balgooy MMJ van; Setten AK van";Xue B;Balgooy, MMJ van;
44;Cyathocalyx havilandii Boerl.;Drepananthus;ID;Indonesia, Gn Palung Nature Reserve, c.100km S of Pontianak, W Kalimantan;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5472 ";16;6;1986;Setten AK van;<NA>;<NA>;Botany;L  0299247;0;0;0;Balgooy;;0;;;;0;0;0;L0299247;5472;havilandii;"Balgooy MMJ van; Setten AK van";Setten AK van;Balgooy, MMJ van;
45;Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Kebun Raya Bogor, W. Java, Indonesia.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5649 ";4;7;1986;Mols JB;2004-03-01T00:00:00;<NA>;Botany;L  0299363;0;0;0;Balgooy;;0;1;3;2004;0;0;0;L0299363;5649;horsfieldii;"Balgooy MMJ van; Setten AK van";Mols JB;Balgooy, MMJ van;
46;Pseuduvaria rugosa (Blume) Merr.;Pseuduvaria;ID;Indonesia, Sumatra, Aceh, Gunung Leuser Nature Reserve, Ketambe, valley of Lau Alas, near tributary of Lau Ketambe, c. 35 NW of Kutatjane,200-400 m alt.;3.083333;97.916667;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  12511 ";1;6;1972;Su YCF;2001-09-01T00:00:00;<NA>;Botany;L  0299538;0;0;0;Wilde;;0;1;9;2001;0;0;0;L0299538;12511;rugosa;"Wilde WJJO de; Wilde-Duyfjes BEE de";Su YCF;Wilde, WJJO de;
47;Stelechocarpus cauliflorus (Scheff.) R.E.Fr.;Stelechocarpus;ID;<NA>;-6.5897;106.7913;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5689 ";8;7;1986;<NA>;<NA>;<NA>;Botany;L  0299455;0;0;0;Balgooy;;0;;;;0;0;0;L0299455;5689;cauliflorus;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
48;Popowia pisocarpa (Blume) Endl.;Popowia;ID;Kebun Raya Bogor.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;<NA>;<NA>;<NA>;Botany;L  0770376;0;0;0;Balgooy;;0;;;;0;0;0;L0770376;5683;pisocarpa;"Balgooy MMJ van; Setten AK van";<NA>;Balgooy, MMJ van;
49;Alphonsea Hook.f. & Thomson;Alphonsea;ID;<NA>;-6.583333;106.783333;Mols, JB;Mols, JB  16 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;<NA>;Botany;L  0770362;0;0;0;Mols;;0;1;9;2001;0;0;0;L0770362;16;;Mols JB;Kessler PJA;Mols, JB;
50;Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Kebun Raya Bogor, West Java.;-6.583333;106.783333;Balgooy, MMJ van;Balgooy, MMJ van  5140 ;9;9;1985;Chaowasku T;<NA>;<NA>;Botany;L  0770375;0;0;0;Balgooy;;0;;;;0;0;0;L0770375;5140;horsfieldii;Balgooy MMJ van;Chaowasku T;Balgooy, MMJ van;
51;Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;heuvel links achter Djaro Dam.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2328 ;14;3;1973;<NA>;<NA>;<NA>;Botany;L.4414158;0;0;0;Vogel;;0;;;;0;0;0;L4414158;2328;rumphii;Vogel EF de;<NA>;Vogel, EF de;
52;Mezzettia umbellata Becc.;Mezzettia;ID;Archipel. Ind.: Borneo. foot of Mt. Kenepai.;0.7;111.716666;Hallier, JG;Hallier, JG  1624 ;1;1;1893;Kessler PJA;1989-05-01T00:00:00;<NA>;Botany;L  0770365;0;0;0;Hallier;;0;1;5;1989;0;0;0;L0770365;1624;umbellata;Hallier JG;Kessler PJA;Hallier, JG;
53;Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2248 ;9;3;1973;<NA>;<NA>;<NA>;Botany;L.4414211;0;0;0;Vogel;;0;;;;0;0;0;L4414211;2248;;Vogel EF de;<NA>;Vogel, EF de;
54;Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-6.583333;106.783333;Mols, JB;Mols, JB  13 ;4;9;2001;Kessler PJA;2001-09-01T00:00:00;<NA>;Botany;L  0770363;0;0;0;Mols;;0;1;9;2001;0;0;0;L0770363;13;burahol;Mols JB;Kessler PJA;Mols, JB;
55;Xylopia caudata Hook.f. & Thomson;Xylopia;ID;Landah, Ngabang.;0.383333;109.95;Boschproefstation;Boschproefstation bb 6412 ;28;4;1924;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370459;0;0;0;Boschproefstation;;0;;;;0;0;0;L4370459;6412;caudata;Boschproefstation;"Johnson DM; Murray NA";Boschproefstation;"; Murray NA"
56;Polyalthia teysmannii (Miq.) King;Polyalthia;ID;behind Djaro Dam, road to G. Sarempaka.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2279 ;11;3;1973;<NA>;<NA>;<NA>;Botany;L.4414121;0;0;0;Vogel;;0;;;;0;0;0;L4414121;2279;cauliflora;Vogel EF de;<NA>;Vogel, EF de;
57;Miliusa horsfieldii (Benn.) Pierre;Miliusa;ID;Indonesia, Java, Kebun Raya Bogor.;-6.583333;106.783333;Mols, JB;Mols, JB  12 ;4;9;2001;<NA>;<NA>;<NA>;Botany;L  0770364;0;0;0;Mols;;0;;;;0;0;0;L0770364;12;horsfieldii;Mols JB;<NA>;Mols, JB;
58;Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2248 ;9;3;1973;<NA>;<NA>;<NA>;Botany;L.4414212;0;0;0;Vogel;;0;;;;0;0;0;L4414212;2248;;Vogel EF de;<NA>;Vogel, EF de;
59;Annonaceae;<NA>;ID;achter Djaro.;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  2339 ;15;3;1973;<NA>;<NA>;<NA>;Botany;L.4414168;0;0;0;Vogel;;0;;;;0;0;0;L4414168;2339;;Vogel EF de;<NA>;Vogel, EF de;
63;Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Central Kalimantan, Kapuas river, Mentangai village, Blok AB area.;-2.266667;114.55;Ambriansyah;Ambriansyah AA 2698 ;11;3;2004;Ambriansyah;<NA>;<NA>;Botany;L.4407779;0;0;0;Ambriansyah;;0;;;;0;0;0;L4407779;2698;suaveolens;Ambriansyah;Ambriansyah;Ambriansyah;
69;Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;ID;East Kalimantan, Gunung Mayong, Desa Talun Sayan, Kec.Pembeliangan, Kabupaten Nunukan.;4.166667;117.05;Ambriansyah;Ambriansyah AA 2380 ;13;9;2000;Kessler PJA;<NA>;<NA>;Botany;L.4407671;0;0;0;Ambriansyah;;0;;;;0;0;0;L4407671;2380;cauliflora;Ambriansyah;Kessler PJA;Ambriansyah;
74;Mezzettia umbellata Becc.;Mezzettia;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2446 ";15;1;2001;Sidiyasa K;<NA>;<NA>;Botany;L.4407411;0;0;0;Sidiyasa;;0;;;;0;0;0;L4407411;2446;umbellata;"Sidiyasa K; Arifin Z; Abadi F";Sidiyasa K;Sidiyasa, K;
77;Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;ID;Indonesia, East Kalimantan, BOS-Samboja Lestari area;-1.033333;117.033333;Ambriansyah;Ambriansyah AA 2564 ;23;8;2003;Kessler PJA;2004-10-01T00:00:00;<NA>;Botany;L.4407777;0;0;0;Ambriansyah;;0;1;10;2004;0;0;0;L4407777;2564;;Ambriansyah;Kessler PJA;Ambriansyah;
79;Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Central Kalimantan, Nyaru Menteng Arboretum.;-2.033333;113.783333;Sidiyasa, K;"Sidiyasa, K; Arifin, Z; Abadi, F  2399 ";12;1;2001;Sidiyasa K;<NA>;<NA>;Botany;L.4407409;0;0;0;Sidiyasa;;0;;;;0;0;0;L4407409;2399;;"Sidiyasa K; Arifin Z; Abadi F";Sidiyasa K;Sidiyasa, K;
84;Artabotrys R.Br.;Artabotrys;ID;Central Kalimantan, Kabupaten Kapuas, Kecamatan Timpah.;-1.716667;114.516667;Sidiyasa, K;"Sidiyasa, K; Ambriansyah; Adriansyah  2568 ";12;10;2001;Sidiyasa K;<NA>;<NA>;Botany;L.4407404;0;0;0;Sidiyasa;;0;;;;0;0;0;L4407404;2568;;"Sidiyasa K; Ambriansyah; Adriansyah";Sidiyasa K;Sidiyasa, K;
86;Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Meratus 5230 area, PT. ITCI Kenangan, Balikpapan.;-1.083333;116.7;Ambriansyah;Ambriansyah AA 611 ;27;9;1992;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4407219;0;0;0;Ambriansyah;;0;;;;0;0;0;L4407219;611;sumatrana;Ambriansyah;"Johnson DM; Murray NA";Ambriansyah;"; Murray NA"
89;Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;ID;East Kalimantan, Wanariset area, Wartono Kadri, Semoi road.;-0.990694;116.946944;Slik, JWF;"Slik, JWF; Arifin, Z  120 ";22;12;2001;Kessler PJA;<NA>;<NA>;Botany;L.4407669;0;0;0;Slik;;0;;;;0;0;0;L4407669;120;;"Slik JWF; Arifin Z";Kessler PJA;Slik, JWF;
93;Fissistigma Griff.;Fissistigma;ID;Central Kalimantan, Kabupaten Kapuas, Kecamatan Timpah.;-1.716667;114.516667;Sidiyasa, K;"Sidiyasa, K; Ambriansyah; Adriansyah  2545 ";12;10;2001;Kessler PJA;<NA>;<NA>;Botany;L.4407407;0;0;0;Sidiyasa;;0;;;;0;0;0;L4407407;2545;;"Sidiyasa K; Ambriansyah; Adriansyah";Kessler PJA;Sidiyasa, K;
